 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
526	202	292	202	130	102414	507	0	507	507	507	452.188	951.510	12.188	3.387	0.765	3.323	452.189	951.510	12.188	447	948	10	10	8	7
527	1961	1280	1961	739	1131497	577	0	577	577	577	291.340	999.948	14.171	7.715	1.868	8.092	291.338	999.962	14.171	281	990	10	23	20	10
528	153	272	153	121	85068	556	0	556	556	556	4.863	1006.928	12.797	3.758	1.433	3.712	4.863	1006.928	12.797	0	1002	10	10	10	6
529	231	362	231	154	120351	521	0	521	521	521	677.900	1010.922	12.900	4.263	1.744	4.214	677.901	1010.922	12.900	673	1004	10	13	13	8
530	192	312	192	139	106944	557	0	557	557	557	301.438	1012.948	12.823	3.567	1.117	3.427	301.437	1012.948	12.823	295	1009	10	12	8	7
531	361	506	361	245	202521	561	0	561	561	561	413.778	1016.438	12.629	4.809	1.759	4.803	413.778	1016.439	12.629	409	1007	10	10	16	6
532	182	298	182	135	96278	529	0	529	529	529	764.846	634.313	12.962	3.604	1.245	3.524	764.846	634.313	12.962	760	631	11	12	8	5
533	531	782	531	368	298422	562	0	562	562	562	621.614	688.814	13.701	6.097	2.628	5.648	621.613	688.813	13.701	613	681	11	21	20	7
534	426	538	426	271	241116	566	0	566	566	566	297.786	849.937	13.660	4.829	1.682	4.844	297.787	849.937	13.660	290	845	11	18	11	7
535	952	798	952	435	539784	567	0	567	567	567	205.867	890.449	14.383	5.972	1.493	6.238	205.867	890.449	14.383	198	883	11	16	16	8
536	159	222	159	107	87450	550	0	550	550	550	757.862	948.547	12.755	3.077	0.761	2.990	757.862	948.547	12.755	753	946	11	11	6	5
537	242	406	242	178	139392	576	0	576	576	576	147.785	980.545	14.198	4.251	1.627	4.132	147.785	980.545	14.198	142	977	11	14	8	8
538	475	638	475	301	263150	554	0	554	554	554	539.101	991.844	13.817	5.155	1.591	5.294	539.100	991.844	13.817	534	985	11	14	14	8
539	204	300	204	134	114852	563	0	563	563	563	507.961	707.328	13.931	3.739	1.487	3.322	507.961	707.329	13.931	501	703	12	13	11	6
540	283	464	283	209	164140	580	0	580	580	580	593.735	763.459	14.505	5.052	2.263	4.761	593.734	763.459	14.505	587	758	12	17	14	7
541	328	462	328	212	190568	581	0	581	581	581	572.152	889.274	14.415	4.551	1.634	4.701	572.152	889.275	14.415	567	884	12	11	14	7
542	153	340	153	130	87822	574	0	574	574	574	708.863	970.477	13.471	4.877	2.383	4.775	708.863	970.477	13.471	704	962	12	10	19	4
543	164	270	164	123	95612	583	0	583	583	583	536.305	977.561	15.433	3.393	1.178	3.700	536.305	977.561	15.433	532	973	14	9	10	4
