 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
184	1923	1362	1923	785	144225	75	0	75	75	75	547.881	243.716	9.444	7.990	2.462	8.283	547.885	243.716	9.444	538	233	6	27	22	8
185	876	650	876	449	166440	190	0	190	190	190	415.498	261.225	10.148	5.749	1.264	5.795	415.500	261.225	10.148	409	256	6	15	11	9
186	464	442	464	246	38976	84	0	84	84	84	426.966	256.082	9.392	4.547	0.949	4.421	426.966	256.082	9.392	423	252	6	12	11	7
187	528	546	528	306	46992	89	0	89	89	89	827.134	263.578	9.256	5.051	1.597	4.829	827.132	263.578	9.256	819	259	6	18	9	7
188	687	606	687	359	59769	87	0	87	87	87	364.700	265.084	9.079	5.476	1.497	5.310	364.701	265.084	9.079	355	261	6	17	10	8
189	896	740	896	440	85120	95	0	95	95	95	828.263	272.340	8.907	6.133	1.863	6.161	828.266	272.340	8.907	819	267	6	18	12	7
190	2040	1552	2040	896	395760	194	0	194	194	194	280.665	272.140	9.660	9.541	3.962	9.085	280.662	272.140	9.660	265	264	6	36	18	8
191	1651	1288	1651	751	331851	201	0	201	201	201	355.594	293.586	9.572	8.225	3.038	8.027	355.592	293.586	9.572	344	285	6	29	17	8
192	1554	1030	1554	639	313908	202	0	202	202	202	706.596	294.053	9.808	7.087	1.748	7.215	706.594	294.052	9.808	697	288	6	20	15	9
193	697	632	697	353	72488	104	0	104	104	104	679.719	291.099	9.529	5.499	1.610	5.402	679.719	291.099	9.529	671	286	6	17	12	7
194	525	530	525	288	56700	108	0	108	108	108	740.400	303.636	8.775	4.918	1.378	4.890	740.400	303.636	8.775	734	299	6	16	12	6
195	293	434	293	201	32816	112	0	112	112	112	899.140	307.485	8.652	4.825	1.859	4.702	899.140	307.485	8.652	890	300	6	15	13	6
196	423	476	423	247	47799	113	0	113	113	113	852.917	315.690	9.700	4.782	1.553	4.460	852.916	315.690	9.700	846	312	6	15	10	7
197	1116	880	1116	495	127224	114	0	114	114	114	832.513	321.035	9.121	6.289	1.583	6.643	832.509	321.035	9.121	824	312	6	17	18	7
198	786	702	786	402	164274	209	0	209	209	209	802.528	328.235	10.154	5.858	1.850	5.805	802.527	328.235	10.154	792	324	6	21	11	8
199	886	756	886	416	186946	211	0	211	211	211	977.187	333.158	10.326	5.911	1.710	6.035	977.188	333.158	10.326	971	325	6	13	18	8
200	1728	1190	1728	728	362880	210	0	210	210	210	821.097	332.772	9.999	7.456	2.017	7.900	821.096	332.772	9.999	812	323	6	20	19	8
201	1517	1274	1517	708	323121	213	0	213	213	213	893.822	343.682	9.865	7.535	2.282	7.685	893.821	343.682	9.865	882	333	6	25	23	8
202	1962	1384	1962	802	421830	215	0	215	215	215	967.859	358.552	10.497	8.124	2.476	8.071	967.859	358.553	10.497	957	348	6	21	24	9
203	970	744	970	427	119310	123	0	123	123	123	977.714	393.000	9.009	5.934	1.366	5.983	977.716	393.000	9.009	970	386	6	16	15	8
204	682	744	682	401	87978	129	0	129	129	129	974.918	433.972	8.515	5.552	1.710	5.886	974.916	433.972	8.515	967	427	6	17	15	6
205	1356	1024	1356	589	295608	218	0	218	218	218	992.315	438.472	10.362	6.805	1.872	7.240	992.313	438.472	10.362	984	430	6	18	18	8
206	887	758	887	422	116197	131	0	131	131	131	995.439	459.396	8.944	6.038	1.845	5.981	995.440	459.395	8.944	990	450	6	12	20	7
207	632	642	632	321	15800	25	0	25	25	25	980.666	474.755	8.487	5.256	1.382	5.407	980.666	474.755	8.487	973	467	6	14	16	6
208	1365	1016	1365	588	298935	219	0	219	219	219	952.601	500.136	9.900	6.776	1.773	7.121	952.602	500.136	9.900	945	492	6	19	17	8
209	1577	1300	1577	710	361133	229	0	229	229	229	990.271	498.052	10.283	8.639	3.830	7.668	990.271	498.052	10.283	982	485	6	16	35	9
210	693	642	693	368	152460	220	0	220	220	220	955.965	514.459	10.196	5.363	1.416	5.501	955.969	514.459	10.196	950	508	6	11	15	9
211	2108	1456	2108	872	282472	134	0	134	134	134	971.852	516.238	9.421	8.303	2.494	8.662	971.857	516.238	9.421	962	506	6	22	24	8
212	1166	926	1166	557	160908	138	0	138	138	138	438.742	125.548	10.183	6.754	2.097	6.816	438.739	125.548	10.183	430	117	7	18	21	8
213	693	682	693	362	97713	141	0	141	141	141	630.020	136.631	9.971	5.383	1.391	5.585	630.019	136.631	9.971	622	129	7	15	15	8
214	761	806	761	409	23591	31	0	31	31	31	645.330	141.306	9.348	6.268	2.404	5.932	645.330	141.306	9.348	637	135	7	23	14	7
215	728	660	728	373	116480	160	0	160	160	160	417.573	195.412	9.791	5.496	1.493	5.472	417.573	195.412	9.791	411	188	7	13	18	7
216	800	692	800	388	128800	161	0	161	161	161	523.730	195.065	9.873	5.936	1.848	5.910	523.728	195.065	9.873	517	188	7	14	17	7
217	408	414	408	239	66504	163	0	163	163	163	454.995	200.017	9.919	4.316	0.956	4.314	454.996	200.017	9.919	451	196	7	9	11	7
218	520	518	520	278	85800	165	0	165	165	165	783.625	204.135	10.004	4.906	1.351	4.734	783.624	204.135	10.004	779	197	7	9	17	7
219	1121	1032	1121	585	251104	224	0	224	224	224	748.509	208.391	10.827	6.857	2.224	6.689	748.509	208.391	10.827	741	197	7	16	23	8
220	218	338	218	156	15696	72	0	72	72	72	455.817	232.569	9.078	4.115	1.758	3.865	455.817	232.569	9.078	452	224	7	8	16	5
221	1607	1408	1607	778	303723	189	0	189	189	189	289.837	256.830	10.357	8.257	2.989	8.125	289.836	256.830	10.357	281	241	7	18	28	8
222	1518	1318	1518	757	311190	205	0	205	205	205	802.352	313.873	9.731	8.155	3.003	8.199	802.351	313.873	9.731	792	298	7	23	26	7
223	470	464	470	263	96820	206	0	206	206	206	937.257	323.517	10.645	4.743	1.382	4.578	937.259	323.517	10.645	933	317	7	9	15	7
224	771	646	771	374	159597	207	0	207	207	207	909.367	325.677	10.266	5.590	1.486	5.444	909.366	325.677	10.266	903	317	7	12	18	7
225	299	344	299	172	68172	228	0	228	228	228	994.880	478.344	10.666	3.887	0.766	3.843	994.880	478.344	10.666	991	474	7	8	10	8
226	445	576	445	296	59185	133	0	133	133	133	942.101	484.616	9.207	5.225	2.011	5.081	942.099	484.616	9.207	933	479	7	16	17	5
227	300	368	300	186	43200	144	0	144	144	144	580.053	153.847	10.290	4.018	1.192	4.041	580.053	153.847	10.290	574	150	8	13	9	5
228	362	452	362	215	82174	227	0	227	227	227	571.354	249.318	10.751	4.723	1.713	4.434	571.354	249.318	10.751	562	245	8	17	10	6
229	1259	990	1259	588	255577	203	0	203	203	203	966.874	298.165	10.587	6.769	1.907	7.082	966.874	298.165	10.587	957	290	8	20	19	7
