 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
58	342	512	342	235	1026	3	0	3	3	3	469.219	333.646	5.743	4.633	1.543	4.674	469.219	333.646	5.743	462	327	3	13	14	9
59	766	670	766	367	20682	27	0	27	27	27	614.270	337.653	6.654	5.671	1.562	5.479	614.270	337.653	6.654	608	331	3	17	13	8
60	2219	1428	2219	884	159768	72	0	72	72	72	433.945	341.954	6.793	8.457	2.516	8.431	433.945	341.954	6.793	427	328	3	18	29	9
61	224	348	224	169	896	4	0	4	4	4	658.393	350.000	5.219	4.157	1.545	4.052	658.393	350.000	5.219	654	346	3	12	9	8
62	1295	1012	1295	584	91945	71	0	71	71	71	592.986	341.663	7.280	6.736	1.827	7.214	592.990	341.663	7.280	585	333	3	18	19	9
63	2847	1874	2847	1184	381498	134	0	134	134	134	634.818	346.698	7.187	10.061	3.491	10.115	634.822	346.698	7.187	622	333	3	27	29	9
64	2099	1354	2099	771	155326	74	0	74	74	74	490.975	354.171	7.504	7.881	1.973	8.343	490.969	354.170	7.504	479	345	3	23	20	9
65	918	798	918	457	27540	30	0	30	30	30	646.088	355.899	6.320	6.194	1.788	5.961	646.088	355.899	6.320	638	347	3	15	19	8
66	1566	1246	1566	737	120582	77	0	77	77	77	662.601	365.528	6.476	7.608	2.379	7.781	662.597	365.528	6.476	653	355	3	20	19	9
67	978	836	978	502	73350	75	0	75	75	75	457.978	360.711	7.130	6.523	2.137	6.088	457.980	360.711	7.130	446	355	3	24	11	9
68	1383	1060	1383	616	105108	76	0	76	76	76	583.675	364.121	6.718	6.945	1.960	7.292	583.675	364.121	6.718	575	354	3	19	20	8
69	1448	1182	1448	685	198376	137	0	137	137	137	457.896	371.976	7.720	7.158	1.969	7.206	457.894	371.976	7.720	446	366	3	21	16	10
70	2579	1696	2579	973	350744	136	0	136	136	136	548.745	366.508	7.537	9.046	2.904	8.886	548.737	366.508	7.537	538	355	3	24	30	10
71	1130	898	1130	503	157070	139	0	139	139	139	663.270	379.955	7.338	6.375	1.447	6.212	663.272	379.955	7.338	655	375	3	18	14	10
72	1097	842	1097	490	151386	138	0	138	138	138	539.031	379.335	8.260	6.257	1.442	6.427	539.027	379.335	8.260	533	371	3	15	18	10
73	1767	1208	1767	769	249147	141	0	141	141	141	417.376	385.391	7.651	7.596	2.014	7.380	417.374	385.391	7.651	407	377	3	23	16	10
74	447	516	447	264	35760	80	0	80	80	80	647.226	379.063	6.785	4.978	1.644	5.082	647.226	379.063	6.785	641	372	3	13	13	7
75	1588	1160	1588	691	130216	82	0	82	82	82	504.713	387.188	7.160	7.263	1.932	7.638	504.708	387.188	7.160	496	378	3	17	19	9
76	1640	1098	1640	689	132840	81	0	81	81	81	521.882	383.954	7.635	7.315	1.818	7.397	521.879	383.955	7.635	514	378	3	18	16	9
77	2188	1296	2188	804	181604	83	0	83	83	83	606.133	394.529	6.564	7.969	1.868	8.370	606.136	394.529	6.564	597	383	3	20	22	9
78	2294	1360	2294	834	75702	33	0	33	33	33	637.487	393.428	6.594	8.130	2.013	8.636	637.479	393.428	6.594	627	383	3	22	21	8
79	1783	1308	1783	757	342336	192	0	192	192	192	443.388	392.961	7.894	7.747	2.118	8.074	443.388	392.961	7.894	435	385	3	21	18	10
80	1641	1226	1641	737	57435	35	0	35	35	35	484.445	398.264	5.536	7.535	2.199	8.003	484.450	398.265	5.536	475	387	3	20	23	7
81	389	416	389	214	55627	143	0	143	143	143	469.494	397.072	7.375	4.219	0.782	4.186	469.494	397.072	7.375	464	393	3	10	11	9
82	2059	1346	2059	844	296496	144	0	144	144	144	425.657	400.042	8.148	8.132	2.200	8.096	425.657	400.042	8.148	414	388	3	21	23	10
83	1841	1170	1841	719	154644	84	0	84	84	84	620.614	406.504	6.821	7.532	1.847	7.936	620.608	406.504	6.821	611	397	3	20	21	8
84	1608	1068	1608	609	136680	85	0	85	85	85	693.312	409.918	7.163	7.058	1.600	7.442	693.308	409.918	7.163	685	401	3	18	18	9
85	1524	1022	1524	622	131064	86	0	86	86	86	637.539	412.913	6.512	7.003	1.655	7.437	637.544	412.913	6.512	629	405	3	18	18	8
86	2455	1614	2455	919	358430	146	0	146	146	146	572.162	420.135	8.452	8.718	2.422	8.895	572.158	420.135	8.452	563	409	3	23	26	11
87	631	850	631	398	92757	147	0	147	147	147	485.666	422.220	7.518	5.916	1.992	5.950	485.667	422.220	7.518	477	412	3	16	20	9
88	226	388	226	165	8136	36	0	36	36	36	532.049	426.473	6.761	4.231	1.674	4.285	532.049	426.473	6.761	527	421	3	14	11	8
89	486	528	486	265	42282	87	0	87	87	87	511.049	428.673	7.045	4.761	1.160	4.541	511.050	428.673	7.045	504	423	3	14	10	9
90	793	826	793	463	5551	7	0	7	7	7	493.402	446.255	5.794	5.881	1.738	5.984	493.402	446.255	5.794	487	438	3	15	17	9
91	190	260	190	126	7220	38	0	38	38	38	615.858	445.326	6.295	3.323	0.774	3.258	615.858	445.326	6.295	613	442	3	7	9	7
92	1414	1320	1414	700	220584	156	0	156	156	156	465.671	454.396	7.498	7.682	2.714	7.481	465.675	454.396	7.498	454	441	3	22	26	10
93	2108	1312	2108	795	189720	90	0	90	90	90	715.510	456.403	7.009	7.925	1.896	8.198	715.504	456.403	7.009	708	447	3	18	20	10
94	1609	1096	1609	630	252613	157	0	157	157	157	699.952	459.288	7.976	7.120	1.574	7.227	699.952	459.289	7.976	691	450	3	16	19	10
95	2029	1348	2029	777	314495	155	0	155	155	155	736.526	458.427	8.080	7.889	2.044	8.184	736.528	458.428	8.080	727	446	3	21	24	10
96	890	708	890	444	35600	40	0	40	40	40	529.509	458.247	5.860	5.990	1.670	5.918	529.509	458.247	5.860	522	454	3	19	11	7
97	554	616	554	316	21606	39	0	39	39	39	589.706	453.040	6.182	5.354	1.828	5.333	589.706	453.040	6.182	583	445	3	17	14	8
98	2273	1910	2273	1083	211389	93	0	93	93	93	587.956	472.758	6.796	10.379	4.627	9.684	587.954	472.758	6.796	571	456	3	32	36	8
99	573	636	573	321	55581	97	0	97	97	97	609.176	475.562	7.311	5.546	1.936	5.344	609.174	475.562	7.311	605	465	3	12	20	8
100	694	626	694	370	29148	42	0	42	42	42	682.860	474.937	6.403	5.547	1.675	5.331	682.860	474.937	6.403	674	470	3	18	11	7
101	2123	1350	2123	789	210177	99	0	99	99	99	705.557	486.459	7.190	7.904	2.047	8.392	705.559	486.459	7.190	696	477	3	21	21	9
102	459	528	459	260	44982	98	0	98	98	98	617.041	480.418	7.000	4.814	1.352	4.717	617.041	480.418	7.000	612	472	3	11	15	8
103	2637	1770	2637	1070	424557	161	0	161	161	161	487.879	494.210	7.364	9.323	2.971	9.289	487.877	494.210	7.364	476	482	3	26	28	10
104	539	510	539	287	23716	44	0	44	44	44	620.291	492.195	6.165	4.804	1.020	4.700	620.291	492.195	6.165	614	486	3	13	11	8
105	1440	1066	1440	654	145440	101	0	101	101	101	500.804	497.941	6.953	7.411	2.363	6.953	500.803	497.941	6.953	496	486	3	11	27	9
106	2473	1568	2473	971	257192	104	0	104	104	104	681.224	508.393	6.968	9.021	2.927	8.791	681.216	508.393	6.968	674	495	3	18	29	10
107	1130	898	1130	541	184190	163	0	163	163	163	512.696	501.574	7.565	6.566	1.732	6.365	512.697	501.575	7.565	507	495	3	16	17	10
108	869	814	869	436	88638	102	0	102	102	102	623.808	500.212	7.035	6.285	2.047	6.178	623.811	500.212	7.035	613	492	3	21	16	8
109	540	566	540	307	55620	103	0	103	103	103	761.381	501.102	7.481	5.345	1.851	5.262	761.384	501.102	7.481	754	497	3	18	9	9
110	1259	906	1259	559	132195	105	0	105	105	105	666.480	515.123	6.745	6.573	1.693	6.750	666.478	515.123	6.745	658	507	3	15	18	9
111	1563	1106	1563	646	167241	107	0	107	107	107	542.334	527.073	7.191	7.165	1.848	7.585	542.337	527.073	7.191	533	518	3	20	19	9
112	2934	1744	2934	1008	319806	109	0	109	109	109	771.879	538.263	7.335	9.154	2.464	9.239	771.877	538.264	7.335	758	527	3	26	26	10
113	1291	1170	1291	623	256909	199	0	199	199	199	661.763	538.670	8.375	7.078	2.370	7.349	661.764	538.669	8.375	649	531	3	23	18	10
114	1615	1206	1615	725	179265	111	0	111	111	111	528.561	541.861	6.723	7.626	2.392	7.760	528.563	541.861	6.723	520	531	3	18	24	8
115	1718	1428	1718	792	345318	201	0	201	201	201	543.621	555.256	7.841	8.162	2.897	7.968	543.620	555.256	7.841	533	538	3	22	28	10
116	1795	1246	1795	724	208220	116	0	116	116	116	571.424	559.140	6.653	7.552	2.015	7.864	571.417	559.140	6.653	561	549	3	21	22	9
117	2059	1736	2059	900	364443	177	0	177	177	177	657.051	561.060	7.938	8.630	2.821	8.459	657.051	561.059	7.938	646	550	3	24	28	11
118	2296	1502	2296	906	268632	117	0	117	117	117	739.567	559.733	6.917	8.453	2.357	8.676	739.565	559.735	6.917	729	549	3	24	20	10
119	1204	948	1204	548	56588	47	0	47	47	47	558.356	568.894	6.179	6.538	1.737	6.798	558.360	568.894	6.179	549	560	3	20	18	7
120	2899	2208	2899	1307	342082	118	0	118	118	118	607.665	566.409	7.616	10.220	3.465	10.380	607.669	566.409	7.616	596	549	3	25	35	9
121	1957	1280	1957	779	232883	119	0	119	119	119	706.505	567.417	6.972	7.794	2.035	8.103	706.506	567.417	6.972	698	557	3	19	23	8
122	2064	1320	2064	857	251808	122	0	122	122	122	723.234	574.932	6.516	8.074	2.188	8.385	723.230	574.932	6.516	711	565	3	23	20	8
123	2129	1326	2129	846	383220	180	0	180	180	180	743.177	578.471	7.428	8.114	2.059	8.487	743.172	578.471	7.428	734	570	3	20	21	10
