 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
77	1752	1110	1752	791	126144	72	0	72	72	72	175.518	809.635	6.913	7.775	2.262	7.773	175.518	809.635	6.913	167	801	4	16	22	7
78	1492	1042	1492	676	102948	69	0	69	69	69	189.964	809.958	7.036	7.485	2.382	7.275	189.964	809.958	7.036	184	801	4	19	22	7
79	903	750	903	468	68628	76	0	76	76	76	69.938	823.884	6.454	6.448	2.213	6.255	69.938	823.884	6.454	63	815	4	14	20	7
80	467	448	467	268	36426	78	0	78	78	78	81.567	827.360	7.019	4.604	1.056	4.451	81.567	827.360	7.019	77	824	4	14	8	7
81	1189	958	1189	604	95120	80	0	80	80	80	46.510	829.593	6.675	7.415	2.821	6.948	46.510	829.593	6.675	32	824	4	26	13	7
82	672	582	672	350	54432	81	0	81	81	81	145.900	831.993	6.978	5.305	1.300	5.139	145.900	831.992	6.978	138	828	4	17	11	7
83	842	740	842	431	66518	79	0	79	79	79	167.077	827.898	7.080	5.959	1.828	6.066	167.077	827.898	7.080	159	820	4	16	17	7
84	785	654	785	401	65155	83	0	83	83	83	139.239	842.553	6.631	5.628	1.464	5.738	139.239	842.552	6.631	134	835	4	13	16	7
85	1105	988	1105	584	92820	84	0	84	84	84	154.232	844.751	7.103	6.774	2.106	7.053	154.232	844.751	7.103	145	835	4	19	21	7
86	1091	848	1091	513	96008	88	0	88	88	88	120.298	855.324	7.006	6.396	1.813	6.631	120.298	855.324	7.006	111	848	4	19	15	7
87	709	730	709	397	63101	89	0	89	89	89	16.374	858.630	6.969	5.950	2.123	5.881	16.374	858.630	6.969	10	851	4	17	15	7
88	200	328	200	156	4800	24	0	24	24	24	374.995	638.000	6.550	4.144	1.713	4.256	374.995	638.000	6.550	369	634	5	14	10	4
89	235	338	235	171	5875	25	0	25	25	25	363.574	648.391	6.566	3.816	1.271	3.871	363.574	648.391	6.566	359	642	5	11	12	4
90	402	440	402	249	17286	43	0	43	43	43	232.388	730.497	7.025	4.435	1.159	4.634	232.388	730.497	7.025	225	726	5	13	10	6
91	325	364	325	215	14300	44	0	44	44	44	243.043	731.655	6.988	4.100	1.189	4.019	243.043	731.655	6.988	239	726	5	12	10	5
92	737	618	737	374	40535	55	0	55	55	55	239.692	763.625	7.383	5.509	1.445	5.629	239.692	763.626	7.383	232	758	5	15	13	6
93	821	868	821	473	48439	59	0	59	59	59	223.943	768.432	7.273	6.877	2.362	6.931	223.943	768.432	7.273	215	762	5	21	19	6
94	454	498	454	266	46308	102	0	102	102	102	228.967	778.467	7.744	4.865	1.587	4.786	228.967	778.467	7.744	222	774	5	15	11	6
95	751	712	751	391	72096	96	0	96	96	96	66.292	907.298	7.196	5.841	1.831	5.755	66.292	907.298	7.196	56	901	5	19	15	6
96	840	772	840	456	81480	97	0	97	97	97	38.980	915.467	6.969	6.032	1.907	6.312	38.980	915.466	6.969	30	906	5	18	18	5
97	595	666	595	362	61285	103	0	103	103	103	19.013	924.708	7.358	5.934	2.402	5.708	19.013	924.708	7.358	13	917	5	16	21	6
98	292	370	292	202	10512	36	0	36	36	36	385.955	687.079	7.322	4.109	1.369	4.137	385.955	687.079	7.322	382	680	6	11	14	4
99	201	258	201	137	19899	99	0	99	99	99	393.488	693.910	7.547	3.418	0.989	3.325	393.488	693.910	7.547	388	690	6	12	8	4
100	434	476	434	269	43400	100	0	100	100	100	301.797	707.682	7.495	4.656	1.447	4.775	301.797	707.682	7.495	295	702	6	15	13	4
