"","volumelist","X.2","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","symbiontvolume","symbiontcorrection","correctedsymbiontvolume","symaporatio","volumelist","X1","Volume..pixel.3.","symvolrat","totalpoints","overlappoints","halfoverlappoints","pointratio","nonoverlappoints","overlapexpected","pointspervolume","observed_expected","symvolvox$Nb.of.obj..voxels","symvolrat2","totalpointnuc","nonoverlapnuc","halfnonoverlapnuc","overlapnuc","overlapnucexp","nucpervolume","nuc_observed_expected","nonoverlapexpected","chisquare","nonoverlapnucexpected","chisquarenuc","symvolrat3","halfchisquarenuc"
"11","16 tentacle 2nd middle 3.txt",11,11,1,1351380.25,166593.656,8209380,869808,372183269376,45336.344,5848.636,47066,11361,59164,473.255,254.346,10.127,120.881,55.296,115.893,469.464,259.868,10.572,1,2,1,1021,578,20,2531367,33559,2497808,1.84833839328346,"16 tentacle 2nd middle 3.txt",11,860064,0.636433749864259,236,105,53,0.444915254237288,131,71.805993631675,0.000174636265403464,33.194006368325,860064,0.104766011562384,4287,2382,3139,1905,1304.37413008047,0.00317231216010446,600.625869919531,164.194006368325,22.0553194668378,2982.62586991953,397.521474266841,0.304262684879979,397.521474266841
"12","16 tentacle base 1 and 2.txt",12,12,1,1270781.875,157527.219,7719760,815086,338755420160,43881.602,6238.493,45919,7686,58659,548.112,253.527,10.172,110.918,48.282,106.557,552.852,257.53,10.675,21,2,1,1001,555,20,3383117,53060,3330057,2.62047882922472,"16 tentacle base 1 and 2.txt",12,1109548,0.873122305116289,191,94,55,0.492146596858639,97,82.3912773195022,0.000150301167932538,11.6087226804978,1109548,0.143728302434273,4121,1822,2654,2299,1777.66729755847,0.00324288540863868,521.332702441527,108.608722680498,2.87644648342329,2343.33270244153,268.873570821121,0.431367944081163,268.873570821121
"13","16 tentacle base 1.txt",13,13,1,974374.312,124203.844,5919140,634232,268804374528,45412.742,5693.539,46786,12213,58125,567.369,752.591,10.442,107.58,51.219,101.664,562.795,759.845,10.512,61,524,1,960,434,20,2798096,52241,2745855,2.81806998212408,"16 tentacle base 1.txt",13,901905,0.925624771602148,219,138,72,0.63013698630137,81,101.59284034505,0.000224759619894413,36.4071596549499,901905,0.152370952537024,3309,1477,2135,1832,1535.02606713137,0.0033960254896375,296.973932868626,117.40715965495,24.3366069048025,1773.97393286863,107.169311152368,0.463894248150914,107.169311152368
"14","16 tentacle middle 1.txt",14,14,1,972224.438,124480.328,5906080,636904,272915202048,46209.195,5023.162,47163,13784,59787,486.198,660.484,10.442,116.309,56.597,113.463,480.328,664.627,10.46,2,449,1,1019,415,20,3008808,57606,2951202,3.03551513894367,"16 tentacle middle 1.txt",14,964875,0.992440595285674,297,193,96,0.64983164983165,104,148.407572196787,0.000305485018059174,44.592427803213,964875,0.163369781648742,3503,1363,2153,2140,1750.40984984965,0.00360307750256325,389.590150150354,148.592427803213,26.7809479826413,1752.59015015035,173.314923086468,0.499688795275377,173.314923086468
"15","16 tentacle middle 2.txt",15,15,1,1044697.5,135880.766,6346340,683126,260593418240,41062,6388.965,41114,12153,58213,461.927,714.582,10.45,123.068,57.253,121.842,451.77,719.047,10.488,0,516,1,1017,506,20,2806849,45965,2760884,2.64275926763489,"16 tentacle middle 2.txt",15,1017026,0.973512428238796,200,97,51,0.485,103,87.0071253667468,0.000191442977512629,9.99287463325318,1017026,0.160253941641954,3318,1337,2037,1981,1443.44820983433,0.00317603899693452,537.55179016567,112.992874633253,2.03144465932533,1874.55179016567,354.338511788358,0.435035626833734,354.338511788358
"16","16 tentacle middle 3.txt",16,16,1,1045270.375,131920.516,6349820,682106,273245077504,43031.941,6200.561,43555,11025,58001,485.446,270.376,10.45,116.911,56.119,113.908,477.804,269.389,10.461,1,82,1,1016,406,20,3225545,48130,3177415,3.03980202251499,"16 tentacle middle 3.txt",16,1087713,1.04060444648113,189,134,62,0.708994708994709,55,94.5745603812392,0.000180814461521499,39.4254396187608,1087713,0.171298241524957,3351,1054,1827,2297,1676.82196739435,0.00320586910348435,620.178032605649,94.4254396187608,32.8966403546055,1674.17803260565,459.111944566421,0.500394499371636,459.111944566421
"17","16 tentacle tip 1.txt",17,17,1,915456.625,116725.828,5561226,554206,255022923776,45857.32,4767.016,45919,13711,59571,498.294,436.586,11.455,125.457,63.407,125.02,493.566,431.346,11.38,0,94,1,1022,682,22,3198948,62031,3136917,3.42661455970129,"16 tentacle tip 1.txt",17,1036606,1.13233764625386,254,219,145,0.862204724409449,35,143.273608733038,0.00027745716516061,75.7263912669616,1036606,0.186398826445823,2978,735,1465,2243,1679.79845199602,0.00325302140885157,563.201548003983,110.726391266962,91.8144195531958,1298.20154800398,433.164716343084,0.564069325720624,433.164716343084
"18","16 tentacle tip 2.txt",18,18,1,710580.125,95441.836,4316640,472524,197940609024,45855.25,4539.717,45987,12736,58571,432.884,762.826,10.419,105.952,52.801,104.256,428.037,755.274,10.392,0,601,1,945,340,20,3244659,77270,3167389,4.45746916999684,"16 tentacle tip 2.txt",18,1083930,1.52541558912867,157,148,121,0.942675159235669,9,115.200728575929,0.000220946230377609,32.7992714240706,1083930,0.251105026131436,2480,346,908,2134,1819.73125393825,0.00349010605946796,314.268746061752,41.7992714240706,35.0755191933488,660.268746061752,203.85720791978,0.733762602394455,203.85720791978
"19","16 tentacle tip 3.txt",19,19,1,817711,110166.133,4967440,537028,224531841024,45200.715,4940.275,45215,13349,59641,463.209,299.029,10.4,112.94,57.242,109.406,460.65,295.344,10.362,1,0,1,953,605,20,3060947,93837,2967110,3.62855581006003,"16 tentacle tip 3.txt",19,1044484,1.27732658604324,189,160,107,0.846560846560847,29,112.891910118693,0.000231133004203196,47.1080898813071,1044484,0.210266052534102,2638,607,1260,2031,1575.7082481117,0.00322607865125943,455.291751888297,76.1080898813071,48.8156583162212,1062.2917518883,326.689170919528,0.597311693749698,326.689170919528
"20","17 tentacle base 1.txt",20,20,1,1323844.625,129587.383,8042106,609735,410073661440,50990.832,2638.118,50107,13488,59557,626.8,349.155,15.052,101.282,44.502,98.49,609.897,342.72,14.885,208,2,1,797,687,29,11528255,822767,10705488,8.08666500421075,"17 tentacle base 1.txt",20,2038989,1.54020265029214,569,499,408,0.876977152899824,70,757.441231438631,0.000429808747382269,-258.441231438631,2038989,0.253539184885153,5039,618,1565,4421,6707.81435012172,0.00380633792277549,-2286.81435012172,-188.441231438631,-266.263106054765,-1668.81435012172,-2354.05776798895,1.33117966860919,-2354.05776798895
"21","17 tentacle base 2.txt",21,21,1,1133961.5,112952.672,6888602,530939,331584176128,48135.191,2605.697,48761,14965,58725,631.996,456.425,15.034,94.247,40.861,92.538,639.061,462.721,15.333,174,252,1,843,448,29,10987949,847258,10140691,8.94271189983081,"17 tentacle base 2.txt",21,2271924,2.00352833848415,617,583,509,0.944894651539708,34,908.283908258889,0.000544110183634982,-325.283908258889,2271924,0.329809154310265,4109,173,714,3936,6048.84696764307,0.00362357981289488,-2112.84696764307,-291.283908258889,-246.758550034647,-1939.84696764307,-1563.26339509779,1.47209709604358,-1563.26339509779
"22","17 tentacle middle 1.txt",22,22,1,1251171.125,125976.461,7600628,601194,375087955968,49349.602,2752.535,49525,15091,58946,560.763,329.704,14.442,104.914,46.947,102.799,558.059,329.649,14.574,130,104,1,879,566,28,11067724,656904,10410820,8.32086018609165,"17 tentacle middle 1.txt",22,2104889,1.68233502031946,531,496,426,0.934086629001883,35,727.327455047136,0.000424402377412602,-231.327455047136,2104889,0.276936195272285,4594,298,1148,4296,6292.54675797842,0.00367175992812334,-1996.54675797842,-196.327455047136,-198.993028895531,-1698.54675797842,-1713.34966480139,1.36973155376108,-1713.34966480139
"23","17 tentacle middle 2.txt",23,23,1,1093238.375,113062.227,6641217,552942,317552852992,47815.461,2751.349,48377,15594,60065,492.907,666.949,13.778,111.763,54.701,109.164,495.846,685.088,14.154,18,521,1,972,348,27,10007376,525715,9481661,8.67300418355695,"17 tentacle middle 2.txt",23,2053996,1.87881805740674,711,655,515,0.921237693389592,56,1015.09421706895,0.000650361363321151,-360.09421706895,2053996,0.309280061169512,3956,150,836,3806,5647.97851297435,0.00361860696666452,-1841.97851297435,-304.09421706895,-298.667096224429,-1691.97851297435,-1404.551031869,1.42769932077208,-1404.551031869
"24","17 tentacle tip 1.txt",24,24,1,1012315.938,110755.781,6149628,511178,291364077568,47379.137,3384.5,47433,17545,58809,473.424,415.145,13.778,112.132,55.253,110.326,467.814,411.036,13.937,18,140,1,935,576,27,2527,0,2527,0.00249625626263725,"17 tentacle tip 1.txt",24,1472,0.00145409149924892,434,1,0,0.00230414746543779,433,0.178338917410939,0.000428719912142685,0.821661082589061,1472,0.000239364072103223,3187,3187,3187,0,1.30959937739323,0.00314822663594179,-1.30959937739323,433.821661082589,3.7871962053363,3185.69040062261,1.31013773809801,0.000410919164541335,1.31013773809801
"25","17 tentacle tip 2.txt",25,25,1,822172.25,92449.672,4994541,413266,238434680832,47739.059,3427.241,46954,14625,60208,358.122,704.775,13.95,93.808,45.802,89.345,353.241,690.459,13.713,1,406,1,729,616,27,2805925,181854,2624071,3.19163168058761,"17 tentacle tip 2.txt",25,607485,0.73887801491719,399,214,154,0.536340852130326,185,209.62973954964,0.000485299765347225,4.37026045035969,607485,0.121629795410629,2467,1265,1557,1202,1296.13174804251,0.00300058777220953,-94.131748042513,189.37026045036,0.191965358565723,1170.86825195749,14.4040366595806,0.525387818420151,14.4040366595806
"26","23 tentacle base 1.txt",26,26,1,861939.562,109230.516,5236120,557812,239487287296,45737.547,5451.304,47009,14181,59253,371.162,308.442,10.409,86.302,33.228,87.93,374.312,309.13,10.558,114,0,1,504,677,20,1359769,13937,1345832,1.56139949868086,"23 tentacle base 1.txt",26,525511,0.609684278536457,350,78,21,0.222857142857143,272,89.959970359732,0.000406060953030022,-11.959970359732,525511,0.100362673124375,3053,2061,2510,992,784.707970023605,0.00354201168457331,207.292029976395,260.040029640268,2.14012302998337,2268.29202997639,73.7029689828616,0.257028486742091,73.7029689828616
"27","23 tentacle base 2.txt",27,27,1,584530.125,85134.961,3550910,404550,161432141824,45462.188,5411.623,46594,12588,59557,357.602,425.272,10.048,91.896,45.081,88.915,362.805,428.756,9.992,2,57,1,722,661,19,820311,7950,812361,1.38976755047484,"23 tentacle base 2.txt",27,354073,0.605739524545463,340,59,10,0.173529411764706,281,77.7836498249744,0.000581663776524777,-18.7836498249744,354073,0.0997133129254191,2217,1647,1950,570,507.195151946966,0.00379278997810421,62.8048480530343,262.216350175026,5.88153651895015,1709.80484805303,10.0839432698091,0.22877544066169,10.0839432698091
"28","23 tentacle base 3.txt",28,28,1,659444.062,90427.117,4005998,455633,182417326080,45536.051,5365.165,46592,13656,58884,678.569,645.209,9.942,90.199,41.141,87.86,682.315,639.872,10.006,468,269,1,432,752,19,1228737,18193,1210544,1.83570384473338,"23 tentacle base 3.txt",28,447696,0.678899130037204,303,58,10,0.191419141914191,245,91.561411663211,0.000459477941284427,-33.561411663211,447696,0.111756421246341,2443,1613,2033,830,738.232767964437,0.00370463567840876,91.7672320355626,211.438588336789,17.628945608286,1704.76723203556,16.3470851284725,0.302182876776274,16.3470851284725
"29","23 tentacle middle 1.txt",29,29,1,918446.312,130128.836,5579388,662236,238305886208,42711.832,6112.035,42995,11800,58672,334.082,515.853,9.389,119.639,58.765,116.889,335.247,514.904,9.518,92,4,1,570,1016,18,2178489,38415,2140074,2.33010244805687,"23 tentacle middle 1.txt",29,862464,0.939046723506251,333,117,36,0.351351351351351,216,127.728102437041,0.00036256882481771,-10.7281024370415,862464,0.154580394839004,3119,1671,2345,1448,1196.3482027061,0.00339595244626558,251.651797293897,205.271897562959,1.46175335632608,1922.6517972939,85.8731132154275,0.383567875186311,85.8731132154275
"30","23 tentacle middle 3.txt",30,30,1,776172.25,106008.211,4715100,513774,208281255936,44173.242,5760.203,44952,13963,59511,791.037,531.64,10.4,111.363,56.489,107.615,792.253,523.708,10.48,464,14,1,557,1007,20,1404607,18994,1385613,1.78518750187217,"23 tentacle middle 3.txt",30,541946,0.698229033568258,368,92,25,0.25,276,108.143111280779,0.00047412156257841,-16.1431112807788,541946,0.114938389429705,2601,1689,2167,912,764.348457720939,0.00335106028333273,147.651542279061,259.856888719221,3.41263000837646,1836.65154227906,40.3922612056285,0.293867150219508,40.3922612056285
"31","23 tentacle tip 1.txt",31,31,1,559756.688,85079.945,3400416,411920,154454949888,45422.367,6230.791,47380,11630,58915,533.967,513.92,9.491,104.173,52.936,102.824,541.238,495.233,9.49,245,38,1,507,899,18,760576,20112,740464,1.32283189441767,"23 tentacle tip 1.txt",31,301240,0.538162395301296,258,63,22,0.244186046511628,195,56.1812766437989,0.000460914546500247,6.81872335620113,301240,0.088589160855613,2088,1605,1815,483,454.676378419582,0.00373019214376944,28.3236215804184,201.818723356201,1.05796862744108,1633.32362158042,2.25555502281518,0.217756886216275,2.25555502281518
"32","23 tentacle tip 2.txt",32,32,1,626612.875,93670.188,3806555,437291,171837685760,45142.574,4985.54,46073,8940,58046,575.659,671.017,10.006,117.357,59.884,116.11,564.209,657.396,9.928,188,212,1,834,808,19,727678,9484,718194,1.14615263850108,"23 tentacle tip 2.txt",32,307242,0.490321875368424,364,72,19,0.197802197802198,292,68.6769575114507,0.000580900927067609,3.32304248854935,307242,0.0807139263717456,2402,1867,2132,535,453.192450391496,0.00383330776597911,81.8075496085042,295.323042488549,0.198182266583043,1948.8075496085,18.2015407354064,0.188672960196293,18.2015407354064
"33","23 tentacle tip 3.txt",33,33,1,730188.938,102731.156,4435760,484004,196890591232,44387.117,6457.987,46470,13043,59317,583.651,670.055,10.4,113.728,58.62,110.79,563.492,680.308,10.472,57,247,1,949,717,20,1013965,15839,998126,1.36694209958026,"23 tentacle tip 3.txt",33,419928,0.575094990003806,444,80,24,0.18018018018018,364,99.9080076469421,0.000608061800026886,-19.9080076469421,419928,0.0946687828015943,2506,1896,2155,610,563.895196313597,0.00343198844789949,46.1048036864032,344.091992353058,5.11874745962235,1942.1048036864,4.86409852837613,0.225018035240861,4.86409852837613
"34","24 tentacle base 1.txt",34,34,1,617051.625,107045.414,3748472,561080,171099586560,45645.156,5386.662,46848,12932,60171,434.627,592.486,7.45,97.384,44.246,93.81,435.287,592.388,7.493,4,330,1,866,463,14,2213304,15517,2197787,3.56175546900148,"24 tentacle base 1.txt",34,923282,1.49627999115957,371,287,160,0.773584905660377,84,217.523027249503,0.000601246289562887,69.4769727504967,923282,0.246308895998156,2693,667,1343,2026,1578.94747273022,0.0043643025816519,447.052527269778,153.476972750497,53.6422790197723,1114.05252726978,305.970891224026,0.586315437330198,305.970891224026
"35","24 tentacle base 2.txt",35,35,1,289747.438,56855.094,1760161,286744,78321762304,44496.93,5001.9,45354,13804,58110,604.329,773.764,7,66.741,29.169,64.322,606.608,774.044,6.995,286,569,1,579,417,13,1397655,18660,1378995,4.75930006325026,"24 tentacle base 2.txt",35,604288,2.08556805254651,250,220,128,0.88,30,195.862054664318,0.00086282039877778,24.1379453356824,604288,0.343314049112553,1378,176,514,1202,1079.59164530972,0.00475586603806312,122.408354690281,54.1379453356824,13.7368935298581,298.408354690281,64.0915604470205,0.783448218657271,64.0915604470205
"36","24 tentacle base 3.txt",36,36,1,520009.594,92795.703,3158960,477656,144446177280,45725.863,5612.391,46993,9143,59496,699.421,422.154,7.429,98.107,46.625,96.264,701.782,418.249,7.513,517,16,1,427,878,14,1308189,6596,1301593,2.50301728086963,"24 tentacle base 3.txt",36,529586,1.01841582561263,255,139,73,0.545098039215686,116,105.068191746651,0.000490375567955387,33.9318082533492,529586,0.167645680856991,2463,1203,1653,1260,1014.8351226353,0.00473645107401615,245.164877364702,149.931808253349,18.6375641775601,1448.1648773647,100.731990914691,0.41203212449667,100.731990914691
"37","24 tentacle middle 1.txt",37,37,1,731281.312,127848.117,4442396,665708,203211784192,45743.734,5754.165,47062,13647,60387,475.071,492.719,7.5,119.151,59.224,114.732,472.462,493.841,7.528,2,84,1,1011,657,14,2019276,13512,2005764,2.74280768164906,"24 tentacle middle 1.txt",37,841321,1.15047518129384,322,202,101,0.627329192546584,120,145.384609566549,0.000440323025785185,56.6153904334508,841321,0.189384512321729,2986,1153,1808,1833,1348.19392598048,0.00408324395961044,484.806074019516,176.615390433451,40.1955434535402,1637.80607401952,317.841838766683,0.45150499865388,317.841838766683
"38","24 tentacle middle 2.txt",38,38,1,471278.844,83746.594,2862930,435294,132020305920,46113.703,5142.053,46934,12539,59778,365.958,580.089,7.451,97.586,48.867,93.782,366.909,580.169,7.497,224,121,1,281,895,14,1622237,20906,1601331,3.39784189421412,"24 tentacle middle 2.txt",38,698053,1.4811889158343,246,187,124,0.760162601626016,59,137.595898607371,0.000521983965823851,49.4041013926292,698053,0.243824683104372,1897,503,928,1394,1061.05455145603,0.00402521781775547,332.945448543974,108.404101392629,40.2540807280923,835.945448543974,237.081597763705,0.559332921168174,237.081597763705
"39","24 tentacle middle 3.txt",39,39,1,607455.25,107069.078,3690176,556784,171167645696,46384.684,5511.042,47984,10772,59374,544.679,533.212,7.444,112.447,56.878,108.535,547.682,530.199,7.517,266,8,1,474,1002,14,1119879,3270,1116609,1.83817491082676,"24 tentacle middle 3.txt",39,470189,0.774030679626195,268,108,49,0.402985074626866,160,81.0940215317643,0.000441184762169724,26.9059784682357,470189,0.127416415910786,2801,1660,2112,1141,847.55356085997,0.00461103924939327,293.44643914003,186.905978468236,12.8003057515749,1953.44643914003,145.680738982357,0.30258963258121,145.680738982357
"40","24 tentacle tip 1.txt",40,40,1,493469.812,89673.773,2997736,456580,145763794944,48624.629,4824.74,50381,13808,60634,541.87,516.393,7.431,113.35,56.921,111.487,534.876,520.545,7.546,1,306,1,1015,359,14,854078,14737,839341,1.70089634581335,"24 tentacle tip 1.txt",40,351286,0.711869280465732,167,78,50,0.467065868263473,89,46.7586028255991,0.000338419891022635,31.2413971744009,351286,0.11718376801693,2102,1186,1555,916,588.542414008438,0.00425963240077592,327.457585991562,120.241397174401,28.9909086619601,1513.45758599156,253.043276688726,0.279991633686222,253.043276688726
"41","24 tentacle tip 2.txt",41,41,1,531741.125,102870.094,3230227,521895,158730551296,49139.133,4310.962,50531,13676,60502,509.443,475.204,6.923,118.872,60.093,117.156,517.556,484.697,7.04,152,17,1,788,900,13,665076,5592,659484,1.24023508619913,"24 tentacle tip 2.txt",41,282046,0.530419760179354,207,76,44,0.367149758454106,131,42.261174833843,0.00038928717428053,33.738825166157,282046,0.0873146066824406,2525,1801,2068,724,515.504668866925,0.00474855128047506,208.495331133075,164.738825166157,33.8448603532996,2009.49533113308,105.958169357031,0.204160264897792,105.958169357031
"42","24 tentacle tip 3.txt",42,42,1,426704.281,82340.32,2592148,423553,124174467072,47904.082,4743.607,49209,14157,60535,641.99,578.153,6.959,106.529,54.102,106.405,645.652,570.11,7.012,454,73,1,370,947,13,533629,3699,529930,1.24191395211242,"24 tentacle tip 3.txt",42,221403,0.518867538617453,178,53,29,0.297752808988764,125,36.389720031418,0.000417150724578739,16.610279968582,221403,0.0854129471002427,2253,1673,1901,580,460.595726015644,0.00528000327233652,119.404273984356,141.610279968582,9.53016482401483,1792.40427398436,38.9085513885996,0.204436629389989,38.9085513885996
"43","31 tentacle base 1.txt",43,43,1,426021.156,78203,2587998,391254,121772515328,47052.785,4947.143,48587,13323,58690,716.463,526.917,7.499,84.577,37.315,83.485,718.133,529.31,7.515,522,149,1,444,773,14,1221336,16035,1205301,2.82920456654505,"31 tentacle base 1.txt",43,463528,1.08803986250861,329,197,112,0.598784194528875,132,153.224240899722,0.000772262117424046,43.7757591002775,463528,0.179106784472013,2049,873,1302,1176,954.27498359736,0.00480962029970174,221.72501640264,175.775759100278,23.4086737520376,1094.72501640264,96.4256928937833,0.465727175986998,96.4256928937833
"44","31 tentacle base 2.txt",44,44,1,546685,88233.648,3321008,442384,143825534976,43307.797,5973.604,44206,12422,57545,612.641,506.227,8.514,90.866,41.781,87.544,615.619,507.011,8.495,173,288,1,819,409,16,1488393,12871,1475522,2.69903509333528,"31 tentacle base 2.txt",44,613008,1.12131849236763,455,280,138,0.615384615384615,175,202.156245934969,0.000832289161034234,77.8437540650309,613008,0.184584921204646,2172,772,1191,1400,965.018387188468,0.00397303748959639,434.981612811532,252.843754065031,53.9410686905684,1206.98161281153,352.829896158204,0.444299441615317,352.829896158204
