"","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth"
"32","32",1,626612.875,93670.188,3806555,437291,171837685760,45142.574,4985.54,46073,8940,58046,575.659,671.017,10.006,117.357,59.884,116.11,564.209,657.396,9.928,188,212,1,834,808,19
"33","33",1,730188.938,102731.156,4435760,484004,196890591232,44387.117,6457.987,46470,13043,59317,583.651,670.055,10.4,113.728,58.62,110.79,563.492,680.308,10.472,57,247,1,949,717,20
"34","34",1,617051.625,107045.414,3748472,561080,171099586560,45645.156,5386.662,46848,12932,60171,434.627,592.486,7.45,97.384,44.246,93.81,435.287,592.388,7.493,4,330,1,866,463,14
"35","35",1,289747.438,56855.094,1760161,286744,78321762304,44496.93,5001.9,45354,13804,58110,604.329,773.764,7,66.741,29.169,64.322,606.608,774.044,6.995,286,569,1,579,417,13
"36","36",1,520009.594,92795.703,3158960,477656,144446177280,45725.863,5612.391,46993,9143,59496,699.421,422.154,7.429,98.107,46.625,96.264,701.782,418.249,7.513,517,16,1,427,878,14
"37","37",1,731281.312,127848.117,4442396,665708,203211784192,45743.734,5754.165,47062,13647,60387,475.071,492.719,7.5,119.151,59.224,114.732,472.462,493.841,7.528,2,84,1,1011,657,14
"38","38",1,471278.844,83746.594,2862930,435294,132020305920,46113.703,5142.053,46934,12539,59778,365.958,580.089,7.451,97.586,48.867,93.782,366.909,580.169,7.497,224,121,1,281,895,14
"39","39",1,607455.25,107069.078,3690176,556784,171167645696,46384.684,5511.042,47984,10772,59374,544.679,533.212,7.444,112.447,56.878,108.535,547.682,530.199,7.517,266,8,1,474,1002,14
"40","40",1,493469.812,89673.773,2997736,456580,145763794944,48624.629,4824.74,50381,13808,60634,541.87,516.393,7.431,113.35,56.921,111.487,534.876,520.545,7.546,1,306,1,1015,359,14
"41","41",1,531741.125,102870.094,3230227,521895,158730551296,49139.133,4310.962,50531,13676,60502,509.443,475.204,6.923,118.872,60.093,117.156,517.556,484.697,7.04,152,17,1,788,900,13
"42","42",1,426704.281,82340.32,2592148,423553,124174467072,47904.082,4743.607,49209,14157,60535,641.99,578.153,6.959,106.529,54.102,106.405,645.652,570.11,7.012,454,73,1,370,947,13
"43","43",1,426021.156,78203,2587998,391254,121772515328,47052.785,4947.143,48587,13323,58690,716.463,526.917,7.499,84.577,37.315,83.485,718.133,529.31,7.515,522,149,1,444,773,14
"44","44",1,546685,88233.648,3321008,442384,143825534976,43307.797,5973.604,44206,12422,57545,612.641,506.227,8.514,90.866,41.781,87.544,615.619,507.011,8.495,173,288,1,819,409,16
"45","45",1,308962.688,54728.121,1876890,268647,83206135808,44331.918,6776.072,45722,10732,58935,575.521,410.534,8,64.272,28.96,61.095,579.351,410.604,7.997,269,198,1,543,431,15
"46","46",1,478589.375,76984,2907340,369760,136218722304,46853.387,5180.794,48452,13133,59145,479.667,759.209,9,92.999,46.047,91.933,476.029,759.474,9.036,82,496,1,838,508,17
"47","47",1,545123.125,88964.336,3311520,443998,138970529792,41965.781,7387.065,42816,10959,59458,718.669,551.552,8.515,99.72,48.591,97.996,717.749,547.751,8.495,420,164,1,560,825,16
"48","48",1,566997.062,93788.453,3444400,460006,148176404480,43019.512,6903.604,44297,10728,59330,615.746,522.944,8.5,105.304,54.261,101.419,620.142,520.946,8.494,240,117,1,700,855,16
"49","49",1,398224.062,67643.93,2419136,326052,112992059392,46707.609,5683.199,48565,14089,58913,618.994,619.594,8.538,85.599,41.486,83.843,621.157,622.969,8.511,330,289,1,535,697,16
"50","50",1,411446.875,76723.484,2499462,381426,114229026816,45701.445,7148.916,48666,11275,60361,580.294,386.699,7.5,98.12,45.481,96.5,598.634,396.414,7.517,204,57,1,810,551,14
"51","51",1,581571.188,101309.172,3532935,499528,159449202688,45132.223,6343.095,46863,11379,59129,423.785,586.878,8,120.058,61.565,119.727,435.416,598.451,7.998,57,117,1,807,889,15
"52","52",1,1257681.625,206524.703,7640178,1124166,366488649728,47968.602,5892.384,50101,12747,60215,558.238,471.841,7.571,122.323,47.682,124.32,555.49,470.793,7.55,60,112,1,962,734,14
"53","53",1,575210.5,98055.117,3494295,491750,161136459776,46114.156,6164.308,47907,13570,59551,329.263,402.919,8,93.431,44.253,89.762,331.802,405.158,8.033,4,2,1,781,723,15
