"","volumelist","X.2","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","symbiontvolume","symbiontcorrection","correctedsymbiontvolume","symaporatio","volumelist.1","X1.1","Volume..pixel.3.","symvolrat","totalpoints","overlappoints","halfoverlappoints","pointratio","nonoverlappoints","overlapexpected","pointspervolume","observed_expected","symvolvox$Nb.of.obj..voxels","symvolrat2","totalpointnuc","nonoverlapnuc","halfnonoverlapnuc","overlapnuc","overlapnucexp","nucpervolume","nuc_observed_expected","nonoverlapexpected","chisquare","nonoverlapnucexpected","chisquarenuc","symvolrat3","csbool","csbooln","edu_nonoverlap_half","nuc_overlap_half","halfsymvolrat3","edu_overlap_exp","edu_nonoverlap_exp","nuc_overlap_exp","nuc_nonoverlap_exp","halfchisquare","halfchisquarenuc"
"11","16 tentacle 2nd middle 3.txt",11,11,1,1351380.25,166593.656,8209380,869808,372183269376,45336.344,5848.636,47066,11361,59164,473.255,254.346,10.127,120.881,55.296,115.893,469.464,259.868,10.572,1,2,1,1021,578,20,2531367,33559,2497808,1.84833839328346,"16 tentacle 2nd middle 3.txt",11,860064,0.636433749864259,236,105,53,0.444915254237288,131,71.805993631675,0.000174636265403464,33.194006368325,860064,0.104766011562384,4287,2382,3139,1905,1304.37413008047,0.00317231216010446,600.625869919531,164.194006368325,22.0553194668378,2982.62586991953,397.521474266841,0.304262684879979,"True","True",183,1148,0.152131342439989,35.9029968158375,200.097003184163,652.187065040235,3634.81293495977,9.60242012338065,444.564666783033
"12","16 tentacle base 1 and 2.txt",12,12,1,1270781.875,157527.219,7719760,815086,338755420160,43881.602,6238.493,45919,7686,58659,548.112,253.527,10.172,110.918,48.282,106.557,552.852,257.53,10.675,21,2,1,1001,555,20,3383117,53060,3330057,2.62047882922472,"16 tentacle base 1 and 2.txt",12,1109548,0.873122305116289,191,94,55,0.492146596858639,97,82.3912773195022,0.000150301167932538,11.6087226804978,1109548,0.143728302434273,4121,1822,2654,2299,1777.66729755847,0.00324288540863868,521.332702441527,108.608722680498,2.87644648342329,2343.33270244153,268.873570821121,0.431367944081163,"False","True",136,1467,0.215683972040582,41.1956386597511,149.804361340249,888.833648779237,3232.16635122076,5.89780361377589,479.50600177654
"13","16 tentacle base 1.txt",13,13,1,974374.312,124203.844,5919140,634232,268804374528,45412.742,5693.539,46786,12213,58125,567.369,752.591,10.442,107.58,51.219,101.664,562.795,759.845,10.512,61,524,1,960,434,20,2798096,52241,2745855,2.81806998212408,"16 tentacle base 1.txt",13,901905,0.925624771602148,219,138,72,0.63013698630137,81,101.59284034505,0.000224759619894413,36.4071596549499,901905,0.152370952537024,3309,1477,2135,1832,1535.02606713137,0.0033960254896375,296.973932868626,117.40715965495,24.3366069048025,1773.97393286863,107.169311152368,0.463894248150914,"True","True",147,1174,0.231947124075457,50.7964201725251,168.203579827475,767.513033565687,2541.48696643431,11.5237586148789,280.295658516017
"14","16 tentacle middle 1.txt",14,14,1,972224.438,124480.328,5906080,636904,272915202048,46209.195,5023.162,47163,13784,59787,486.198,660.484,10.442,116.309,56.597,113.463,480.328,664.627,10.46,2,449,1,1019,415,20,3008808,57606,2951202,3.03551513894367,"16 tentacle middle 1.txt",14,964875,0.992440595285674,297,193,96,0.64983164983165,104,148.407572196787,0.000305485018059174,44.592427803213,964875,0.163369781648742,3503,1363,2153,2140,1750.40984984965,0.00360307750256325,389.590150150354,148.592427803213,26.7809479826413,1752.59015015035,173.314923086468,0.499688795275377,"True","True",201,1350,0.249844397637689,74.2037860983935,222.796213901606,875.204924924823,2627.79507507518,8.53463005331193,343.361265614847
"15","16 tentacle middle 2.txt",15,15,1,1044697.5,135880.766,6346340,683126,260593418240,41062,6388.965,41114,12153,58213,461.927,714.582,10.45,123.068,57.253,121.842,451.77,719.047,10.488,0,516,1,1017,506,20,2806849,45965,2760884,2.64275926763489,"16 tentacle middle 2.txt",15,1017026,0.973512428238796,200,97,51,0.485,103,87.0071253667468,0.000191442977512629,9.99287463325318,1017026,0.160253941641954,3318,1337,2037,1981,1443.44820983433,0.00317603899693452,537.55179016567,112.992874633253,2.03144465932533,1874.55179016567,354.338511788358,0.435035626833734,"False","True",149,1281,0.217517813416867,43.5035626833734,156.496437316627,721.724104917165,2596.27589508284,1.65086113626121,553.868329949819
"16","16 tentacle middle 3.txt",16,16,1,1045270.375,131920.516,6349820,682106,273245077504,43031.941,6200.561,43555,11025,58001,485.446,270.376,10.45,116.911,56.119,113.908,477.804,269.389,10.461,1,82,1,1016,406,20,3225545,48130,3177415,3.03980202251499,"16 tentacle middle 3.txt",16,1087713,1.04060444648113,189,134,62,0.708994708994709,55,94.5745603812392,0.000180814461521499,39.4254396187608,1087713,0.171298241524957,3351,1054,1827,2297,1676.82196739435,0.00320586910348435,620.178032605649,94.4254396187608,32.8966403546055,1674.17803260565,459.111944566421,0.500394499371636,"True","True",127,1524,0.250197249685818,47.2872801906196,141.71271980938,838.410983697176,2512.58901630282,6.10512505031653,747.693687598938
"17","16 tentacle tip 1.txt",17,17,1,915456.625,116725.828,5561226,554206,255022923776,45857.32,4767.016,45919,13711,59571,498.294,436.586,11.455,125.457,63.407,125.02,493.566,431.346,11.38,0,94,1,1022,682,22,3198948,62031,3136917,3.42661455970129,"16 tentacle tip 1.txt",17,1036606,1.13233764625386,254,219,145,0.862204724409449,35,143.273608733038,0.00027745716516061,75.7263912669616,1036606,0.186398826445823,2978,735,1465,2243,1679.79845199602,0.00325302140885157,563.201548003983,110.726391266962,91.8144195531958,1298.20154800398,433.164716343084,0.564069325720624,"True","True",109,1513,0.282034662860312,71.6368043665192,182.363195633481,839.899225998008,2138.10077400199,104.644594523916,751.327909016397
"18","16 tentacle tip 2.txt",18,18,1,710580.125,95441.836,4316640,472524,197940609024,45855.25,4539.717,45987,12736,58571,432.884,762.826,10.419,105.952,52.801,104.256,428.037,755.274,10.392,0,601,1,945,340,20,3244659,77270,3167389,4.45746916999684,"16 tentacle tip 2.txt",18,1083930,1.52541558912867,157,148,121,0.942675159235669,9,115.200728575929,0.000220946230377609,32.7992714240706,1083930,0.251105026131436,2480,346,908,2134,1819.73125393825,0.00349010605946796,314.268746061752,41.7992714240706,35.0755191933488,660.268746061752,203.85720791978,0.733762602394455,"True","True",36,1572,0.366881301197227,57.6003642879647,99.3996357120353,909.865626969124,1570.13437303088,110.220697375172,761.079227465878
"19","16 tentacle tip 3.txt",19,19,1,817711,110166.133,4967440,537028,224531841024,45200.715,4940.275,45215,13349,59641,463.209,299.029,10.4,112.94,57.242,109.406,460.65,295.344,10.362,1,0,1,953,605,20,3060947,93837,2967110,3.62855581006003,"16 tentacle tip 3.txt",19,1044484,1.27732658604324,189,160,107,0.846560846560847,29,112.891910118693,0.000231133004203196,47.1080898813071,1044484,0.210266052534102,2638,607,1260,2031,1575.7082481117,0.00322607865125943,455.291751888297,76.1080898813071,48.8156583162212,1062.2917518883,326.689170919528,0.597311693749698,"True","True",82,1378,0.298655846874849,56.4459550593465,132.554044940654,787.854124055852,1850.14587594415,64.5576650032626,630.291948834224
"24","17 tentacle tip 1.txt",24,24,1,1012315.938,110755.781,6149628,511178,291364077568,47379.137,3384.5,47433,17545,58809,473.424,415.145,13.778,112.132,55.253,110.326,467.814,411.036,13.937,18,140,1,935,576,27,2527,0,2527,0.00249625626263725,"17 tentacle tip 1.txt",24,1472,0.00145409149924892,434,1,0,0.00230414746543779,433,0.178338917410939,0.000428719912142685,0.821661082589061,1472,0.000239364072103223,3187,3187,3187,0,1.30959937739323,0.00314822663594179,-1.30959937739323,433.821661082589,3.7871962053363,3185.69040062261,1.31013773809801,0.000410919164541335,"False","False",434,0,0.000205459582270667,0.0891694587054697,433.910830541295,0.654799688696617,3186.3452003113,0.0891877831901475,0.654934251214286
"25","17 tentacle tip 2.txt",25,25,1,822172.25,92449.672,4994541,413266,238434680832,47739.059,3427.241,46954,14625,60208,358.122,704.775,13.95,93.808,45.802,89.345,353.241,690.459,13.713,1,406,1,729,616,27,2805925,181854,2624071,3.19163168058761,"17 tentacle tip 2.txt",25,607485,0.73887801491719,399,214,154,0.536340852130326,185,209.62973954964,0.000485299765347225,4.37026045035969,607485,0.121629795410629,2467,1265,1557,1202,1296.13174804251,0.00300058777220953,-94.131748042513,189.37026045036,0.191965358565723,1170.86825195749,14.4040366595806,0.525387818420151,"False","True",245,910,0.262693909210076,104.81486977482,294.18513022518,648.065874021256,1818.93412597874,31.3037906530468,143.58768496331
"26","23 tentacle base 1.txt",26,26,1,861939.562,109230.516,5236120,557812,239487287296,45737.547,5451.304,47009,14181,59253,371.162,308.442,10.409,86.302,33.228,87.93,374.312,309.13,10.558,114,0,1,504,677,20,1359769,13937,1345832,1.56139949868086,"23 tentacle base 1.txt",26,525511,0.609684278536457,350,78,21,0.222857142857143,272,89.959970359732,0.000406060953030022,-11.959970359732,525511,0.100362673124375,3053,2061,2510,992,784.707970023605,0.00354201168457331,207.292029976395,260.040029640268,2.14012302998337,2268.29202997639,73.7029689828616,0.257028486742091,"False","True",329,543,0.128514243371046,44.979985179866,305.020014820134,392.353985011803,2660.6460149882,14.6695982179954,66.3707819377356
"27","23 tentacle base 2.txt",27,27,1,584530.125,85134.961,3550910,404550,161432141824,45462.188,5411.623,46594,12588,59557,357.602,425.272,10.048,91.896,45.081,88.915,362.805,428.756,9.992,2,57,1,722,661,19,820311,7950,812361,1.38976755047484,"23 tentacle base 2.txt",27,354073,0.605739524545463,340,59,10,0.173529411764706,281,77.7836498249744,0.000581663776524777,-18.7836498249744,354073,0.0997133129254191,2217,1647,1950,570,507.195151946966,0.00379278997810421,62.8048480530343,262.216350175026,5.88153651895015,1709.80484805303,10.0839432698091,0.22877544066169,"True","True",330,267,0.114387720330845,38.8918249124872,301.108175087513,253.597575973483,1963.40242402652,24.2352775071266,0.799793702771208
