"","volumelist","X.2","X1","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","symbiontvolume","symbiontcorrection","correctedsymbiontvolume","symaporatio","volumelist.1","X1.1","Volume..pixel.3.","symvolrat","totalpoints","overlappoints","halfoverlappoints","pointratio","nonoverlappoints","overlapexpected","pointspervolume","observed_expected","symvolvox$Nb.of.obj..voxels","symvolrat2","totalpointnuc","nonoverlapnuc","halfnonoverlapnuc","overlapnuc","overlapnucexp","nucpervolume","nuc_observed_expected","nonoverlapexpected","chisquare","nonoverlapnucexpected","chisquarenuc","symvolrat3","csbool","csbooln","edu_nonoverlap_half","nuc_overlap_half","halfsymvolrat3","edu_overlap_exp","edu_nonoverlap_exp","nuc_overlap_exp","nuc_nonoverlap_exp","halfchisquare","halfchisquarenuc"
"38","24 tentacle middle 2.txt",38,38,1,471278.844,83746.594,2862930,435294,132020305920,46113.703,5142.053,46934,12539,59778,365.958,580.089,7.451,97.586,48.867,93.782,366.909,580.169,7.497,224,121,1,281,895,14,1622237,20906,1601331,3.39784189421412,"24 tentacle middle 2.txt",38,698053,1.4811889158343,246,187,124,0.760162601626016,59,137.595898607371,0.000521983965823851,49.4041013926292,698053,0.243824683104372,1897,503,928,1394,1061.05455145603,0.00402521781775547,332.945448543974,108.404101392629,40.2540807280923,835.945448543974,237.081597763705,0.559332921168174,"True","True",122,969,0.279666460584087,68.7979493036854,177.202050696315,530.527275728013,1366.47272427199,61.4895470047879,503.087830537495
"39","24 tentacle middle 3.txt",39,39,1,607455.25,107069.078,3690176,556784,171167645696,46384.684,5511.042,47984,10772,59374,544.679,533.212,7.444,112.447,56.878,108.535,547.682,530.199,7.517,266,8,1,474,1002,14,1119879,3270,1116609,1.83817491082676,"24 tentacle middle 3.txt",39,470189,0.774030679626195,268,108,49,0.402985074626866,160,81.0940215317643,0.000441184762169724,26.9059784682357,470189,0.127416415910786,2801,1660,2112,1141,847.55356085997,0.00461103924939327,293.44643914003,186.905978468236,12.8003057515749,1953.44643914003,145.680738982357,0.30258963258121,"True","True",219,689,0.151294816290605,40.5470107658822,227.452989234118,423.776780429985,2377.22321957001,2.07637090420539,195.582085833277
"40","24 tentacle tip 1.txt",40,40,1,493469.812,89673.773,2997736,456580,145763794944,48624.629,4824.74,50381,13808,60634,541.87,516.393,7.431,113.35,56.921,111.487,534.876,520.545,7.546,1,306,1,1015,359,14,854078,14737,839341,1.70089634581335,"24 tentacle tip 1.txt",40,351286,0.711869280465732,167,78,50,0.467065868263473,89,46.7586028255991,0.000338419891022635,31.2413971744009,351286,0.11718376801693,2102,1186,1555,916,588.542414008438,0.00425963240077592,327.457585991562,120.241397174401,28.9909086619601,1513.45758599156,253.043276688726,0.279991633686222,"True","True",117,547,0.139995816843111,23.3793014127995,143.6206985872,294.271207004219,1807.72879299578,35.2457537440533,252.383589146345
"41","24 tentacle tip 2.txt",41,41,1,531741.125,102870.094,3230227,521895,158730551296,49139.133,4310.962,50531,13676,60502,509.443,475.204,6.923,118.872,60.093,117.156,517.556,484.697,7.04,152,17,1,788,900,13,665076,5592,659484,1.24023508619913,"24 tentacle tip 2.txt",41,282046,0.530419760179354,207,76,44,0.367149758454106,131,42.261174833843,0.00038928717428053,33.738825166157,282046,0.0873146066824406,2525,1801,2068,724,515.504668866925,0.00474855128047506,208.495331133075,164.738825166157,33.8448603532996,2009.49533113308,105.958169357031,0.204160264897792,"True","True",163,457,0.102080132448896,21.1305874169215,185.869412583079,257.752334433462,2267.24766556654,27.5651822305483,171.532451827342
"42","24 tentacle tip 3.txt",42,42,1,426704.281,82340.32,2592148,423553,124174467072,47904.082,4743.607,49209,14157,60535,641.99,578.153,6.959,106.529,54.102,106.405,645.652,570.11,7.012,454,73,1,370,947,13,533629,3699,529930,1.24191395211242,"24 tentacle tip 3.txt",42,221403,0.518867538617453,178,53,29,0.297752808988764,125,36.389720031418,0.000417150724578739,16.610279968582,221403,0.0854129471002427,2253,1673,1901,580,460.595726015644,0.00528000327233652,119.404273984356,141.610279968582,9.53016482401483,1792.40427398436,38.9085513885996,0.204436629389989,"True","True",149,352,0.102218314694994,18.194860015709,159.805139984291,230.297863007822,2022.70213699218,7.14728886917888,71.6367308731354
"43","31 tentacle base 1.txt",43,43,1,426021.156,78203,2587998,391254,121772515328,47052.785,4947.143,48587,13323,58690,716.463,526.917,7.499,84.577,37.315,83.485,718.133,529.31,7.515,522,149,1,444,773,14,1221336,16035,1205301,2.82920456654505,"31 tentacle base 1.txt",43,463528,1.08803986250861,329,197,112,0.598784194528875,132,153.224240899722,0.000772262117424046,43.7757591002775,463528,0.179106784472013,2049,873,1302,1176,954.27498359736,0.00480962029970174,221.72501640264,175.775759100278,23.4086737520376,1094.72501640264,96.4256928937833,0.465727175986998,"True","True",217,747,0.232863587993499,76.6121204498612,252.387879550139,477.13749179868,1571.86250820132,21.3078191000496,198.9614626128
"44","31 tentacle base 2.txt",44,44,1,546685,88233.648,3321008,442384,143825534976,43307.797,5973.604,44206,12422,57545,612.641,506.227,8.514,90.866,41.781,87.544,615.619,507.011,8.495,173,288,1,819,409,16,1488393,12871,1475522,2.69903509333528,"31 tentacle base 2.txt",44,613008,1.12131849236763,455,280,138,0.615384615384615,175,202.156245934969,0.000832289161034234,77.8437540650309,613008,0.184584921204646,2172,772,1191,1400,965.018387188468,0.00397303748959639,434.981612811532,252.843754065031,53.9410686905684,1206.98161281153,352.829896158204,0.444299441615317,"True","True",317,981,0.222149720807658,101.078122967485,353.921877032515,482.509193594234,1689.49080640577,17.3386133816286,662.083403574286
"45","31 tentacle base 3.txt",45,45,1,308962.688,54728.121,1876890,268647,83206135808,44331.918,6776.072,45722,10732,58935,575.521,410.534,8,64.272,28.96,61.095,579.351,410.604,7.997,269,198,1,543,431,15,753837,5991,747846,2.42050587027518,"31 tentacle base 3.txt",45,305772,0.989672901861858,165,76,24,0.460606060606061,89,65.7441778687083,0.000534045068898417,10.2558221312917,305772,0.162914182504036,1251,637,850,614,498.460403113661,0.00404903261328436,115.539596886339,99.2558221312917,2.65957115917118,752.539596886339,44.5203925338306,0.398449562840657,"False","True",141,401,0.199224781420328,32.8720889343542,132.127911065646,249.230201556831,1001.76979844317,2.99029369566856,115.414246715866
"46","31 tentacle middle 1.txt",46,46,1,478589.375,76984,2907340,369760,136218722304,46853.387,5180.794,48452,13133,59145,479.667,759.209,9,92.999,46.047,91.933,476.029,759.474,9.036,82,496,1,838,508,17,1560540,18036,1542504,3.22302182324879,"31 tentacle middle 1.txt",46,596188,1.24571925567717,176,127,78,0.721590909090909,49,93.3776936993953,0.000367747403502219,33.6223063006047,596188,0.205063047321607,1838,453,886,1385,975.160233065276,0.00384045299793795,409.839766934724,82.6223063006047,25.7885670745399,862.839766934724,366.916771512684,0.530555077837473,"True","True",98,952,0.265277538918737,46.6888468496977,129.311153150302,487.580116532638,1350.41988346736,28.5799628859714,602.077373889483
"47","31 tentacle middle 2.txt",47,47,1,545123.125,88964.336,3311520,443998,138970529792,41965.781,7387.065,42816,10959,59458,718.669,551.552,8.515,99.72,48.591,97.996,717.749,547.751,8.495,420,164,1,560,825,16,1618064,15929,1602135,2.93903326886013,"31 tentacle middle 2.txt",47,663758,1.2176295034264,289,212,134,0.73356401384083,77,139.820087150312,0.000530155457998594,72.1799128496883,663758,0.200439073295647,2003,648,1051,1355,969.064479453544,0.00367439924695912,385.935520546456,149.179912849688,72.1856101776974,1033.93552054646,297.75860575286,0.483806529931874,"True","True",155,952,0.241903264965937,69.9100435751558,219.089956424844,484.532239726772,1518.46776027323,77.5025074552349,594.916512193867
"48","31 tentacle middle 3.txt",48,48,1,566997.062,93788.453,3444400,460006,148176404480,43019.512,6903.604,44297,10728,59330,615.746,522.944,8.5,105.304,54.261,101.419,620.142,520.946,8.494,240,117,1,700,855,16,1696313,16059,1680254,2.96342629020536,"31 tentacle middle 3.txt",48,654653,1.15459681164979,231,140,80,0.606060606060606,91,112.686875508071,0.000407409518464136,27.3131244919289,654653,0.190063000812914,2093,878,1272,1215,1021.01138717919,0.00369137715214475,193.988612820811,118.313124491929,12.9255337912345,1071.98861282081,71.9616222967557,0.487821971896412,"True","True",151,821,0.243910985948206,56.3434377540355,174.656562245964,510.505693589595,1582.49430641041,13.1367216418702,249.766255998986
"49","31 tentacle tip 1.txt",49,49,1,398224.062,67643.93,2419136,326052,112992059392,46707.609,5683.199,48565,14089,58913,618.994,619.594,8.538,85.599,41.486,83.843,621.157,622.969,8.511,330,289,1,535,697,16,860540,6526,854014,2.14455649844685,"31 tentacle tip 1.txt",49,351565,0.882832137853086,147,90,58,0.612244897959184,57,51.8945846781661,0.000369138919586431,38.1054153218339,351565,0.145326678615836,1491,698,954,793,526.359358878542,0.0037441233272338,266.640641121458,95.1054153218339,43.2477429142487,964.640641121458,208.776892343993,0.353024385565756,"True","True",89,537,0.176512192782878,25.947292339083,121.052707660917,263.179679439271,1227.82032056073,48.0817456716466,345.956760861266
"50","31 tentacle tip 2.txt",50,50,1,411446.875,76723.484,2499462,381426,114229026816,45701.445,7148.916,48666,11275,60361,580.294,386.699,7.5,98.12,45.481,96.5,598.634,396.414,7.517,204,57,1,810,551,14,899559,10131,889428,2.16170799693156,"31 tentacle tip 2.txt",50,363955,0.884573494451744,179,86,54,0.480446927374302,93,63.6967523411038,0.000435050090002506,22.3032476588962,363955,0.145613335989905,1819,1014,1249,805,647.287108985854,0.00442098387550033,157.712891014146,115.303247658896,12.1235669468502,1171.71289101415,59.6552841596658,0.355847778441921,"True","True",125,570,0.17792388922096,31.8483761705519,147.151623829448,323.643554492927,1495.35644550707,18.7418221961833,228.112386698961
"51","31 tentacle tip 3.txt",51,51,1,581571.188,101309.172,3532935,499528,159449202688,45132.223,6343.095,46863,11379,59129,423.785,586.878,8,120.058,61.565,119.727,435.416,598.451,7.998,57,117,1,807,889,15,1528138,29946,1498192,2.57611111229946,"31 tentacle tip 3.txt",51,620448,1.06684789893684,231,144,93,0.623376623376623,87,97.9588789490891,0.000397199869536866,46.0411210509109,620448,0.175618289042963,2253,1156,1462,1097,955.417118061895,0.00387398833795047,141.582881938105,133.041121050911,37.5728429440164,1297.58288193811,36.4296133936908,0.424064411035018,"True","True",138,791,0.212032205517509,48.9794394745445,182.020560525455,477.708559030947,1775.29144096905,50.2098424038529,260.750752490816
"52","32 tentacle base 1.txt",52,52,1,1257681.625,206524.703,7640178,1124166,366488649728,47968.602,5892.384,50101,12747,60215,558.238,471.841,7.571,122.323,47.682,124.32,555.49,470.793,7.55,60,112,1,962,734,14,1634675,8712,1625963,1.2928255988474,"32 tentacle base 1.txt",52,730462,0.580800407257282,315,64,17,0.203174603174603,251,67.037488524482,0.000250460842981625,-3.03748852448201,730462,0.0956079819082749,5308,3783,4315,1525,1129.63488599349,0.00422046398268719,395.365114006506,247.962511475518,0.174838102082443,4178.36511400651,175.785529957038,0.212817423887245,"False","True",298,993,0.106408711943622,33.518744262241,281.481255737759,564.817442996747,4743.18255700325,9.11018913234163,363.254427422086
"53","32 tentacle base 2.txt",53,53,1,575210.5,98055.117,3494295,491750,161136459776,46114.156,6164.308,47907,13570,59551,329.263,402.919,8,93.431,44.253,89.762,331.802,405.158,8.033,4,2,1,781,723,15,968416,5769,962647,1.67355602861909,"32 tentacle base 2.txt",53,449813,0.781997199286174,210,67,23,0.319047619047619,143,57.8531205865561,0.000365083738909495,9.14687941344391,449813,0.128727826356962,2421,1485,1837,936,666.963833047868,0.00420889396142803,269.036166952132,152.146879413444,1.99606814167819,1754.03616695213,149.787404253289,0.275491050412172,"False","True",187,584,0.137745525206086,28.926560293278,181.073439706722,333.481916523934,2087.51808347607,1.40822860933504,218.258122784978
"54","32 tentacle base 3.txt",54,54,1,914348.75,138282.75,5554496,724496,254079926272,45743.109,5873.035,47898,12515,59387,549.154,668.751,8.637,98.367,38.657,99.905,558.076,674.065,8.617,198,216,1,680,806,16,1481385,6864,1474521,1.61264615935659,"32 tentacle base 3.txt",54,645641,0.70612116000596,225,76,36,0.337777777777778,149,59.729492108735,0.000246076784159217,16.270507891265,645641,0.116237548825312,3492,2150,2638,1342,927.001717527567,0.00381911169015105,414.998282472433,165.270507891265,6.03393398219171,2564.99828247243,252.929343195224,0.265464409372155,"True","True",189,854,0.132732204686078,29.8647460543675,195.135253945633,463.500858763783,3028.49914123622,1.45329252845034,379.34678115573
"55","32 tentacle middle 1.txt",55,55,1,1087285.625,171038.578,6605055,917984,297198714880,44995.645,6569.544,47013,11760,60853,472.682,414.391,8.149,123.16,55.436,119.977,471.384,421.771,8.104,2,144,1,1007,638,15,1932629,11109,1921520,1.76726331684924,"32 tentacle middle 1.txt",55,870807,0.80089994751839,367,146,55,0.397820163487738,221,106.766384231471,0.000337537801992002,39.2336157685288,870807,0.131839477491103,4325,2511,3177,1814,1258.21420109295,0.00397779562293027,555.785798907049,260.233615768529,20.3322200943595,3066.78579890705,346.228629898027,0.290916578287387,"True","True",312,1148,0.145458289143694,53.3831921157356,313.616807884264,629.107100546475,3695.89289945352,0.0573032206248716,500.838380872985
"56","32 tentacle middle 2.txt",56,56,1,769382.938,123867.359,4673856,617216,213385199616,45655.066,6160.988,47731,10900,59334,614.974,376.095,8.549,121.357,62.839,117.682,616.948,378.521,8.559,30,5,1,986,856,16,1324961,8942,1316019,1.71048633261997,"32 tentacle middle 2.txt",56,611568,0.794881157086434,275,120,53,0.436363636363636,155,77.4318303773159,0.000357429293551607,42.5681696226841,611568,0.130848703939531,3008,1729,2200,1279,846.963439181695,0.00390962660001176,432.036560818305,197.568169622684,32.5736289485835,2161.03656081831,306.755285461826,0.281570292281149,"True","True",222,808,0.140785146140574,38.7159151886579,236.284084811342,423.481719590847,2584.51828040915,6.13357293777288,406.347449903835
"57","32 tentacle middle 3.txt",57,57,1,873064.812,150284.594,5303704,790432,235956535296,44489.008,6529.102,45930,12372,59496,494.363,466.301,7.637,122.549,58.836,119.011,501.065,464.038,7.58,116,12,1,825,972,14,2062089,11627,2050462,2.34857936297174,"32 tentacle middle 3.txt",57,928931,1.06398859194889,284,138,69,0.485915492957746,146,109.797079173348,0.000325290855955377,28.2029208266525,928931,0.175147594963822,3765,1884,2551,1881,1455.58451791427,0.00431239462208448,425.415482085727,174.202920826652,11.810282796056,2309.41548208573,202.69921280679,0.38660943370897,"True","True",215,1214,0.193304716854485,54.8985395866738,229.101460413326,727.792258957136,3037.20774104286,4.4901192579697,402.649151844631
"58","32 tentacle tip 1.txt",58,58,1,593756.75,101652.742,3606960,511907,170518724608,47274.914,4956.265,48783,10611,60072,470.114,533.688,8,116.767,59.688,115.576,474.486,537.042,8.015,1,232,1,999,592,15,834488,9404,825084,1.38959936034411,"32 tentacle tip 1.txt",58,358297,0.603440718779197,218,78,29,0.357798165137615,140,49.8670104464702,0.000367153720778753,28.1329895535298,358297,0.0993348969769557,2425,1602,1905,823,554.713304278395,0.0040841640958187,268.286695721605,168.13298955353,20.5788923569024,1870.2866957216,168.241545629587,0.228747754341606,"True","True",189,520,0.114373877170803,24.9335052232351,193.066494776765,277.356652139198,2147.6433478608,0.748870429890125,239.688818320649
"59","32 tentacle tip 2.txt",59,59,1,601068.25,99660.281,3651376,485220,171040620544,46842.785,5630.736,48651,13890,60544,657.928,457.866,8.5,111.498,57.823,108.162,652.449,451.556,8.52,216,62,1,804,864,16,1057918,10761,1047157,1.74215989615156,"32 tentacle tip 2.txt",59,451081,0.750465525337597,222,112,67,0.504504504504504,110,63.6660957403456,0.000369342416605768,48.3339042596544,451081,0.123537263760292,2245,1214,1579,1031,643.830562779621,0.00373501678054031,387.169437220379,158.333904259654,51.4487219142883,1601.16943722038,326.444682758068,0.286784215046602,"True","True",155,666,0.143392107523301,31.8330478701728,190.166952129827,321.91528138981,1923.08471861019,45.3533286085252,429.345688279113
"60","32 tentacle tip 3.txt",60,60,1,653442.562,113111.758,3969540,559159,185709985792,46783.754,5012.532,47969,12319,60356,532.696,597.532,8.016,125.658,63.858,123.503,527.904,603.063,8.001,2,122,1,1003,854,15,1872869,23915,1848954,2.82955856799545,"32 tentacle tip 3.txt",60,762130,1.16633051521367,211,148,103,0.701421800947867,63,98.2807312686105,0.000322905198207765,49.7192687313895,762130,0.191994538409992,2544,833,1310,1711,1184.95820069832,0.00389322665516851,526.041799301682,112.71926873139,47.0831356465501,1359.04179930168,437.141231012243,0.465785456249339,"True","True",108,1234,0.232892728124669,49.1403656343052,161.859634365695,592.479100349159,1951.52089965084,76.9541983417502,905.508401331354
"61","39 tentacle base 1.txt",61,61,1,442143.125,72120.016,2685936,360536,120177917952,44743.402,6498.406,46446,12396,60555,680.454,411.214,8.562,82.412,38.642,80.147,685.124,411.219,8.518,266,241,1,747,385,16,842094,2628,839466,1.89862954444898,"39 tentacle base 1.txt",61,355150,0.803246686239891,262,86,33,0.32824427480916,176,81.8858275104098,0.000592568300140367,4.11417248959023,355150,0.13222578646699,1977,1231,1574,746,617.894202244581,0.00447140278388361,128.105797755419,180.11417248959,0.300683539334811,1359.10579775542,38.6346386446072,0.31254132637561,"False","True",229,403,0.156270663187805,40.9429137552049,221.057086244795,308.94710112229,1668.05289887771,1.82632387864313,33.9357222864455
"62","39 tentacle base 2.txt",62,62,1,516586.594,79875.672,3138166,398191,135783849984,43268.535,7061.343,44502,10487,58547,638.898,548.312,8.999,90.88,44.653,88.025,640.04,547.827,9.009,496,125,1,290,868,17,1092447,6306,1086141,2.10253423649627,"39 tentacle base 2.txt",62,465867,0.901817827661242,324,122,46,0.376543209876543,202,112.138645310669,0.000627193976311356,9.86135468933128,465867,0.148451993935311,2073,1144,1499,929,717.479665830297,0.00401287997806618,211.520334169703,211.861354689331,1.3262063993959,1355.5203341697,95.3647590745513,0.3461069299712,"False","True",278,574,0.1730534649856,56.0693226553344,267.930677344666,358.739832915149,1714.26016708485,2.18674314240505,156.196145604231
"63","39 tentacle base 3.txt",63,63,1,450239.188,68570.258,2735118,327518,119208960000,43584.578,7000.389,45151,10655,59277,262.943,735.646,9.48,75.254,35.243,70.819,263.465,735.888,9.511,0,410,1,536,606,18,894453,4503,889950,1.97661603814015,"39 tentacle base 3.txt",63,368945,0.819442220564772,244,97,29,0.397540983606557,147,79.3924795932022,0.000541934168555759,17.6075204067978,368945,0.13489180357118,1660,939,1230,721,540.129164445556,0.00368692917951869,180.870835554444,164.607520406798,5.78838205107723,1119.87083555444,89.7800029610684,0.325379014726238,"True","True",215,430,0.162689507363119,39.6962397966011,204.303760203399,270.064582222778,1389.93541777722,3.44212277985637,113.118889403313
"64","39 tentacle middle 1.txt",64,64,1,535333.188,89704.992,3252048,435836,146562826240,45067.855,7261.549,47254,11526,60912,530.47,322.865,8.522,105.463,54.384,102.815,528.584,321.038,8.52,110,20,1,882,677,16,918044,9559,908485,1.69704591526278,"39 tentacle middle 1.txt",64,392771,0.733694470666743,268,85,22,0.317164179104478,183,74.8678924788318,0.000500622800916277,10.1321075211682,392771,0.120776507603824,2287,1476,1805,811,638.891306339882,0.00427210576752062,172.108693660118,193.132107521168,1.90276119608362,1648.10869366012,64.3367253676579,0.279357807756835,"False","True",246,482,0.139678903878418,37.4339462394159,230.566053760584,319.445653169941,1967.55434683006,7.39652588645139,96.14785932598
"65","39 tentacle middle 2.txt",65,65,1,548670.75,87632.898,3333071,428411,145829199872,43752.203,7414.874,45164,10780,60060,343.995,503.051,8.975,115.631,60.028,114.486,344.308,506.223,9.004,156,2,1,452,1016,17,1050754,12305,1038449,1.89266331401847,"39 tentacle middle 2.txt",65,449873,0.819932536954084,264,108,46,0.409090909090909,156,82.2516340035961,0.000481162883204545,25.7483659964039,449873,0.134972522337508,2072,1204,1557,868,645.550703240345,0.00377639959848415,222.449296759655,181.748365996404,11.7081485739793,1426.44929675965,111.343566303406,0.311559219710591,"True","True",218,515,0.155779609855296,41.125817001798,222.874182998202,322.775351620173,1749.22464837983,0.684279114884139,135.60070582523
"66","39 tentacle middle 3.txt",66,66,1,450393.25,71670.391,2736054,335014,119084359680,43524.125,8007.164,45102,11160,59740,676.751,266.013,9.48,90.689,43.596,90.096,677.359,267.177,9.493,244,88,1,777,520,18,948940,7879,941061,2.08942074509332,"39 tentacle middle 3.txt",66,386882,0.85898711847924,186,79,35,0.424731182795699,107,63.9743755057466,0.000412972441305459,15.0256244942534,386882,0.141401448948011,1619,809,1137,810,556.852225504321,0.0035946364649115,253.147774495679,122.025624494253,5.37923989214345,1062.14777449568,175.416391561021,0.34394825540724,"True","True",151,482,0.17197412770362,31.9871877528733,154.012812247127,278.426112752161,1340.57388724784,0.342707942657087,179.758844717237
"67","39 tentacle tip 1.txt",67,67,1,462455.188,82374.539,2809328,379894,125412704256,44641.531,8115.628,47521,10390,60264,502.054,484.838,8.562,121.09,64.107,122.396,508.157,489.378,8.496,18,84,1,959,773,16,788210,8397,779813,1.68624554386013,"39 tentacle tip 1.txt",67,314592,0.680264830329896,218,89,45,0.408256880733945,129,60.5124193401411,0.000471397025391355,28.4875806598589,314592,0.111981228251027,1831,1176,1451,655,508.24880647614,0.00395930253895216,146.75119352386,157.487580659859,18.5642240474378,1322.75119352386,58.6539276120304,0.277579905230005,"True","True",173,380,0.138789952615003,30.2562096700706,187.743790329929,254.12440323807,1576.87559676193,8.34247057233124,72.3981760982674
"68","39 tentacle tip 3.txt",68,68,1,512827.781,80590.156,3115332,382212,137173721088,44031.816,7987.346,46629,11838,60546,532.786,621.358,9.5,108.217,45.223,105.385,539.467,624.1,9.48,221,216,1,787,624,18,787797,11196,776601,1.51435048718626,"39 tentacle tip 3.txt",68,326639,0.636937022723424,163,55,27,0.337423312883436,108,40.6332175832303,0.000317845495191689,14.3667824167697,326639,0.104848857200452,1773,1114,1373,659,441.979722546425,0.00345730099984579,217.020277453575,122.36678241677,6.76646561182325,1331.02027745357,141.945734894452,0.249283543455401,"True","True",136,400,0.1246417717277,20.3166087916151,142.683391208385,220.989861273213,1552.01013872679,2.51163617512414,165.652155184309
"69","40 tentacle base 1.txt",69,69,1,400456.906,81388.977,2432700,424850,104938250240,43136.535,6601.259,43652,12303,58995,522.28,728.636,6.5,87.104,40.704,84.285,518.82,727.034,6.499,152,489,1,788,428,12,1258276,6252,1252024,3.12648872136069,"40 tentacle base 1.txt",69,540680,1.35015776204394,170,103,60,0.605882352941176,67,87.4929419986024,0.000424515091269271,15.5070580013976,540680,0.222255107493731,1777,567,964,1210,914.558576067744,0.00443743127756174,295.441423932256,82.5070580013976,5.66296167232918,862.441423932256,196.647789486215,0.514664364697661,"True","True",110,813,0.257332182348831,43.7464709993012,126.253529000699,457.279288033872,1319.72071196613,8.13125744653941,372.599416088821
"70","40 tentacle base 2.txt",70,70,1,421322.719,85378.75,2559456,443406,119546658816,46707.84,6499.034,49251,8982,58489,635.064,580.422,6.5,83.515,36.704,81.242,640.074,582.419,6.527,280,342,1,724,539,12,638959,1078,637881,1.5139962105865,"40 tentacle base 2.txt",70,292646,0.694588700781645,139,39,11,0.280575539568345,100,34.6423064119875,0.000329913374550305,4.35769358801245,292646,0.114339140817424,1926,1317,1550,609,480.007785248115,0.00457131769340926,128.992214751885,104.357693588012,0.730124477298812,1445.99221475188,46.1709750120328,0.249225225985522,"False","True",128,376,0.124612612992761,17.3211532059938,121.678846794006,240.003892624058,1685.99610737594,2.63521191253367,88.0307465699806
"71","40 tentacle base 3.txt",71,71,1,393254.188,69333.82,2388945,340444,99848732672,41796.164,6239.417,42041,9017,58829,290.805,655.311,8.065,78.704,39.886,72.011,288.095,661.546,7.999,72,238,1,426,780,15,1075435,11812,1063623,2.70467049673226,"40 tentacle base 3.txt",71,460280,1.17043890197553,155,103,49,0.664516129032258,52,69.0101969697921,0.000394147105688293,33.9898030302079,460280,0.19267082331322,1531,546,874,985,681.642655230656,0.00389315625037921,303.357344769344,85.9898030302079,30.1764934518439,849.357344769344,243.353173018705,0.445227077224465,"True","True",106,657,0.222613538612233,34.5050984848961,120.494901515104,340.821327615328,1190.17867238467,7.8326783693574,377.312685204052
"72","40 tentacle middle 1.txt",72,72,1,443845.562,86290.812,2696278,435888,113048313856,41927.543,7047.803,42231,11994,59637,712.994,502.266,6.94,94.305,42.829,91.648,713.518,499.458,6.996,409,85,1,537,849,13,1334831,10386,1324445,2.98402217661467,"40 tentacle middle 1.txt",72,578093,1.30246430176089,195,136,88,0.697435897435897,59,95.7864044434587,0.000439342006983952,40.2135955565413,578093,0.214404078511192,1843,508,904,1335,905.304325073305,0.00415234522498166,429.695674926695,99.2135955565413,33.1822142017916,937.695674926695,400.858218317589,0.491212330479275,"True","True",107,939,0.245606165239638,47.8932022217294,147.106797778271,452.652162536652,1390.34783746335,44.5209036119488,692.677766984831
"73","40 tentacle middle 2.txt",73,73,1,318680.031,63684.391,1935921,315401,88562343936,45746.879,7033.14,47929,7680,59017,650.754,454.715,7,74.087,33.311,72.172,652.913,452.534,7.001,449,84,1,380,736,13,510139,828,509311,1.59818925083511,"40 tentacle middle 2.txt",73,233446,0.732540408219052,108,37,11,0.342592592592593,71,28.4131366930779,0.000338897921093776,8.58686330692213,233446,0.12058653219837,1438,873,1076,565,378.315653376352,0.00451236306048935,186.684346623648,79.5868633069221,3.52153723865539,1059.68434662365,125.009743466555,0.26308459900998,"False","True",97,362,0.13154229950499,14.2065683465389,93.7934316534611,189.157826688176,1248.84217331182,0.833380140358865,181.855504489259
"74","40 tentacle middle 3.txt",74,74,1,348971.344,60936.086,2119935,302132,87953285120,41488.672,6985.931,41798,7825,57982,802.923,652.732,8.006,69.687,29.167,69.481,800.446,648.695,7.983,620,332,1,400,592,15,1114218,8991,1105227,3.16709958855533,"40 tentacle middle 3.txt",74,461188,1.32156409954394,145,109,63,0.751724137931034,36,75.5956739239647,0.000415506896176553,33.4043260760353,461188,0.217548179543241,1363,386,696,977,710.599334885268,0.00390576482405959,266.400665114732,69.4043260760353,30.8382657337742,652.400665114732,208.654268502579,0.521349475337687,"True","True",82,667,0.260674737668844,37.7978369619823,107.202163038018,355.299667442634,1007.70033255737,22.7286237883692,369.865807245649
"75","40 tentacle tip 1.txt",75,75,1,324064.219,63707.57,1968629,321170,92785180672,47131.879,6432.072,49692,10189,60389,424.048,594.869,7,81.311,38.147,80.121,421.981,611.125,7.011,269,230,1,399,728,13,586169,2827,583342,1.80008148323219,"40 tentacle tip 1.txt",75,241691,0.745812051530441,118,54,34,0.457627118644068,64,34.9656314115052,0.000364125358745638,19.0343685884948,241691,0.122771228098336,1301,717,869,584,385.510902257358,0.00401463637057691,198.489097742642,83.0343685884948,14.7251488776904,915.489097742642,145.231482481489,0.296318910266993,"True","True",84,432,0.148159455133496,17.4828157057526,100.517184294247,192.755451128679,1108.24454887132,18.3190244525055,348.593372933442
"76","40 tentacle tip 2.txt",76,76,1,310736.406,60459.523,1887665,308329,87304863744,46250.188,7193.95,49443,9172,58931,784.387,350.984,7,76.503,36.326,73.844,790.174,367.723,7.011,642,5,1,296,695,13,595214,10676,584538,1.88113780269442,"40 tentacle tip 2.txt",76,251069,0.807980639384752,114,51,35,0.447368421052632,63,35.3014607994533,0.000366870433585436,15.6985392005467,251069,0.133005061809166,1244,644,798,600,385.219449425613,0.00400339315245861,214.780550574387,78.6985392005467,10.1126269513305,858.780550574387,173.468201871864,0.30966193683731,"True","True",79,446,0.154830968418655,17.6507303997266,96.3492696002733,192.609724712807,1051.39027528719,20.1769786640151,394.419248029582
