"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,47.903,97.604,291,174,9059856,31133.525,17030.977,26729,10756,65535,409.519,358.034,3.966,2.003,0.202,2.016,409.659,357.976,3.976,405,353,2,10,11,5,FALSE,FALSE
"2",2,47.08,106.465,286,192,7576823,26492.389,12025.981,24219.5,10771,65500,469.696,388.031,3.671,2.035,0.519,1.99,469.934,387.986,3.681,463,384,2,14,9,4,TRUE,TRUE
"3",3,21.729,59.681,132,89,3691062,27962.592,14842.668,23565,10921,65535,532.167,415.303,4.333,1.549,0.221,1.558,532.239,415.332,4.323,529,412,2,8,8,5,FALSE,FALSE
"4",4,38.849,94.191,236,165,6841183,28988.064,13607.985,28065.5,10724,65535,452.309,457.047,3.886,1.801,0.332,1.835,452.317,457.093,3.891,448,452,2,11,11,5,FALSE,FALSE
"5",5,50.537,128.742,307,191,10471297,34108.461,20048.127,28522,10715,65535,622.322,544.528,4.792,2.314,0.657,2.304,622.568,544.564,4.836,615,540,2,15,10,7,FALSE,FALSE
"6",6,31.277,84.296,190,143,4468645,23519.184,9819.367,20432,10738,53312,590.689,549.579,3.805,1.824,0.539,1.746,590.753,549.613,3.758,585,545,2,13,10,4,TRUE,FALSE
"7",7,33.087,81.057,201,130,6099198,30344.27,16632.535,26309,10760,65535,583.94,615.92,4.154,1.824,0.33,1.827,584.083,615.917,4.115,578,612,2,11,9,5,FALSE,FALSE
"8",8,29.466,73.056,179,137,4383295,24487.682,9574.198,22867,10762,49797,699.034,666.43,3.927,1.696,0.466,1.633,698.842,666.333,3.903,694,662,2,12,9,4,FALSE,FALSE
"9",9,53.006,125.255,322,239,8924288,27715.18,11985.744,26135.5,10765,61164,680.683,716.161,3.994,2.233,0.767,2.156,680.628,716.187,3.986,671,711,2,18,10,5,FALSE,FALSE
"10",10,59.096,133.875,359,232,10297690,28684.373,14246.295,27344,10775,65535,844.9,761.526,4.07,2.181,0.528,2.182,844.965,761.518,4.01,838,756,2,13,14,5,FALSE,FALSE
"11",11,58.109,115.189,353,201,13054944,36982.844,20332.756,31151,10791,65535,821.057,796.739,4.938,2.209,0.333,2.21,821.109,796.685,4.876,817,791,2,9,12,7,FALSE,FALSE
"12",12,45.598,108.5,277,191,7962967,28747.174,14423.835,25050,10734,65535,591.025,368.343,4.347,2.264,0.774,2.228,590.915,368.418,4.294,582,365,3,18,8,4,FALSE,FALSE
"13",13,37.697,84.641,229,156,6662108,29092.174,14709.476,25643,10913,65535,343.472,374.371,4.467,1.919,0.487,1.852,343.36,374.789,4.412,341,368,3,7,14,4,TRUE,FALSE
"14",14,4.445,24.445,27,27,373279,13825.148,3307.122,12731,10750,26305,535.926,381.852,3.667,0.958,0.273,0.947,536.005,381.914,3.694,534,379,3,5,7,2,FALSE,FALSE
