"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,31.771,86.572,193,148,5554004,28777.223,11192.302,27561,14400,65535,752.135,550.969,4.43,1.785,0.526,1.772,752.198,550.81,4.508,747,547,3,12,11,4,TRUE,FALSE
"2",2,21.894,69.024,133,104,3391614,25500.857,8577.346,23984,14236,46820,780.105,565.962,4.331,1.551,0.429,1.519,779.991,566.137,4.357,776,562,3,10,9,4,TRUE,FALSE
"3",3,21.564,60.059,131,98,3646746,27837.756,11110.685,25358,14308,63208,735,570.145,4.763,1.522,0.328,1.486,734.875,570.155,4.748,731,567,3,10,7,4,TRUE,TRUE
"4",4,49.384,106.569,300,184,11375813,37919.375,17961.527,35391.5,14233,65535,652.923,612.867,4.737,2.049,0.355,2.073,652.983,612.811,4.779,649,606,3,9,14,5,TRUE,TRUE
"5",5,21.235,62.06,129,91,4456352,34545.363,16754.051,31005,14473,65535,819.674,663.488,5.225,1.562,0.325,1.573,819.569,663.464,5.223,816,659,3,8,9,5,TRUE,TRUE
"6",6,64.035,167.177,389,276,11514481,29600.209,14110.835,24692,14325,65535,737.157,706.838,4.943,2.517,0.952,2.375,737.78,706.453,4.867,725,700,3,20,17,5,FALSE,FALSE
"7",7,23.54,76.058,143,109,3895776,27243.189,10826.887,25018,14308,54285,912.622,740.231,4.566,1.786,0.561,1.716,912.63,740.151,4.55,909,734,3,9,14,4,FALSE,FALSE
"8",8,26.009,68.609,158,121,4097520,25933.67,9456.715,24496.5,14432,58144,923.411,796.88,4.639,1.594,0.362,1.586,923.538,796.991,4.63,919,793,3,10,8,4,TRUE,FALSE
"9",9,21.894,67.782,133,105,3309401,24882.715,8427.167,23357,14298,44362,920.474,808.015,4.534,1.501,0.377,1.537,920.428,807.998,4.538,915,804,3,10,9,4,TRUE,FALSE
"10",10,20.741,67.471,126,108,3019273,23962.484,8524.83,21609.5,14232,48959,650.008,459.802,5,1.668,0.605,1.688,650.027,459.914,4.989,647,454,4,8,12,3,TRUE,TRUE
"11",11,2.469,16.24,15,15,344930,22995.334,7933.32,20854,14987,39873,702.133,475,4.667,0.752,0.242,0.731,702.261,474.999,4.732,700,474,4,5,3,3,TRUE,TRUE
"12",12,33.087,78.022,201,130,7625091,37935.777,18061.043,32910,14273,65535,703.861,496.443,5.562,1.797,0.308,1.755,703.89,496.519,5.592,700,491,4,8,11,5,TRUE,FALSE
"13",13,29.795,86.194,181,135,5371633,29677.531,12357.767,25974,14307,58739,744.652,517.199,5.376,1.863,0.564,1.925,744.643,517.017,5.379,741,511,4,8,14,4,FALSE,FALSE
"14",14,19.918,58.647,121,85,4438469,36681.562,18417.205,29232,14490,65535,667.992,520.975,5.661,1.565,0.355,1.587,667.956,520.974,5.673,666,517,4,5,10,5,TRUE,FALSE
"15",15,28.478,75.057,173,122,5380633,31101.926,14115.055,26969,14315,65535,705.26,550.127,5.382,1.76,0.429,1.732,705.349,550.123,5.389,700,547,4,12,8,4,TRUE,FALSE
