"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,31.935,88.637,194,190,3075148,15851.278,3534.552,15243.5,10296,28077,676.974,261.062,4.5,1.658,0.534,1.751,676.744,260.896,4.493,671,256,3,12,12,4,FALSE,FALSE
"2",2,39.178,99.258,238,192,4533280,19047.395,7081.974,17571,10290,42110,710.466,320.206,4.395,1.841,0.517,1.912,710.382,320.337,4.403,705,315,3,13,11,4,TRUE,TRUE
"3",3,42.141,110.394,256,201,4896753,19127.941,6793.18,17472,10295,40023,560.184,400.488,4.859,2.046,0.648,2.144,560.151,400.562,4.816,554,396,3,15,10,4,FALSE,FALSE
"4",4,44.775,92.19,272,182,6272384,23060.234,9743.413,19580.5,10311,45772,637.184,403.404,5.493,1.915,0.314,1.942,637.147,403.475,5.481,632,399,3,11,10,5,FALSE,FALSE
"5",5,43.623,100.502,265,158,8024170,30279.887,16929.033,25744,10303,65535,372.649,417.981,5.087,2.052,0.397,2.054,372.684,418.072,5.089,368,413,3,11,11,5,TRUE,TRUE
"6",6,30.289,79.264,184,133,4736201,25740.223,12046.738,23842,10320,60863,524.435,431.337,5.136,1.736,0.411,1.783,524.348,431.317,5.072,521,426,3,9,11,5,TRUE,TRUE
"7",7,64.035,114.048,389,237,11439561,29407.611,14459.271,24038,10299,65535,566.478,585.985,5.468,2.164,0.367,2.183,566.54,585.926,5.425,561,581,3,13,11,5,TRUE,TRUE
"8",8,14.321,54.441,87,72,1638831,18837.139,6616.518,16592,10322,36575,654.575,251.379,5.218,1.369,0.399,1.35,654.476,251.342,5.251,651,248,4,8,7,4,FALSE,FALSE
"9",9,3.951,25.1,24,24,299091,12462.125,1425.467,12478,10386,16037,576.417,265.958,4.458,0.834,0.201,0.858,576.39,265.967,4.438,574,264,4,5,5,2,TRUE,FALSE
"10",10,7.078,39.028,43,43,526355,12240.813,1279.107,11992,10300,14404,601.907,278.721,4.302,1.168,0.337,1.158,601.879,278.72,4.284,599,275,4,7,8,2,TRUE,TRUE
"11",11,28.314,71.611,172,114,4391089,25529.588,13295.516,21821.5,10336,65535,609.355,284.163,5.866,1.77,0.39,1.769,609.333,284.331,5.892,606,280,4,7,9,5,FALSE,FALSE
"12",12,18.272,49.612,111,87,2128898,19179.262,6254.17,18489,10355,34665,700.342,311.378,5.991,1.367,0.233,1.381,700.343,311.338,5.966,697,308,4,8,7,4,FALSE,FALSE
"13",13,16.791,51.647,102,90,1959108,19206.941,6747.439,17378,10426,37767,575.5,344.441,4.706,1.378,0.395,1.321,575.54,344.458,4.675,571,342,4,11,6,3,TRUE,FALSE
"14",14,25.515,72.678,155,109,3149000,20316.129,8202.187,19140,10315,47738,605.664,345.955,5.735,1.572,0.258,1.584,605.585,346.07,5.751,601,342,4,10,9,5,FALSE,FALSE
"15",15,5.761,27.824,35,30,710607,20303.057,7981.271,17853,10459,40809,740.457,355.629,5.286,1.069,0.361,0.968,740.535,355.651,5.31,738,354,4,5,4,4,TRUE,FALSE
"16",16,39.178,108.467,238,174,5766281,24228.072,10802.507,23135,10381,58020,696.702,372.303,5.996,2.039,0.669,2.075,696.787,372.408,5.994,689,367,4,16,11,5,FALSE,FALSE
"17",17,44.775,110.464,272,186,6723059,24717.129,11568.874,21415,10314,62990,391.971,411.559,6.559,2.149,0.667,2.01,392.067,411.661,6.507,386,404,4,12,15,5,TRUE,TRUE
"18",18,31.441,74.264,191,131,4845989,25371.67,11028.148,22702,10387,54387,462.209,412.969,5.728,1.745,0.31,1.752,462.168,413.013,5.781,458,409,4,9,9,4,FALSE,FALSE
"19",19,12.84,56.198,78,78,1122453,14390.423,2920.361,13828,10379,24119,726.167,412.282,4.615,1.43,0.42,1.414,726.246,412.226,4.643,721,409,4,11,8,2,FALSE,FALSE
"20",20,22.223,61.783,135,113,2371025,17563.148,5121.412,16922,10330,36248,612.644,428.037,4.963,1.506,0.375,1.453,612.633,428.027,4.985,607,425,4,11,7,4,FALSE,FALSE
"21",21,21.235,59.611,129,101,2377351,18429.078,5975.488,16837,10307,36617,628.078,429.814,5.171,1.484,0.403,1.463,627.963,429.858,5.179,623,427,4,11,6,4,FALSE,FALSE
"22",22,42.141,99.224,256,186,5086803,19870.324,7297.409,18426.5,10291,43511,481.773,470.004,6.379,1.967,0.547,1.902,481.911,469.953,6.327,475,467,4,15,8,5,FALSE,FALSE
"23",23,24.857,70.851,151,111,3027570,20050.133,8094.199,17677,10309,46378,677.106,473.854,5.358,1.554,0.308,1.574,676.997,473.763,5.342,674,470,4,8,10,4,FALSE,FALSE
"24",24,55.969,133.634,340,227,9464732,27837.447,15990.589,21416.5,10395,65535,699.732,474.838,6.185,2.309,0.669,2.181,700.251,474.534,6.166,690,471,4,19,12,5,FALSE,FALSE
"25",25,35.557,84.4,216,142,5188046,24018.732,11185.353,21795,10362,56474,408.523,474.639,5.616,1.811,0.311,1.781,408.225,474.67,5.684,403,471,4,12,9,5,FALSE,FALSE
"26",26,18.108,56.679,110,101,1904895,17317.227,4795.411,16671.5,10340,30400,533.709,476.209,5.436,1.337,0.442,1.311,533.659,476.229,5.425,531,472,4,7,10,4,TRUE,TRUE
"27",27,35.227,78.022,214,143,6187460,28913.365,15021.061,24090.5,10529,65237,382.294,494.374,6.463,1.796,0.254,1.776,382.373,494.634,6.486,378,490,4,9,10,5,FALSE,FALSE
"28",28,23.046,69.539,140,127,2516034,17971.672,5435.949,17598,10325,32073,538.1,515.236,5.5,1.544,0.534,1.488,538.247,514.977,5.47,534,509,4,8,13,4,TRUE,TRUE
"29",29,50.043,102.293,304,199,7236414,23803.994,10453.296,20622.5,10321,51907,623.76,535.497,5.428,2.019,0.39,2.015,623.733,535.577,5.378,617,532,4,13,9,4,FALSE,FALSE
"30",30,37.861,88.847,230,163,6091001,26482.613,12116.524,24337,10491,63860,716.022,544.435,6.078,1.836,0.396,1.851,716.155,544.31,6.067,711,540,4,10,11,5,FALSE,FALSE
"31",31,44.117,102.018,268,175,7558420,28203.061,14705.259,22293.5,10497,65535,653.198,547.28,5.515,2.045,0.521,1.969,653.18,547.341,5.511,647,542,4,13,12,4,FALSE,FALSE
"32",32,28.149,71.162,171,112,4741669,27729.059,15858.808,23824,10352,65535,666.953,559.69,6.129,1.72,0.341,1.741,666.928,559.79,6.14,663,557,4,10,6,5,FALSE,FALSE
"33",33,61.73,126.874,375,240,10225761,27268.695,12721.609,26405,10312,65535,441.072,566.032,6.197,2.138,0.392,2.158,441.048,566.071,6.138,436,560,4,11,13,5,TRUE,TRUE
"34",34,34.404,90.193,209,147,4118168,19704.152,7733.505,18059,10300,40977,734.057,583.703,5.459,1.833,0.468,1.837,733.973,583.689,5.458,729,579,4,11,10,4,FALSE,FALSE
