"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,68.973,136.15,419,246,9317005,22236.289,12464.144,20405,7198,57662,92.337,276.566,3.819,2.324,0.419,2.3,92.275,276.529,3.83,87,271,1,15,12,6,FALSE,FALSE
"2",2,39.178,92.709,238,166,4165931,17503.912,7243.15,15951,7197,37741,122.546,305.945,4.21,1.833,0.353,1.829,122.559,306.067,4.224,117,302,2,12,9,5,FALSE,FALSE
"3",3,33.417,85.538,203,147,3425557,16874.664,7288.412,16136,7226,36832,142.818,346.813,4.084,1.787,0.477,1.825,142.857,346.817,4.112,137,343,2,13,9,5,TRUE,FALSE
"4",4,29.795,70.747,181,125,3366142,18597.469,9332.462,14731,7459,44050,191.453,350.243,3.641,1.698,0.264,1.68,191.482,350.223,3.639,187,347,2,10,8,4,FALSE,FALSE
"5",5,28.314,71.299,172,112,3129355,18193.924,9210.025,15779.5,7236,42077,99.267,360.401,3.837,1.715,0.312,1.756,99.215,360.609,3.859,95,357,2,10,7,5,TRUE,FALSE
"6",6,25.68,72.507,156,122,3241398,20778.191,10651.277,18458,7203,46507,4.109,385.679,4.429,1.802,0.587,1.811,4,385.827,4.401,3,380,2,4,13,5,FALSE,FALSE
"7",7,47.08,102.915,286,172,6181905,21615.053,12590.521,16812,7209,52101,395.832,386.143,4.629,2.027,0.311,2.035,395.906,386.156,4.552,391,382,2,11,10,6,FALSE,FALSE
"8",8,28.478,77.955,173,119,3766567,21772.064,14099.81,16555,7229,65358,254.96,402.555,4.173,1.823,0.425,1.868,254.886,402.672,4.188,250,398,2,10,9,5,TRUE,FALSE
"9",9,29.96,73.16,182,130,2911108,15995.099,7488.075,14135,7206,39446,50.973,403.401,3.852,1.669,0.331,1.675,51.019,403.347,3.859,47,399,2,9,10,5,FALSE,FALSE
"10",10,58.109,132.292,353,201,7070144,20028.736,12458.846,15208,7189,65535,273.105,437.924,5.963,2.583,0.909,2.633,272.893,437.904,5.647,267,434,2,13,9,10,FALSE,FALSE
"11",11,44.117,98.294,268,178,4937432,18423.254,9228.463,15367.5,7207,44905,286.037,446.011,4.306,1.975,0.448,1.883,285.944,445.976,4.316,280,442,2,14,9,6,FALSE,FALSE
"12",12,42.8,98.95,260,167,4848124,18646.631,9369.557,17192,7211,45142,302.065,479.981,4.335,1.947,0.382,1.896,302.171,479.925,4.308,298,475,2,11,12,5,TRUE,FALSE
"13",13,22.388,59.129,136,94,2513131,18478.904,9834.325,15856.5,7223,43193,444.331,482.368,3.735,1.56,0.255,1.576,444.399,482.274,3.743,441,479,2,8,8,4,FALSE,FALSE
"14",14,45.269,101.366,275,157,7488533,27231.029,18795.248,19459,7247,65535,25.011,508,4.335,2.086,0.388,2.135,25.092,508.061,4.282,21,503,2,8,11,6,FALSE,FALSE
"15",15,38.684,96.744,235,150,5255582,22364.18,14060.803,17281,7235,65535,655.966,513.387,4.489,1.963,0.426,1.925,656.068,513.233,4.418,651,510,2,12,9,6,FALSE,FALSE
"16",16,27.82,73.093,169,111,3516821,20809.592,12012.261,17377,7356,53527,192.58,516.432,4.112,1.709,0.298,1.779,192.561,516.466,4.133,189,513,2,9,8,5,TRUE,FALSE
"17",17,80.99,181.489,492,305,10230359,20793.412,12456.892,17466,7228,65230,350.697,556.902,4.982,2.599,0.805,2.639,350.431,556.68,4.961,346,549,2,12,18,7,FALSE,FALSE
"18",18,2.14,13.757,13,13,120000,9230.77,1408.93,9824,7234,11106,15.077,255,4.077,0.616,0.287,0.57,15.056,254.99,4.074,14,254,3,3,4,3,FALSE,FALSE
"19",19,3.951,28.651,24,24,203034,8459.75,1224.219,8021.5,7227,11195,61,269.5,3.125,1.023,0.301,1.045,61.033,269.465,3.109,58,267,3,7,6,2,FALSE,FALSE
"20",20,13.828,69.128,84,84,799133,9513.488,2134.552,8961.5,7220,17598,67.905,278.333,3.512,1.912,0.749,1.996,67.897,278.043,3.518,65,272,3,7,15,2,FALSE,FALSE
"21",21,1.811,11.136,11,11,99666,9060.546,1022.63,9209,7228,11025,72.182,278.091,3.636,0.603,0.118,0.614,72.161,278.103,3.628,71,277,3,3,3,2,FALSE,FALSE
"22",22,4.609,25.823,28,28,243771,8706.107,1609.463,7949,7394,13132,59.357,290.821,4,0.888,0.359,0.943,59.282,290.754,3.999,57,288,3,6,7,3,FALSE,FALSE
"23",23,47.409,100.191,288,166,5888321,20445.559,12611.873,15578.5,7247,62350,163.392,297.191,5.083,2.042,0.257,2.057,163.398,297.258,5.077,159,293,3,11,9,6,FALSE,FALSE
"24",24,19.095,61.99,116,92,1475167,12716.957,4923.904,11596,7205,32534,67.94,306.578,4.034,1.403,0.283,1.419,67.849,306.421,4.057,64,303,3,9,9,3,TRUE,TRUE
"25",25,20.248,64.506,123,98,1606651,13062.203,5461.148,11400,7187,27999,266.626,352.927,4.691,1.494,0.373,1.53,266.697,352.789,4.668,262,350,3,9,9,4,FALSE,FALSE
"26",26,54.981,118.981,334,208,5723716,17136.875,8213.178,15002.5,7209,40771,19.814,378.425,5.09,2.08,0.403,2.115,19.969,378.469,5.077,15,372,3,11,13,5,TRUE,FALSE
"27",27,47.738,113.292,290,196,4956086,17089.951,7985.059,15421.5,7329,38557,329.907,392.972,4.428,2,0.407,2.019,329.81,393.007,4.429,325,387,3,12,12,5,FALSE,FALSE
"28",28,9.383,32.201,57,55,658015,11544.123,2957.031,11187,7451,20001,184.772,408.526,4.456,1.001,0.251,1.046,184.726,408.42,4.487,182,406,3,6,6,3,FALSE,FALSE
"29",29,27.491,72.022,167,125,2494535,14937.335,6232.589,14547,7190,36419,161.976,424.88,4.216,1.572,0.285,1.624,161.893,424.961,4.249,158,421,3,10,9,4,TRUE,FALSE
"30",30,13.992,49.441,85,70,1289291,15168.13,6407.262,13519,7271,33637,175.4,426.518,5.153,1.391,0.46,1.339,175.386,426.417,5.093,173,423,3,5,9,5,FALSE,FALSE
"31",31,26.174,66.748,159,109,2849116,17918.969,9651.487,14325,7240,49511,318.151,425.874,4.371,1.667,0.31,1.653,318.041,425.852,4.329,314,423,3,10,7,4,FALSE,FALSE
"32",32,12.84,42.167,78,59,1298531,16647.834,8927.043,13782,7189,39902,440.808,444.551,4.731,1.323,0.304,1.356,440.932,444.537,4.763,437,443,3,8,5,4,FALSE,FALSE
"33",33,14.651,45.269,89,72,1317291,14801.022,5683.687,13097,7231,32651,463.629,462.663,4.921,1.27,0.204,1.248,463.608,462.705,4.903,461,460,3,7,7,4,FALSE,FALSE
"34",34,22.717,64.336,138,94,2539495,18402.137,9813.395,14671.5,7236,45117,441.029,469.732,4.623,1.645,0.381,1.636,440.984,469.792,4.593,436,467,3,11,6,5,TRUE,FALSE
"35",35,16.955,55.06,103,90,1372278,13323.087,5221.064,11531,7187,28782,322.66,475.961,4.388,1.402,0.46,1.419,322.378,476.064,4.419,318,473,3,11,7,4,FALSE,FALSE
"36",36,29.301,70.265,178,120,3792342,21305.293,12105.801,16818,7203,51652,259.489,479.444,4.562,1.715,0.3,1.727,259.632,479.573,4.506,255,477,3,11,6,5,FALSE,FALSE
"37",37,14.157,43.786,86,73,1168904,13591.907,5154.704,12021,7254,25556,3.57,483.756,3.93,1.29,0.288,1.277,3.45,484.008,4.017,2,480,3,6,8,4,FALSE,FALSE
"38",38,26.174,66.678,159,125,2422334,15234.805,5888.601,14238,7241,32704,74.836,491.069,4.031,1.569,0.369,1.576,74.74,491.05,4.03,70,487,3,11,8,3,TRUE,TRUE
"39",39,33.417,83.192,203,156,3316900,16339.409,7097.646,14689,7202,40843,311.419,492.665,4.034,1.842,0.607,1.727,311.038,492.68,4.053,305,489,3,15,7,4,TRUE,TRUE
"40",40,16.297,50.716,99,75,1427545,14419.646,5780.197,12768,7221,27974,300.121,506.061,4.636,1.333,0.248,1.364,300.069,505.984,4.639,297,503,3,7,7,4,TRUE,FALSE
"41",41,15.803,52.406,96,75,1370652,14277.625,5822.702,12143,7191,27439,271.573,505.75,4.479,1.325,0.332,1.384,271.754,505.72,4.516,268,503,3,8,6,4,TRUE,FALSE
"42",42,4.115,26.375,25,25,217770,8710.8,1464.913,8770,7195,12772,604.4,508.08,4.52,1.267,0.473,1.182,604.464,507.996,4.502,602,505,3,6,9,3,TRUE,FALSE
"43",43,17.943,50.061,109,90,1462701,13419.275,4665.711,12861,7324,27884,300.257,517.339,4.257,1.357,0.286,1.361,300.298,517.287,4.32,296,515,3,9,6,4,TRUE,FALSE
