"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,50.207,109.982,305,189,8556206,28053.135,15924.202,23789,9214,65535,802.675,166.37,4.397,2.09,0.412,2.017,802.525,166.201,4.418,797,162,2,12,11,6,TRUE,TRUE
"2",2,52.512,110.397,319,178,9342975,29288.322,17510.609,24219,9274,65535,917.113,107.752,5.818,2.144,0.317,2.12,917.048,107.808,5.726,912,103,3,10,11,6,FALSE,FALSE
"3",3,53.17,111.12,323,196,8881588,27497.176,16093.283,21573,9287,65535,853.768,139.774,4.765,2.143,0.465,2.147,854.05,139.957,4.753,848,134,3,12,12,5,TRUE,TRUE
"4",4,20.577,58.751,125,87,2873681,22989.447,11448.972,21156,9301,52802,1013.176,142.296,5.064,1.577,0.359,1.533,1013.254,142.324,5.065,1010,138,3,6,9,5,FALSE,FALSE
"5",5,47.08,101.362,286,179,6644461,23232.381,11012.85,20356.5,9202,54571,833.58,148.164,5.007,1.975,0.374,2.027,833.403,148.199,4.981,828,144,3,13,9,5,TRUE,FALSE
"6",6,13.334,40.028,81,65,1567053,19346.334,7682.213,18027,9209,41849,708.938,162.123,4.914,1.234,0.188,1.241,708.875,162.081,4.884,706,160,3,7,6,4,TRUE,TRUE
"7",7,26.174,65.059,159,105,3725165,23428.711,12150.342,19285,9317,51876,818.245,191.314,4.547,1.646,0.224,1.653,818.187,191.359,4.564,814,188,3,9,8,4,TRUE,FALSE
"8",8,21.564,59.336,131,88,3323350,25369.084,15363.298,20987,9201,65535,849.824,204.802,5.084,1.589,0.315,1.518,849.692,204.795,5.11,847,202,3,8,7,5,TRUE,TRUE
"9",9,32.594,87.85,198,134,5143877,25979.178,14533.729,21453.5,9208,65535,966.495,234.222,5.369,1.942,0.498,1.964,966.593,234.101,5.388,961,231,3,13,8,6,TRUE,TRUE
"10",10,37.861,89.644,230,134,6861342,29831.922,18106.119,23136.5,9278,65535,911.783,290.304,5.717,2.064,0.492,2.03,911.762,290.34,5.73,908,287,3,9,8,7,TRUE,FALSE
"11",11,10.371,46.51,63,59,793522,12595.587,3035.257,11890,9298,24395,1012.413,310.73,4.238,1.207,0.4,1.215,1012.386,310.629,4.231,1009,308,3,8,7,3,TRUE,TRUE
"12",12,41.812,98.742,254,174,6213253,24461.627,12646.311,21374,9196,65535,540.201,320.283,5.134,1.893,0.384,1.925,540.374,320.158,5.103,535,316,3,12,10,5,TRUE,TRUE
"13",13,26.503,82.158,161,131,2257733,14023.187,4104.107,12753,9225,27861,790.441,325.739,3.851,1.605,0.507,1.574,790.448,325.762,3.86,784,321,3,12,11,3,TRUE,TRUE
"14",14,22.717,63.024,138,104,2324909,16847.166,6404.11,15127.5,9201,31650,805.486,324.594,4.341,1.502,0.307,1.541,805.457,324.558,4.361,802,321,3,8,9,4,TRUE,TRUE
"15",15,12.675,40.614,77,63,1041249,13522.714,3407.272,12411,9268,23942,749,119.078,5.078,1.201,0.191,1.211,748.964,119.081,5.106,746,116,4,7,7,3,TRUE,FALSE
"16",16,46.257,98.916,281,162,8696557,30948.602,18494.477,25882,9217,65535,767.534,116.463,6.872,2.076,0.335,2.072,767.501,116.46,6.813,764,111,4,9,11,6,FALSE,FALSE
"17",17,32.594,78.782,198,127,5733705,28958.105,16529.699,24406,9316,65535,341.374,141.121,6.49,1.778,0.267,1.757,341.38,141.128,6.465,338,137,4,8,10,6,TRUE,FALSE
"18",18,29.137,73.541,177,113,5113360,28889.039,16729.768,24929,9372,65535,513.35,153.288,5.898,1.769,0.325,1.784,513.469,153.194,5.781,510,150,4,8,9,5,TRUE,TRUE
"19",19,63.87,154.94,388,266,9340793,24074.209,14353.117,18823,9262,65535,543.634,166.242,5.93,2.587,1.081,2.288,543.904,167.015,5.663,539,151,4,11,24,6,TRUE,FALSE
"20",20,23.211,60.541,141,108,2498315,17718.547,6297.227,16122,9195,37432,974.667,164.113,5.922,1.543,0.365,1.488,974.678,164.142,5.903,970,161,4,10,7,4,TRUE,TRUE
"21",21,20.083,69.713,122,103,1944927,15942.024,5276.152,14554.5,9207,31848,744.656,176.131,5.295,1.674,0.612,1.669,744.739,176.152,5.325,739,172,4,12,9,4,FALSE,FALSE
"22",22,6.42,25.375,39,39,518179,13286.641,2892.658,13161,9289,20354,900.667,210.744,4.513,0.871,0.214,0.885,900.622,210.686,4.497,898,209,4,6,5,2,TRUE,TRUE
