"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"174",174,23.375,81.298,142,114,3263906,22985.254,11182.733,18523,12893,61511,549.88,69.817,9.577,2.122,0.864,2.211,550.164,70.621,9.522,546,61,8,8,16,4,FALSE,FALSE
"175",175,10.041,35.374,61,51,1298675,21289.754,5919.589,19259,13272,35941,668.836,83.41,9.131,1.114,0.2,1.122,668.78,83.364,9.133,666,81,8,7,6,3,TRUE,FALSE
"176",176,14.486,47.199,88,68,2150366,24435.977,9648.396,21311.5,12929,49027,616.08,92.591,9.67,1.292,0.264,1.313,616.152,92.604,9.626,613,89,8,7,8,4,FALSE,FALSE
"177",177,19.754,55.819,120,87,3556457,29637.143,14548.805,24376,13039,63373,655.042,95.383,9.625,1.53,0.318,1.571,655.12,95.24,9.626,653,91,8,5,10,4,FALSE,FALSE
"178",178,21.729,72.092,132,109,3003517,22753.916,6615.669,22921,13154,42238,548.735,125.394,9.485,1.551,0.524,1.582,548.745,125.285,9.472,546,120,8,6,12,4,FALSE,FALSE
"179",179,21.894,58.507,133,109,2849169,21422.324,5660.563,21207,12882,39264,528.526,153.301,9.218,1.428,0.292,1.453,528.434,153.305,9.251,525,149,8,9,9,4,FALSE,FALSE
"180",180,29.466,74.472,179,117,5959990,33296.035,15327.803,30592,13089,65535,698.531,175.978,9.95,1.714,0.27,1.678,698.641,175.868,9.944,695,172,8,8,9,5,FALSE,FALSE
"181",181,18.601,54.026,113,92,2633637,23306.521,8582.702,21089,13036,47427,582.089,180.283,9.973,1.445,0.363,1.415,582.198,180.378,9.945,579,176,8,6,10,4,TRUE,FALSE
"182",182,31.771,94.295,193,153,4938801,25589.643,12252.398,22485,12979,64392,627.694,202.295,9.663,2.049,0.733,1.84,627.75,202.135,9.657,621,197,8,14,14,4,FALSE,FALSE
"183",183,8.889,37.304,54,48,1139584,21103.408,6978.533,20015.5,13026,40938,589.796,274.926,9.185,1.206,0.397,1.169,589.598,274.761,9.201,586,273,8,9,6,3,FALSE,FALSE
