"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,44.775,93.328,272,174,9189241,33783.973,16463.887,28879.5,12809,65535,479.794,405.368,5.364,1.905,0.264,1.934,479.843,405.578,5.329,475,400,3,10,11,5,TRUE,FALSE
"2",2,35.557,80.85,216,136,7716612,35725.055,18444.295,30254.5,12976,65535,480.551,333.125,5.667,1.838,0.284,1.817,480.592,333.13,5.615,477,329,4,8,10,5,FALSE,FALSE
"3",3,45.763,103.156,278,176,9241677,33243.441,16627.602,27629.5,12592,65535,504.694,347.205,5.691,2.012,0.397,2.012,504.819,347.269,5.7,499,343,4,12,10,5,TRUE,FALSE
"4",4,34.569,101.674,210,164,5505145,26214.977,10953.657,23878.5,12606,65535,416.781,351.733,7.929,2.561,0.843,2.651,416.669,351.662,7.812,411,347,4,13,10,8,FALSE,FALSE
"5",5,33.581,76.643,204,131,6527327,31996.701,16026.25,27999,12590,65535,446.338,358.99,5.863,1.806,0.306,1.833,446.241,359.035,5.873,442,356,4,10,7,5,FALSE,FALSE
"6",6,15.638,54.956,95,88,2129514,22415.938,7162.218,20852,12666,40659,429.389,370.674,5.474,1.382,0.494,1.304,429.283,370.626,5.502,424,368,4,11,7,4,TRUE,TRUE
"7",7,25.351,72.367,154,121,4136782,26862.221,11564.596,25329,12658,64103,372.195,427.097,5.747,1.596,0.398,1.561,372.051,427.147,5.772,368,423,4,11,10,4,FALSE,FALSE
"8",8,52.018,108.604,316,185,11691570,36998.641,18689.348,32186.5,12643,65535,471.342,431.063,6.326,2.104,0.345,2.116,471.377,431.08,6.349,466,427,4,12,10,6,FALSE,FALSE
"9",9,16.955,51.268,103,78,3062164,29729.748,14418.266,25832,12698,65535,401.301,431.097,6.194,1.423,0.293,1.401,401.308,431.048,6.171,398,429,4,8,6,5,FALSE,FALSE
"10",10,38.355,98.779,233,154,8323106,35721.484,18267.641,31231,12637,65535,468.901,467.33,6.871,2.031,0.567,2.046,468.746,467.428,6.841,463,464,4,14,8,6,FALSE,FALSE
