"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,46.586,98.327,283,190,10840813,38306.758,17485.617,33353,15535,65535,612.36,300.23,3.396,1.976,0.375,1.934,612.256,300.06,3.394,609,294,2,9,14,4,FALSE,FALSE
"2",2,31.771,89.229,193,123,7241716,37521.844,17618.166,33130,15682,65535,839.269,325.751,4.124,1.937,0.44,2.027,839.301,325.753,4.089,834,321,2,11,10,5,FALSE,FALSE
"3",3,36.709,89.677,223,135,9493159,42570.219,18671.916,39871,15526,65535,825.274,366.426,4.309,1.969,0.411,1.918,825.235,366.349,4.337,821,363,2,11,8,6,FALSE,FALSE
"4",4,47.244,115.293,287,185,11567920,40306.34,18081.051,38430,15567,65535,669.056,408.401,4.875,2.17,0.585,2.096,669.042,408.471,4.866,665,401,2,10,15,6,FALSE,FALSE
"5",5,29.631,77.641,180,147,5309854,29499.189,12020.943,27107.5,15659,65535,749.467,424.444,3.844,1.67,0.46,1.638,749.807,424.633,3.855,744,420,2,12,9,4,FALSE,TRUE
"6",6,41.977,99.843,255,195,7576011,29709.848,10783.155,29259,15549,65535,640.318,429.965,3.439,1.849,0.415,1.842,640.368,429.773,3.488,635,424,2,11,13,4,FALSE,FALSE
"7",7,28.972,77.882,176,148,4887002,27767.057,8972.492,26587.5,15516,50703,868.438,426.994,3.761,1.663,0.497,1.646,868.456,427.11,3.73,863,422,2,11,11,4,TRUE,FALSE
"8",8,48.561,122.879,295,191,8606284,29173.844,9532.642,27222,15541,55446,863.773,453.736,5.203,2.107,0.558,2.21,863.729,453.888,5.218,860,447,2,9,13,6,FALSE,FALSE
"9",9,82.307,180.107,500,319,17617692,35235.383,15531.237,30380.5,15517,65535,725.944,496.766,4.734,2.545,0.658,2.567,725.551,496.785,4.71,719,489,2,17,15,6,TRUE,FALSE
"10",10,33.252,85.089,202,144,6654567,32943.402,14275.999,27586.5,15512,65535,698.604,525.455,3.614,1.887,0.542,1.809,698.633,525.453,3.611,696,519,2,7,14,4,FALSE,FALSE
"11",11,37.038,80.953,225,141,9329725,41465.445,18378.828,39099,15526,65535,786.924,662.298,4.32,1.878,0.303,1.872,786.997,662.293,4.348,782,659,2,11,7,5,FALSE,FALSE
"12",12,45.763,98.812,278,165,11208354,40317.82,18425.744,36639.5,15851,65535,595.133,766.04,3.946,2.063,0.362,2.061,595.188,766.109,3.978,592,760,2,8,12,5,FALSE,FALSE
"13",13,57.286,120.567,348,216,13069963,37557.363,17094.369,33896,15537,65535,708.25,775.948,4.328,2.249,0.557,2.141,708.253,775.996,4.303,704,769,2,10,16,5,FALSE,FALSE
"14",14,43.952,95.399,267,156,10964069,41063.93,18405.047,37540,15548,65535,724.457,821.064,4.719,2.021,0.358,1.99,724.489,821.043,4.737,721,816,2,8,11,6,TRUE,FALSE
"15",15,17.449,58.232,106,90,2922242,27568.32,9017.132,25662,15510,52101,723.179,907.859,3.519,1.506,0.538,1.514,723.104,907.654,3.542,720,903,2,7,12,4,TRUE,TRUE
"16",16,28.807,71.54,175,118,6152566,35157.52,14994.526,31820,15527,65535,684.12,928.663,4.251,1.665,0.266,1.693,684.188,928.631,4.201,681,924,2,8,10,5,FALSE,FALSE
"17",17,26.997,71.677,164,118,5018778,30602.305,12088.104,26805.5,15657,61865,632.823,950.921,3.774,1.6,0.297,1.608,632.865,951.006,3.759,629,946,2,9,11,4,FALSE,FALSE
"18",18,19.754,54.371,120,86,3792917,31607.643,13344.127,27659,15684,65509,521.458,955.342,3.558,1.48,0.238,1.512,521.526,955.411,3.583,518,952,2,8,7,4,FALSE,FALSE
"19",19,23.869,61.438,145,109,4398530,30334.689,12057.364,29091,15561,62360,699.014,966.317,3.745,1.531,0.257,1.537,699.059,966.325,3.741,696,962,2,8,10,4,TRUE,FALSE
"20",20,48.89,107.777,297,182,12227461,41169.902,18303.402,39239,15541,65535,545.926,962.815,4.828,2.127,0.454,2.115,545.904,962.854,4.769,541,957,2,11,12,6,TRUE,FALSE
"21",21,33.746,80.816,205,126,8498515,41456.172,18228.977,39092,15554,65535,668.859,975.073,4.6,1.872,0.376,1.821,668.859,974.852,4.604,666,971,2,7,10,6,FALSE,FALSE
"22",22,49.384,141.531,300,212,10853902,36179.672,16100.493,32384.5,15606,65535,676.237,984.263,3.697,2.54,0.868,2.631,676.238,984.329,3.714,671,977,2,13,18,5,TRUE,FALSE
"23",23,31.935,81.917,194,139,6179465,31852.912,12324.163,28231.5,15733,62010,736.964,275.706,5.088,1.751,0.461,1.768,737.104,275.661,5.096,733,271,3,10,10,5,FALSE,FALSE
"24",24,22.717,62.783,138,105,4382391,31756.457,12397.85,28316,15919,60639,671.696,285.514,4.754,1.54,0.347,1.58,671.647,285.434,4.736,668,281,3,8,10,4,FALSE,FALSE
"25",25,20.248,56.817,123,109,3309482,26906.357,8382.83,25056,15542,54633,641.374,309.236,3.772,1.461,0.397,1.391,641.398,309.309,3.76,638,305,3,8,10,3,FALSE,FALSE
"26",26,11.523,48.13,70,70,1364017,19485.957,3192.88,18796,15584,28249,788.071,317.929,3.414,1.214,0.425,1.159,788.056,317.922,3.37,784,314,3,10,9,2,FALSE,FALSE
"27",27,24.857,101.948,151,143,3408265,22571.291,6614.16,20245,15570,45620,670.212,332.94,3.894,1.85,0.753,1.844,670.217,332.871,3.899,663,327,3,14,14,3,FALSE,FALSE
"28",28,27.655,71.299,168,113,6319560,37616.43,17155.961,33434,15590,65535,860.405,340.44,4.75,1.698,0.324,1.696,860.319,340.355,4.782,856,337,3,9,9,5,FALSE,FALSE
"29",29,31.277,77.885,190,126,7543972,39705.117,18177.969,35226.5,15735,65535,829.058,345.805,4.811,1.77,0.314,1.788,829.081,345.816,4.806,825,342,3,10,9,5,FALSE,FALSE
"30",30,8.231,36.96,50,45,1247554,24951.08,8164.341,23778,15601,52322,745.18,354.28,4.42,1.114,0.373,1.083,745.182,354.399,4.437,743,350,3,5,9,4,FALSE,FALSE
"31",31,17.12,48.956,104,95,2808700,27006.73,7138.536,26913,15573,41500,771.125,364.933,3.654,1.274,0.328,1.345,771.106,364.917,3.643,768,361,3,8,8,3,FALSE,FALSE
"32",32,18.272,65.714,111,97,3304344,29768.865,12164.871,25839,15510,65535,630.604,380.171,4.405,1.857,0.8,1.814,630.676,379.949,4.452,628,374,3,8,14,4,TRUE,FALSE
"33",33,27.491,79.193,167,133,5067591,30344.855,10985.215,28518,15590,65535,842.06,421.377,4.096,1.728,0.55,1.647,842.169,421.25,4.08,838,414,3,8,15,4,FALSE,FALSE
"34",34,15.309,46.751,93,75,2509638,26985.355,9550.389,25531,15535,50453,810.634,431.441,4.419,1.304,0.25,1.309,810.668,431.498,4.404,808,428,3,6,8,4,FALSE,FALSE
"35",35,25.351,64.714,154,104,5216655,33874.383,15099.724,29477,15537,65535,784.266,435.032,4.403,1.592,0.195,1.61,784.297,434.973,4.364,781,431,3,8,9,4,FALSE,FALSE
"36",36,6.091,27.235,37,37,745888,20159.135,3640.183,18850,15572,27781,832.622,459.324,4.054,0.977,0.37,1,832.652,459.308,4.048,830,456,3,7,7,3,FALSE,FALSE
"37",37,34.075,84.711,207,135,7802864,37694.996,16702.021,36352,15546,65535,626.232,462.502,5.169,1.838,0.362,1.859,626.377,462.542,5.144,621,458,3,11,9,5,FALSE,FALSE
"38",38,12.346,43.682,75,63,1978543,26380.574,9534.019,24173,15640,55577,593.36,481.84,3.973,1.281,0.35,1.232,593.385,481.813,3.947,591,478,3,5,11,3,FALSE,FALSE
"39",39,66.998,128.216,407,262,13443629,33031.031,13737.693,29429,15576,65535,836.651,486.943,4.378,2.211,0.437,2.209,836.767,486.918,4.334,830,481,3,14,15,4,FALSE,FALSE
"40",40,25.515,70.265,155,111,5745390,37067.031,16756.855,34980,15650,65535,773.561,482.465,5.29,1.682,0.414,1.658,773.548,482.446,5.238,768,480,3,12,6,5,FALSE,FALSE
