"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,38.52,88.262,234,156,10032375,42873.398,17496.416,42520.5,17004,65535,769.842,506.017,6.312,1.894,0.408,1.866,769.824,506.068,6.218,766,501,4,9,11,5,TRUE,TRUE
"2",2,29.301,77.229,178,135,6826574,38351.539,14533.393,38446,16927,65535,957.534,638.809,5.989,1.707,0.437,1.735,957.424,638.876,5.956,951,635,4,12,8,5,FALSE,FALSE
"3",3,22.881,62.438,139,102,5291708,38069.84,15229.519,36326,16864,65535,901.957,725.806,5.95,1.521,0.291,1.525,901.982,725.831,5.927,898,723,4,9,7,5,FALSE,FALSE
"4",4,40.66,100.502,247,159,10287165,41648.441,18273.322,40870,16999,65535,221.259,127.862,7.089,2.066,0.559,2.083,221.224,127.822,7.097,215,124,5,14,8,5,TRUE,FALSE
"5",5,30.783,80.953,187,133,7678807,41063.141,17370.344,37461,16887,65535,329.85,179.075,6.684,1.827,0.465,1.783,329.954,179.128,6.741,326,173,5,9,13,4,FALSE,FALSE
"6",6,35.392,82.195,215,137,9688756,45063.98,18256.463,46033,16896,65535,512.986,322.749,6.828,1.866,0.322,1.906,512.946,322.693,6.82,509,319,5,10,9,5,TRUE,FALSE
"7",7,28.149,69.817,171,117,6935916,40560.914,17767.834,37735,16924,65535,490.532,381.953,6.351,1.688,0.316,1.689,490.521,381.948,6.295,486,379,5,11,7,4,TRUE,TRUE
"8",8,33.581,79.056,204,140,6957073,34103.301,12956.421,31468,16886,65535,714.642,500.706,6.647,1.835,0.413,1.8,714.635,500.665,6.671,712,495,5,7,13,4,FALSE,FALSE
"9",9,39.343,93.883,239,153,10300662,43099.004,17939.301,42862,17008,65535,931.808,545.197,7.925,1.989,0.466,2.043,931.806,545.136,7.909,929,540,5,7,12,6,FALSE,FALSE
"10",10,31.771,74.783,193,118,8494460,44012.746,18557.588,44143,16857,65535,682.974,590.715,7.207,1.84,0.312,1.836,682.953,590.739,7.225,680,587,5,7,9,5,FALSE,FALSE
"11",11,25.021,66.404,152,107,5808058,38210.906,16608.664,34178.5,16887,65535,758.092,631.033,7.197,1.663,0.37,1.719,757.996,630.999,7.168,753,629,5,11,5,5,FALSE,FALSE
"12",12,23.54,65.885,143,115,3504260,24505.314,6353.268,22762,16883,44656,971.825,717.497,5.916,1.513,0.342,1.46,971.853,717.404,5.912,968,712,5,8,11,3,FALSE,FALSE
"13",13,29.301,67.782,178,117,6556737,36835.602,14683.116,30895.5,17260,65535,969.466,746.506,6.5,1.686,0.185,1.655,969.507,746.473,6.485,965,743,5,9,8,4,FALSE,FALSE
"14",14,36.051,79.401,219,144,8544399,39015.52,15644.458,35572,17016,65535,961.694,777.571,6.507,1.809,0.271,1.819,961.814,777.457,6.495,957,773,5,10,10,4,FALSE,FALSE
"15",15,20.248,55.819,123,88,4444247,36132.09,15570.725,31862,16968,65535,1000.602,807.276,6.602,1.522,0.279,1.558,1000.6,807.245,6.638,998,803,5,6,9,4,FALSE,FALSE
"16",16,34.075,84.711,207,135,8702535,42041.23,17656.85,38981,17105,65535,275.362,163.671,7.657,1.854,0.403,1.867,275.386,163.721,7.679,271,159,6,10,10,5,TRUE,TRUE
"17",17,17.449,53.889,106,82,3952212,37285.02,15659.65,34170,16926,65535,334.302,190.547,7.792,1.434,0.32,1.418,334.214,190.481,7.801,331,187,6,8,8,4,FALSE,FALSE
"18",18,5.926,26.616,36,33,861651,23934.75,6375.962,22097.5,16996,41415,439.417,248.333,7.167,0.924,0.241,0.985,439.348,248.261,7.135,437,246,6,6,6,3,TRUE,TRUE
