"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"113",113,4.445,24.066,27,27,468040,17334.814,8174.667,14923,7687,38016,1020.704,833,9.556,1.013,0.412,0.941,1020.781,832.958,9.599,1020,830,8,2,6,4,FALSE,FALSE
"114",114,25.021,65.507,152,105,2356037,15500.243,6387.899,14005.5,7501,33715,89.947,905.454,9.375,1.609,0.267,1.624,89.924,905.446,9.373,85,902,8,10,8,4,FALSE,FALSE
"115",115,18.272,52.751,111,84,1900816,17124.469,6684.312,15968,7481,36328,76.883,918.892,9.18,1.409,0.25,1.418,76.894,918.892,9.146,74,916,8,7,7,4,TRUE,FALSE
"116",116,18.931,65.025,115,94,1545268,13437.113,5287.581,12095,7497,29904,72.548,931.348,9.922,1.679,0.58,1.742,72.674,931.685,9.9,69,925,8,7,12,4,TRUE,TRUE
"117",117,6.914,40.028,42,41,427490,10178.333,2328.293,9140.5,7503,15283,330.476,936.619,9.119,1.091,0.434,1.084,330.517,936.625,9.13,328,933,8,6,9,3,TRUE,TRUE
"118",118,19.26,55.371,117,84,1649889,14101.615,5241.21,12182,7504,25403,70.385,961.18,9.444,1.492,0.285,1.508,70.332,961.181,9.436,67,957,8,7,8,4,TRUE,TRUE
"119",119,20.906,61.99,127,100,1488682,11721.905,3073.77,11349,7516,21183,982.386,758.339,10.937,1.453,0.311,1.433,982.291,758.447,10.919,979,755,9,9,8,5,TRUE,TRUE
"120",120,8.889,33.235,54,54,541525,10028.241,1713.427,9678,7587,15034,68.333,918.704,9.574,1.08,0.409,1,68.244,918.7,9.583,63,917,9,10,5,2,TRUE,FALSE
"121",121,2.305,14.309,14,13,143472,10248,1936.29,10763,7568,13191,922.714,606.571,10.857,0.785,0.3,0.861,922.706,606.582,10.81,922,605,10,3,4,3,TRUE,FALSE
"122",122,6.585,26.616,40,40,416572,10414.3,1644.459,10305,7477,14113,603.35,648.775,10.475,0.961,0.317,0.894,603.423,648.775,10.49,600,647,10,8,5,2,FALSE,FALSE
"123",123,28.972,76.024,176,113,3110914,17675.648,8422.153,15141,7699,40880,917.438,660.824,12.011,1.803,0.382,1.915,917.503,661.002,11.947,915,656,10,7,10,5,TRUE,TRUE
"124",124,17.449,58.647,106,76,1145214,10803.905,2458.614,10441.5,7486,16523,926.066,705.047,11.887,1.482,0.384,1.405,926.047,705.072,11.865,924,701,10,6,9,5,TRUE,TRUE
"125",125,15.968,66.163,97,86,998816,10297.072,2008.752,9943,7622,16702,980.598,850.711,11.155,1.758,0.769,1.675,980.515,850.76,11.132,975,847,10,14,8,4,TRUE,TRUE
"126",126,15.968,54.304,97,71,1452340,14972.577,6422.266,13201,7547,32495,930.969,875.897,11.763,1.505,0.425,1.502,931.094,875.912,11.716,927,874,10,9,5,5,FALSE,FALSE
"127",127,7.243,30.444,44,39,744028,16909.727,7654.91,14858.5,7791,36862,1.977,939.659,11.5,1.113,0.362,1.004,1.918,939.539,11.455,1,938,10,4,6,4,FALSE,FALSE
"128",128,42.635,95.055,259,164,4074574,15731.946,5920.752,14648,7508,30775,790.062,579.865,13.703,1.969,0.358,1.981,790.208,579.828,13.68,785,576,11,12,8,6,FALSE,FALSE
"129",129,10.865,42.407,66,56,694743,10526.409,2480.526,9847.5,7516,19124,978.409,588.879,11.97,1.206,0.309,1.188,978.516,589,11.974,976,585,11,6,8,3,TRUE,TRUE
"130",130,26.832,73.163,163,107,2630073,16135.417,7302.532,14183,7525,34291,918.307,812.957,13.945,1.803,0.497,1.823,918.48,812.903,13.871,914,810,11,9,6,7,TRUE,FALSE
"131",131,19.589,59.233,119,94,1562971,13134.21,3797.325,12515,7498,21975,396.437,855,13.042,1.513,0.412,1.46,396.517,854.948,13.039,391,853,11,11,6,5,TRUE,FALSE
"132",132,20.083,60.129,122,93,1524924,12499.377,3587.153,11455.5,7634,21752,951.754,863.729,12.508,1.608,0.406,1.629,951.81,863.725,12.487,947,861,11,11,6,4,TRUE,FALSE
"133",133,18.108,55.371,110,77,1594267,14493.336,5343.011,13822,7570,30881,510.3,937.327,12.973,1.454,0.289,1.398,510.246,937.341,12.958,507,934,11,8,8,5,TRUE,TRUE
"134",134,5.926,25.823,36,35,370387,10288.527,1996.168,10378,7487,14627,608.389,652.722,12.528,0.903,0.271,0.861,608.315,652.694,12.492,605,651,12,8,4,3,TRUE,FALSE
"135",135,22.388,60.267,136,97,1792911,13183.169,3860.636,12735,7504,23184,901.037,725.265,13.963,1.53,0.309,1.488,900.952,725.31,13.933,898,722,12,7,8,5,FALSE,FALSE
"136",136,12.017,41.166,73,61,833709,11420.671,3103.199,10656,7520,21676,874.384,749.438,13.151,1.197,0.226,1.21,874.457,749.43,13.174,871,747,12,8,6,3,TRUE,FALSE
"137",137,21.4,60.785,130,87,2432330,18710.23,10056.121,15663,7536,46726,469.2,864.308,13.9,1.635,0.375,1.654,469.2,864.3,13.883,466,861,12,7,7,5,FALSE,FALSE
"138",138,36.38,87.435,221,146,2844885,12872.783,4091.855,12172,7569,24031,895.995,889.145,14.317,1.849,0.387,1.833,896.159,889.121,14.308,890,886,12,12,7,5,FALSE,FALSE
"139",139,17.943,53.648,109,80,1524830,13989.266,5071.833,12728,7468,27130,282.257,919.835,14.339,1.487,0.299,1.509,282.332,919.827,14.311,279,917,12,8,6,5,TRUE,TRUE
"140",140,5.926,29.099,36,33,353583,9821.75,1608.317,9924.5,7491,13696,429.889,937.306,13.167,1.035,0.311,1.038,429.89,937.293,13.156,428,934,12,5,7,3,TRUE,TRUE
