"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",1,5.268,24.307,32,30,986407,30825.219,12971.115,26002,15902,53952,353.906,69.812,3.312,0.948,0.301,0.885,353.95,69.679,3.342,351,69,2,6,3,4,TRUE,TRUE
"2",2,28.643,74.157,174,164,4506059,25896.891,6438.614,25575,15604,42552,376.408,94.247,3.402,1.614,0.559,1.62,376.43,94.267,3.4,372,89,2,9,12,3,TRUE,TRUE
"3",3,30.124,73.953,183,129,6701861,36622.191,15587.382,35427,15509,65535,350.104,108.24,3.907,1.65,0.259,1.661,350.182,108.445,3.923,346,104,2,9,9,5,TRUE,TRUE
"4",4,22.388,57.302,136,92,5286712,38872.883,18302.836,32489.5,15622,65535,402.544,124.235,3.64,1.574,0.253,1.593,402.525,124.281,3.675,399,122,2,8,6,5,TRUE,TRUE
"5",5,59.92,138.081,364,233,13317374,36586.191,15950.759,35106.5,15618,65535,416.67,134.731,4.865,2.387,0.78,2.259,416.36,134.719,4.735,409,130,2,17,11,7,TRUE,FALSE
"6",6,40.824,111.702,248,218,6461234,26053.363,7523.358,25846.5,15534,47036,255.907,132.266,3.73,2.019,0.767,1.983,256.185,132.493,3.678,250,125,2,12,16,4,TRUE,TRUE
"7",7,21.894,56.231,133,105,4126467,31026.068,12474.723,27185,15566,65535,300.895,84.579,4.105,1.452,0.275,1.445,300.654,84.56,4.09,297,81,3,9,8,3,TRUE,TRUE
"8",8,29.96,74.057,182,126,5800637,31871.633,13523.212,28185,15591,65535,231.555,136.352,4.665,1.738,0.362,1.722,231.473,136.39,4.713,227,131,3,9,11,4,FALSE,FALSE
"9",9,23.211,68.161,141,118,3598564,25521.73,6642.874,25175,15986,40617,367.142,157.333,4.22,1.527,0.48,1.606,367.165,157.242,4.25,363,153,3,10,10,4,TRUE,TRUE
"10",10,1.975,11.377,12,12,214265,17855.416,1378.394,17961,16071,21088,409.75,178,3.833,0.571,0.194,0.543,409.729,177.991,3.843,408,177,3,4,3,2,TRUE,TRUE
"11",11,16.626,48.337,101,76,3130412,30994.178,12674.403,28029,15524,65535,309.307,179.188,4.812,1.376,0.236,1.346,309.281,179.255,4.855,307,176,3,7,7,4,FALSE,FALSE
"12",12,2.305,13.998,14,14,252325,18023.215,1870.128,17550,15764,21011,414,179.286,3.929,0.645,0.282,0.609,414,179.232,3.935,412,178,3,5,4,2,TRUE,TRUE
"13",13,6.749,30.063,41,40,792958,19340.439,3183.9,18366,15531,27491,420.732,186.732,3.829,0.977,0.292,1.001,420.747,186.816,3.855,418,184,3,7,6,3,TRUE,FALSE
"14",14,23.211,62.127,141,105,4284138,30383.957,11376.676,27873,15577,56368,411.348,221.865,4.702,1.537,0.291,1.564,411.406,221.966,4.684,407,218,3,9,9,4,TRUE,TRUE
"15",15,13.334,44.372,81,72,1816455,22425.371,5292.548,21862,15662,35217,460.765,251.173,4.296,1.205,0.302,1.234,460.77,251.191,4.327,458,247,3,7,8,3,FALSE,FALSE
"16",16,17.778,51.888,108,91,2888432,26744.74,7833.093,27053,15635,45633,332.537,292.37,4.324,1.354,0.328,1.339,332.56,292.396,4.369,330,288,3,7,9,4,TRUE,FALSE
"17",17,17.778,53.681,108,81,3257022,30157.611,11819.253,28676,15542,58541,493.463,330.667,4.444,1.399,0.27,1.425,493.382,330.553,4.475,491,327,3,6,9,4,TRUE,TRUE
"18",18,22.552,65.919,137,124,3684913,26897.176,7069.502,27489,15605,43376,413.723,374.657,4.409,1.499,0.503,1.539,413.546,374.56,4.442,409,371,3,11,9,4,TRUE,FALSE
"19",19,23.211,64.128,141,98,5241026,37170.398,15962.671,35214,15580,65535,563.504,385.993,5.021,1.565,0.281,1.51,563.506,385.982,5.029,559,383,3,9,7,5,TRUE,TRUE
"20",20,23.375,67.471,142,117,3876807,27301.457,8753.914,26731.5,15491,51895,498.915,389.148,4.556,1.7,0.536,1.593,498.935,389.151,4.563,495,383,3,8,13,4,TRUE,FALSE
"21",21,27.82,74.127,169,119,5988372,35434.152,16712.574,30702,15579,65535,802.03,494.035,5.485,1.746,0.409,1.722,802.049,493.964,5.466,796,491,3,12,7,5,FALSE,FALSE
"22",22,33.746,82.192,205,156,6367657,31061.742,12487.455,27461,15480,65535,409.171,72.683,4.985,1.75,0.464,1.716,409.331,72.686,4.985,405,67,4,9,12,4,FALSE,FALSE
"23",23,10.206,35.959,62,60,1419285,22891.693,5217.097,21896.5,15481,35508,311.968,114.226,4.629,1.049,0.298,1.055,311.954,114.193,4.668,309,111,4,7,7,3,TRUE,TRUE
"24",24,2.469,16.377,15,15,283051,18870.066,2528.939,19328,15573,22990,343.667,127.4,4.133,0.679,0.22,0.723,343.621,127.483,4.128,342,125,4,4,5,2,TRUE,TRUE
"25",25,5.432,30.478,33,33,660717,20021.727,3385.701,19517,15681,26221,318.364,193.424,4.333,1.137,0.553,0.995,318.356,193.374,4.35,317,189,4,4,11,2,TRUE,TRUE
"26",26,9.877,40.614,60,59,1418445,23640.75,6264.089,21855.5,15589,41299,415.567,210.483,4.617,1.232,0.506,1.132,415.477,210.485,4.628,414,205,4,6,12,3,TRUE,TRUE
"27",27,13.828,48.956,84,82,1775523,21137.178,4390.996,20283.5,15509,31621,373.726,214.929,4.643,1.29,0.469,1.253,373.731,214.906,4.69,369,212,4,12,7,3,TRUE,TRUE
"28",28,10.535,36.752,64,61,1533051,23953.922,6129.299,21942.5,15755,41738,372.359,227.016,4.609,1.12,0.344,1.066,372.359,226.942,4.645,370,223,4,6,8,3,TRUE,TRUE
"29",29,5.268,25.134,32,32,624026,19500.812,2379.24,19574,15554,25279,430.344,260.156,4.375,0.916,0.328,0.872,430.334,260.228,4.388,429,256,4,4,9,2,TRUE,TRUE
"30",30,15.145,43.853,92,92,2108761,22921.314,4495.509,22291.5,15558,35695,421.054,274.359,4.533,1.239,0.404,1.196,421.008,274.284,4.573,417,270,4,8,10,2,TRUE,FALSE
"31",31,11.358,45.269,69,59,1573666,22806.754,6875.908,20794,15509,43342,362.884,277.667,4.971,1.215,0.276,1.186,362.881,277.77,4.932,360,274,4,7,8,3,TRUE,TRUE
"32",32,15.968,56.783,97,92,2299676,23708,7145.525,21669,15792,46945,427.041,289.412,4.639,1.616,0.554,1.678,427.258,289.573,4.653,421,286,4,12,8,3,TRUE,TRUE
"33",33,4.28,22.962,26,25,546347,21013.346,4093.287,20831,15480,32674,368.654,303.538,5.308,0.929,0.321,0.931,368.674,303.632,5.261,368,300,4,3,7,3,TRUE,TRUE
"34",34,6.749,27.754,41,38,959716,23407.707,6842.782,20161,15541,40612,474.927,306.927,4.707,0.928,0.207,0.927,474.934,306.86,4.701,472,305,4,6,5,3,TRUE,TRUE
"35",35,7.408,31.064,45,44,1011019,22467.09,6616.185,20919,15584,40809,423.533,321.6,4.644,0.962,0.269,0.929,423.67,321.723,4.66,421,319,4,6,6,3,TRUE,TRUE
"36",36,12.511,40.095,76,73,1673061,22013.961,5284.962,20615,15634,38007,353,331.737,5.329,1.126,0.313,1.144,352.989,331.818,5.293,350,328,4,7,8,3,FALSE,FALSE
"37",37,13.828,46.199,84,68,2038528,24268.191,7169.172,22008,15492,42418,472.048,345.917,5.071,1.281,0.274,1.284,472.17,345.942,5.064,468,343,4,8,8,3,TRUE,TRUE
"38",38,25.68,66.022,156,123,4210881,26992.826,8770.08,24467.5,15501,48784,402.878,364.237,5.071,1.57,0.381,1.535,402.975,364.345,5.119,399,360,4,10,9,3,TRUE,TRUE
"39",39,18.931,50.646,115,89,3270304,28437.426,10178.879,26661,15660,57179,571.591,420.713,5.043,1.374,0.223,1.387,571.607,420.753,5.029,568,418,4,9,7,3,TRUE,TRUE
"40",40,14.815,51.543,90,82,2039067,22656.301,5527.632,21523.5,15655,38160,481.378,433.389,4.8,1.69,0.555,1.734,481.292,433.462,4.815,477,429,4,10,10,3,TRUE,FALSE
"41",41,38.355,92.605,233,159,8398170,36043.648,16382.13,31885,15523,65535,416.91,435.545,6.193,1.908,0.407,1.909,416.598,435.879,6.149,413,430,4,11,11,5,TRUE,FALSE
