"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"72",72,20.248,53.681,123,94,3591501,29199.195,13786.919,25159,12125,65535,416.756,682.179,5.902,1.429,0.234,1.412,416.764,682.067,5.908,414,679,4,7,7,4,TRUE,FALSE
"73",73,29.466,73.679,179,116,5943097,33201.66,16741.975,29730,12037,65535,588.453,759.827,6.123,1.716,0.285,1.711,588.436,759.809,6.123,585,756,4,8,9,5,TRUE,TRUE
"74",74,27.655,68.539,168,129,3193508,19008.977,4943.184,18375.5,12046,35254,134.708,139.125,6.083,1.618,0.413,1.571,134.802,139.173,6.131,129,136,5,13,7,4,TRUE,FALSE
"75",75,23.375,62.853,142,91,4236547,29834.838,15543.891,24199.5,12046,65535,253.789,242.845,7.204,1.651,0.305,1.569,253.823,242.864,7.215,251,240,5,7,7,5,FALSE,FALSE
"76",76,17.449,50.061,106,84,2275633,21468.236,7193.932,19936.5,12123,39484,251.575,343.453,5.925,1.338,0.212,1.359,251.509,343.716,5.862,249,340,5,7,8,3,TRUE,TRUE
"77",77,15.968,51.613,97,74,2299950,23710.824,9735.977,21397,12194,53508,313.289,392.763,6.608,1.406,0.317,1.453,313.29,392.791,6.659,310,390,5,8,7,4,FALSE,FALSE
"78",78,3.786,21.41,23,23,310455,13498.044,1053.548,13485,12056,15534,272.913,402.043,5,0.87,0.373,0.896,272.89,402.03,5,270,400,5,7,5,1,TRUE,TRUE
"79",79,26.997,66.437,164,111,4527418,27606.207,12674.445,22592.5,12190,56756,326.848,423.244,6.317,1.639,0.27,1.644,326.829,423.116,6.326,324,419,5,7,10,4,TRUE,TRUE
"80",80,19.754,51.888,120,96,2398767,19989.725,6250.183,18485,12092,39036,410.025,525.717,6.075,1.386,0.233,1.381,410.146,525.701,6.057,406,523,5,9,7,3,TRUE,FALSE
"81",81,10.206,35.718,62,56,1162164,18744.58,4555.843,18147.5,12306,32521,270.452,528.387,6.339,1.067,0.246,1.099,270.454,528.36,6.347,268,526,5,6,6,3,TRUE,TRUE
"82",82,5.103,31.823,31,31,440781,14218.742,1363.973,14081,12415,17158,362.903,530.839,5.581,0.995,0.269,0.983,362.91,530.876,5.586,360,528,5,6,7,2,TRUE,TRUE
"83",83,35.721,84.434,217,154,5507198,25378.793,10028.752,22372,12034,53328,460.829,535,6.336,1.849,0.461,1.802,460.652,534.951,6.352,454,532,5,14,8,4,FALSE,FALSE
"84",84,11.358,37.649,69,57,1277673,18517,4622.348,17483,12181,34189,278.391,536.58,5.884,1.159,0.178,1.16,278.411,536.571,5.873,276,534,5,6,7,3,FALSE,FALSE
"85",85,4.445,29.203,27,27,364774,13510.148,986.436,13281,12223,15646,368.407,539.148,5.444,0.901,0.305,0.85,368.402,539.154,5.451,366,537,5,6,6,2,TRUE,TRUE
"86",86,16.297,56.439,99,90,1716793,17341.344,4260.963,16022,12197,34311,302.576,550.414,5.97,1.381,0.391,1.419,302.663,550.569,5.923,298,547,5,9,8,3,FALSE,FALSE
"87",87,19.095,59.507,116,95,2243494,19340.465,5769.278,18325,12069,35640,253.957,563.586,6.129,1.482,0.407,1.492,253.824,563.437,6.163,249,560,5,10,10,3,TRUE,FALSE
"88",88,59.755,120.948,363,196,13301517,36643.297,19582.213,30849,12081,65535,275.882,599.923,7.402,2.295,0.373,2.348,275.879,599.887,7.411,271,595,5,10,12,6,FALSE,FALSE
"89",89,42.635,128.22,259,216,5389382,20808.424,7076.166,19166,12059,46370,417.911,620.992,5.965,2.278,0.873,2.239,417.916,620.806,5.936,412,613,5,13,19,3,TRUE,TRUE
"90",90,26.832,81.606,163,142,3360431,20616.141,6440.349,19119,12042,40258,365.362,630.779,6.607,1.749,0.654,1.802,364.985,630.714,6.623,359,628,5,14,7,4,TRUE,TRUE
