"","X.1","Volume..micron.3.","Surface..micron.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...micron.","SD.dist..to.surf...micron.","Median.dist..to.surf...micron.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"227",227,4.938,22.273,30,28,563069,18768.967,4803.759,17750,13844,32669,654.5,131.333,12.733,0.895,0.251,0.894,654.505,131.321,12.748,652,130,12,5,4,3,TRUE,FALSE
"228",228,9.712,37.857,59,51,1389096,23544,9817.469,20924,13327,57825,671.322,170.661,13.169,1.171,0.315,1.161,671.424,170.569,13.17,669,167,12,6,8,3,TRUE,TRUE
"229",229,29.301,83.64,178,136,3950858,22195.832,7155.024,20078.5,13337,42147,598.899,184.792,13.938,1.647,0.401,1.607,598.898,184.878,13.942,594,179,12,11,12,4,TRUE,FALSE
"230",230,16.626,51.165,101,73,2435848,24117.307,9666.016,21484,13293,47393,632.366,217.168,13.653,1.409,0.268,1.4,632.429,217.216,13.646,629,214,12,7,8,4,TRUE,FALSE
"231",231,12.84,48.441,78,68,1549840,19869.744,5152.145,18614,13239,32867,675.91,219.154,13.077,1.328,0.374,1.306,675.842,219.279,13.069,674,214,12,5,10,3,TRUE,TRUE
"232",232,10.865,42.648,66,59,1304091,19758.955,5089.01,19086,13383,31827,656.015,217.03,13.455,1.183,0.364,1.074,656.014,217.087,13.448,653,213,12,7,8,4,TRUE,TRUE
"233",233,30.783,97.26,187,146,3836973,20518.572,6135.628,18298,13360,42304,744.032,235.706,13.198,2.125,0.781,2.179,744.143,235.658,13.218,735,233,12,18,7,4,FALSE,FALSE
"234",234,13.334,50.579,81,70,1680291,20744.334,6907.672,19157,13249,43731,704.864,242.543,12.988,1.415,0.463,1.399,704.918,242.852,12.984,703,237,12,5,11,4,FALSE,FALSE
"235",235,24.363,63.058,148,113,3339968,22567.352,6782.043,21325.5,13246,43937,587.48,240.466,13.946,1.53,0.332,1.504,587.496,240.451,13.923,584,236,12,8,11,4,TRUE,FALSE
"236",236,7.901,29.926,48,46,872883,18185.062,3929.591,17533,13355,27907,760.354,250.354,13.396,0.959,0.231,0.948,760.355,250.437,13.386,758,248,12,6,6,3,FALSE,FALSE
"237",237,7.737,32.753,47,46,903275,19218.617,4341.489,18868,13266,30463,567.936,250.809,13.404,1.111,0.417,1.051,567.982,250.817,13.367,564,249,12,9,5,3,FALSE,FALSE
"238",238,17.449,59.44,106,82,2480058,23396.773,7229.847,22545,13247,40335,728.877,270.047,13.764,1.494,0.41,1.516,728.907,270.087,13.73,725,267,12,9,8,4,FALSE,FALSE
"239",239,33.911,76.161,206,125,7458409,36205.867,18438.57,31121.5,13489,65535,525.854,276.112,13.816,1.865,0.302,1.857,525.852,276.146,13.752,522,273,12,9,7,5,FALSE,FALSE
"240",240,17.614,50.475,107,79,2652901,24793.467,8861.605,22791,13326,52127,756.561,283.944,13.318,1.453,0.305,1.445,756.484,283.877,13.264,754,281,12,6,8,4,FALSE,FALSE
"241",241,6.42,26.824,39,31,824553,21142.385,6459.226,18978,13663,44325,640.872,282.282,13.231,1.04,0.271,0.967,640.867,282.303,13.24,639,281,12,5,4,4,FALSE,FALSE
"242",242,23.211,62.335,141,103,3247436,23031.461,8747.078,20599,13301,49419,699.021,286.667,13.674,1.548,0.254,1.579,698.997,286.784,13.617,696,283,12,7,9,4,FALSE,FALSE
"243",243,20.412,60.163,124,99,2787208,22477.484,7430.323,19993,13240,39734,681.919,313.065,13.5,1.512,0.369,1.532,681.704,313.14,13.483,678,309,12,10,9,4,TRUE,FALSE
"244",244,20.248,65.955,123,98,2507829,20388.854,5769.684,19711,13238,34770,587.447,317.041,13.626,1.502,0.42,1.567,587.571,317.107,13.576,585,312,12,6,10,4,FALSE,FALSE
"245",245,6.585,34.581,40,39,683411,17085.275,3346.553,16028.5,13560,27380,598.9,332.025,13.125,1.087,0.399,1.159,598.926,332.115,13.1,596,329,12,7,7,3,FALSE,FALSE
"246",246,10.535,39.821,64,59,1263321,19739.391,4811.885,19068.5,13345,29212,750.453,342.375,12.781,1.154,0.339,1.138,750.385,342.282,12.771,748,340,12,6,8,3,FALSE,FALSE
"247",247,25.515,88.021,155,131,2966886,19141.199,4736.892,17936,13350,34797,616.245,346.535,14.155,1.919,0.726,1.891,616.414,346.769,14.15,610,340,12,13,13,5,FALSE,FALSE
"248",248,14.815,47.889,90,74,1757421,19526.9,5225.381,17857.5,13467,35860,770.678,352.889,12.933,1.32,0.306,1.29,770.645,352.857,12.928,766,351,12,10,5,3,FALSE,FALSE
"249",249,5.597,24.445,34,31,568413,16718.029,2434.425,16320,13249,21824,707.971,352.441,13.588,0.912,0.271,0.858,707.981,352.489,13.566,706,350,12,4,6,4,TRUE,FALSE
"250",250,26.009,70.299,158,116,4031069,25513.096,9366.188,24139.5,13234,54469,539.025,367.241,13.835,1.578,0.324,1.571,538.888,367.229,13.816,535,363,12,10,9,4,FALSE,FALSE
"251",251,12.346,42.511,75,59,1494824,19930.986,4559.772,19434,13431,33279,621.573,374.36,13.253,1.27,0.286,1.263,621.61,374.407,13.221,618,372,12,8,6,4,FALSE,FALSE
"252",252,18.766,55.716,114,78,2627319,23046.658,8762.971,19861,13516,48201,747.289,385.5,13.491,1.492,0.22,1.544,747.323,385.605,13.446,744,382,12,7,8,4,TRUE,FALSE
"253",253,4.115,20.135,25,25,406581,16263.24,2158.974,16039,13649,21031,660.84,393.84,12.64,0.815,0.221,0.785,660.858,393.822,12.647,659,392,12,4,6,2,FALSE,FALSE
