 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
147	21.564	64.232	131	96	2902132	22153.680	6269.631	21585.000	13438	38689	773.733	240.496	13.420	1.571	0.388	1.587	773.845	240.505	13.393	769	238	12	11	6	4
148	6.585	30.926	40	38	683973	17099.324	2742.611	16895.000	13508	23830	796.375	270.425	13.025	0.987	0.314	1.060	796.356	270.489	13.015	795	268	12	5	6	3
149	3.128	16.825	19	19	305218	16064.105	1934.655	15398.000	13649	19528	180.105	349.053	12.368	0.738	0.198	0.709	180.175	349.098	12.367	178	348	12	5	3	2
150	5.597	24.237	34	32	575804	16935.412	3153.980	16277.000	13377	23261	173.000	354.000	13.000	0.903	0.247	0.928	172.964	354.051	12.988	171	352	12	6	5	3
151	14.651	45.269	89	73	1891370	21251.348	5622.005	20068.000	13572	36476	545.270	521.674	13.056	1.307	0.268	1.270	545.314	521.694	13.068	541	519	12	9	6	3
152	11.523	34.788	70	60	1528705	21838.643	5929.875	20973.500	13508	36478	706.857	13.371	13.957	1.177	0.198	1.184	706.887	13.394	13.926	705	11	13	5	6	3
153	17.614	53.611	107	85	2043267	19095.953	4135.904	18243.000	13414	31323	468.467	100.383	13.972	1.418	0.381	1.375	468.554	100.345	13.981	462	97	13	12	8	3
154	25.021	86.398	152	138	2676243	17606.861	3201.354	16880.000	13368	26556	596.888	109.197	14.250	1.659	0.638	1.591	596.932	109.128	14.241	593	103	13	9	16	3
155	10.535	37.857	64	55	1301051	20328.922	4503.564	20321.000	13456	29169	739.562	131.250	14.172	1.215	0.302	1.185	739.512	131.263	14.186	736	129	13	8	6	3
156	6.420	25.823	39	39	652291	16725.410	1824.095	16384.000	13469	20237	537.538	134.103	13.462	0.882	0.220	0.879	537.562	134.127	13.458	535	132	13	6	5	2
157	28.149	74.987	171	131	3403189	19901.689	4539.594	19057.000	13411	32422	442.000	184.351	15.029	1.649	0.405	1.609	441.995	184.312	14.986	437	181	13	11	8	5
158	16.626	52.647	101	80	2086390	20657.326	5793.443	19704.000	13472	35568	756.416	192.475	14.446	1.388	0.306	1.495	756.435	192.484	14.455	753	189	13	9	7	4
159	7.901	32.650	48	46	905204	18858.416	4088.181	18335.500	13455	27443	324.729	222.167	14.375	1.018	0.322	0.984	324.684	222.122	14.356	323	218	13	5	9	3
160	28.643	73.953	174	128	3940382	22645.873	7132.339	21218.000	13398	46094	631.282	226.741	15.023	1.632	0.336	1.642	631.284	226.762	14.993	627	222	13	9	11	5
161	46.421	105.431	282	178	7940453	28157.635	12025.756	25185.000	13401	61582	119.975	280.848	15.128	1.984	0.334	2.012	119.938	280.906	15.083	115	276	13	11	12	5
162	14.157	48.233	86	73	1774508	20633.814	5173.669	19621.500	13668	35314	463.081	293.884	14.733	1.253	0.289	1.282	463.047	293.811	14.713	459	291	13	9	7	4
163	8.066	37.857	49	45	831342	16966.164	2933.968	16190.000	13391	26726	165.959	309.143	14.163	1.083	0.340	1.025	166.038	309.045	14.139	164	306	13	5	9	3
