 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
123	9.218	36.856	56	56	814074	14537.036	3548.297	13560.000	10285	23915	420.054	920.911	6.446	1.108	0.417	1.022	420.147	921.050	6.466	416	916	6	8	9	2
124	14.815	46.028	90	70	1989467	22105.189	9542.739	20573.500	10283	49353	64.500	932.333	7.867	1.376	0.327	1.318	64.350	932.276	7.893	62	930	6	7	5	5
125	19.424	54.337	118	84	2552413	21630.619	8282.923	20689.000	10215	40905	849.754	537.661	9.212	1.532	0.365	1.485	849.801	537.641	9.181	847	535	7	7	6	5
126	29.795	74.438	181	118	4395465	24284.338	11431.892	22872.000	10087	53517	811.166	545.702	9.320	1.780	0.379	1.752	811.140	545.718	9.299	806	543	7	10	6	6
127	43.458	149.840	264	211	4203472	15922.242	5400.161	14175.000	10040	36739	582.970	579.776	10.352	2.895	1.128	2.862	583.497	579.943	10.003	574	575	7	19	11	8
128	12.840	38.305	78	61	1604125	20565.705	7804.781	19416.000	10035	41851	845.154	650.513	8.064	1.272	0.261	1.197	845.210	650.551	8.027	843	648	7	5	6	4
129	2.634	16.584	16	15	198640	12415.000	2376.503	11370.500	10435	18875	838.438	659.688	7.812	0.769	0.261	0.821	838.437	659.680	7.839	837	658	7	4	4	3
130	29.795	76.643	181	126	3851250	21277.625	9109.898	19361.000	10054	51392	866.028	664.365	8.652	1.716	0.355	1.740	865.970	664.537	8.703	862	660	7	8	10	5
131	10.700	45.476	65	59	887941	13660.631	2724.005	13096.000	10164	22123	761.462	679.908	8.446	1.207	0.402	1.184	761.502	679.981	8.436	758	677	7	7	6	4
132	27.984	76.369	170	109	4702183	27659.900	15998.929	23227.000	10040	65535	298.276	687.853	9.347	1.782	0.406	1.774	298.301	687.801	9.334	294	684	7	9	9	6
133	11.688	38.787	71	60	1091033	15366.662	4146.215	14678.000	10077	30295	582.408	713.704	8.197	1.198	0.267	1.201	582.353	713.639	8.222	580	710	7	6	8	3
134	39.837	90.330	242	164	5899657	24378.748	12703.096	18914.500	10104	65535	177.050	714.665	8.587	1.967	0.479	1.956	177.498	714.414	8.544	172	711	7	13	10	4
135	9.218	35.822	56	48	808088	14430.143	3688.719	13724.000	10072	23511	823.571	805.857	7.911	1.136	0.239	1.116	823.631	805.861	7.885	820	804	7	8	5	3
136	9.054	34.684	55	52	806396	14661.745	3294.317	13914.000	10044	24095	846.782	817.418	8.582	1.064	0.332	1.075	846.761	817.479	8.581	845	814	7	5	7	4
137	24.857	72.333	151	116	2645362	17518.953	5870.102	16766.000	10122	38376	813.921	817.026	8.861	1.576	0.338	1.543	813.876	817.144	8.873	809	814	7	11	8	5
138	6.255	27.858	38	36	481094	12660.368	2019.727	11905.500	10161	17205	342.526	851.474	7.737	0.917	0.254	0.953	342.482	851.491	7.747	340	849	7	5	6	3
139	23.046	62.853	140	93	3449988	24642.771	13214.989	20169.500	10039	62321	762.593	870.643	9.229	1.627	0.303	1.631	762.593	870.677	9.205	758	867	7	9	7	5
140	22.058	66.681	134	101	3271393	24413.381	10019.939	23914.500	10078	46578	477.425	937.910	9.866	1.765	0.527	1.847	477.435	937.960	9.811	472	935	7	10	6	6
141	2.634	15.239	16	16	178504	11156.500	721.750	10877.000	10029	12422	844.688	640.250	8.250	0.692	0.211	0.741	844.692	640.264	8.253	843	638	8	4	5	2
