 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
89	3.457	19.101	21	21	255810	12181.429	1913.277	11793.000	9973	16111	750.810	521.857	4.619	0.802	0.177	0.776	750.764	521.826	4.641	749	521	4	5	4	2
90	32.594	81.780	198	131	4786605	24174.773	13526.299	20086.500	9921	65535	645.889	525.732	5.848	1.790	0.359	1.807	645.582	525.781	5.827	640	522	4	12	8	5
91	2.140	18.860	13	13	136569	10505.308	395.678	10373.000	10023	11274	759.077	531.769	4.462	0.967	0.232	1.020	759.047	531.776	4.470	756	530	4	6	5	2
92	22.058	55.093	134	104	2748326	20509.896	8580.954	18205.000	10061	49436	721.731	579.060	5.082	1.438	0.247	1.437	721.620	578.998	5.078	718	576	4	9	7	3
93	7.243	25.927	44	38	753045	17114.658	5198.915	16475.000	9990	29009	773.614	582.795	5.273	1.000	0.203	0.981	773.577	582.810	5.331	772	580	4	4	6	3
94	22.058	62.060	134	89	3479193	25964.127	15405.116	21423.500	9903	65535	779.873	602.246	5.776	1.586	0.298	1.569	779.873	602.349	5.764	777	599	4	7	8	5
95	39.178	89.399	238	149	5936427	24942.971	13742.387	20355.000	9924	65535	696.983	615.908	5.899	1.879	0.260	1.900	697.013	615.882	5.904	693	611	4	9	11	5
96	32.594	84.434	198	145	3855219	19470.803	7756.539	18254.500	9904	38643	771.970	619.207	5.576	1.705	0.360	1.758	771.981	619.246	5.586	768	614	4	9	11	4
97	28.314	73.990	172	109	4553175	26471.947	15302.080	22472.500	9892	65535	807.552	619.041	5.977	1.748	0.305	1.745	807.424	619.033	5.963	803	615	4	9	9	5
98	9.548	35.270	58	52	900312	15522.621	4252.263	15214.500	9913	27998	834.328	629.397	5.138	1.137	0.288	1.134	834.353	629.415	5.151	831	627	4	8	5	3
99	11.194	39.235	68	59	936992	13779.294	3491.113	12652.500	10081	22996	824.044	632.721	5.074	1.169	0.248	1.155	823.980	632.690	5.079	821	631	4	8	5	3
100	11.523	40.614	70	63	1216353	17376.471	4904.105	17450.000	9897	28962	710.757	647.614	5.386	1.125	0.272	1.151	710.750	647.603	5.446	708	645	4	7	7	4
101	53.500	115.223	325	198	8347371	25684.219	13750.955	21133.000	9934	65535	859.292	653.363	5.763	2.113	0.406	2.091	859.391	653.172	5.773	854	647	4	11	13	5
102	9.877	34.132	60	57	967680	16128.000	3141.700	16574.000	10047	21832	801.383	662.567	5.433	1.025	0.264	1.080	801.419	662.561	5.463	799	660	4	6	7	3
103	34.404	82.366	209	139	4256265	20364.904	9486.186	17108.000	9962	48007	814.120	670.612	5.478	1.750	0.215	1.760	814.128	670.727	5.477	810	666	4	10	10	4
104	47.080	103.430	286	192	6145365	21487.291	9440.688	18055.000	9888	43970	734.801	674.346	5.434	1.974	0.416	1.928	734.843	674.284	5.425	729	668	4	11	13	4
105	30.289	70.644	184	122	4902872	26646.043	13618.125	21971.000	10130	61452	696.016	679.353	5.386	1.713	0.252	1.708	696.001	679.361	5.370	693	675	4	8	10	4
