Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
147	334	147	121	11466	78.000	0.000	78.000	78	78	499.837	999.599	5.333	3.428	1.327	3.304	499.837	999.599	5.333	497	994	2	7	13	9
1201	1368	1201	663	97281	81.000	0.000	81.000	81	81	545.189	1005.169	7.667	6.472	1.716	6.480	545.186	1005.168	7.667	536	999	2	17	13	12
93	176	93	77	51416	552.860	49.566	558.000	80	558	466.151	1005.634	4.667	2.536	0.682	2.510	466.143	1005.658	4.691	463	1002	2	7	6	7
1742	2342	1742	1097	146328	84.000	0.000	84.000	84	84	525.333	1004.121	7.470	7.769	2.477	7.607	525.331	1004.118	7.470	511	990	2	26	21	11
469	728	469	369	1244119	2652.706	2308.798	567.000	567	5203	557.463	1007.623	7.644	4.493	1.333	4.567	555.467	1006.891	7.741	553	1000	2	10	12	12
1288	1854	1288	863	796742	618.589	14.767	619.000	89	619	405.866	369.568	7.764	7.701	3.544	6.990	405.870	369.568	7.767	391	358	3	29	28	12
879	1406	879	609	79110	90.000	0.000	90.000	90	90	439.840	401.044	7.909	6.584	2.333	6.436	439.839	401.044	7.909	430	391	3	19	22	12
126	240	126	99	11592	92.000	0.000	92.000	92	92	398.111	436.889	6.127	2.863	0.931	2.810	398.111	436.889	6.127	394	434	3	12	6	7
309	588	309	229	215078	696.045	34.360	698.000	94	698	342.094	441.861	7.074	4.078	1.243	4.017	342.102	441.858	7.086	337	435	3	11	14	10
655	934	655	421	62225	95.000	0.000	95.000	95	95	427.047	442.005	7.765	5.609	1.818	5.297	427.048	442.005	7.765	417	435	3	18	12	12
185	374	185	142	17760	96.000	0.000	96.000	96	96	357.995	449.270	6.178	3.846	1.557	3.583	357.995	449.270	6.178	351	445	3	13	10	7
127	232	127	99	12446	98.000	0.000	98.000	98	98	358.134	458.528	5.677	3.089	1.151	2.807	358.134	458.528	5.677	355	454	3	7	11	6
448	938	448	347	48392	108.018	190.872	99.000	99	4139	402.058	463.310	8.812	5.121	1.951	4.975	401.887	463.368	8.828	392	457	3	17	15	12
184	310	184	133	18400	100.000	0.000	100.000	100	100	417.870	473.283	5.745	3.447	1.018	3.232	417.870	473.283	5.745	414	469	3	9	10	7
599	984	599	420	151567	253.033	840.686	101.000	101	4894	365.634	474.755	6.072	6.466	2.650	6.270	368.953	474.712	8.717	359	462	3	15	24	10
92	178	92	69	9568	104.000	0.000	104.000	104	104	317.272	490.500	5.707	2.449	0.517	2.431	317.272	490.500	5.707	315	488	3	6	6	7
420	614	420	280	44100	105.000	0.000	105.000	105	105	369.990	496.574	7.017	4.577	1.368	4.504	369.990	496.574	7.017	363	492	3	14	10	9
243	550	243	209	534164	2198.206	1040.469	2909.000	106	4910	348.444	510.477	6.741	4.231	1.589	4.222	348.040	511.764	7.189	343	504	3	11	15	9
291	548	291	214	230367	791.639	40.273	794.000	107	794	421.296	511.234	8.347	4.156	1.328	4.106	421.290	511.238	8.363	417	506	3	9	13	11
251	460	251	193	201034	800.932	174.521	793.000	108	3469	326.263	510.259	6.032	3.984	1.349	3.969	326.240	510.216	6.068	323	504	3	9	12	9
352	694	352	268	116420	330.739	1133.933	109.000	109	6113	336.381	514.151	7.892	4.644	1.646	4.338	337.776	510.646	10.698	332	506	3	11	17	11
113	244	113	94	12430	110.000	0.000	110.000	110	110	461.717	520.062	5.133	2.966	1.221	2.726	461.717	520.062	5.133	459	516	3	9	11	6
41	102	41	37	4551	111.000	0.000	111.000	111	111	395.707	521.171	4.976	1.839	0.517	1.853	395.707	521.171	4.976	394	519	3	5	5	5
735	1188	735	494	82320	112.000	0.000	112.000	112	112	354.773	537.536	7.297	5.792	1.971	5.489	354.773	537.536	7.297	346	529	3	20	16	12
185	320	185	144	151934	821.265	74.192	829.000	113	829	439.135	537.308	5.616	3.372	1.020	3.365	439.127	537.297	5.641	434	533	3	10	8	7
220	332	220	155	25960	118.000	0.000	118.000	118	118	442.136	545.877	5.927	3.491	0.823	3.450	442.136	545.877	5.927	438	541	3	9	10	7
221	360	221	154	26520	120.000	0.000	120.000	120	120	332.385	549.330	7.226	3.473	0.826	3.418	332.385	549.330	7.226	328	545	3	10	9	9
656	968	656	412	79376	121.000	0.000	121.000	121	121	366.312	555.559	8.264	5.484	1.705	5.497	366.311	555.559	8.264	358	546	3	18	16	11
318	668	318	249	103449	325.311	729.275	122.000	122	2933	478.899	558.632	7.390	4.505	1.654	4.278	476.625	561.470	6.385	471	552	3	13	14	10
78	184	78	68	9594	123.000	0.000	123.000	123	123	352.462	561.564	5.872	2.533	0.865	2.475	352.462	561.564	5.872	350	559	3	6	8	7
70	158	70	61	59326	847.514	87.730	858.000	124	858	382.057	565.671	5.586	2.268	0.630	2.157	382.070	565.680	5.618	379	563	3	7	5	6
626	964	626	418	78250	125.000	0.000	125.000	125	125	427.171	564.473	6.788	5.690	1.986	5.558	427.170	564.473	6.788	417	558	3	20	13	10
111	230	111	90	16914	152.378	267.378	127.000	127	2944	313.081	576.324	5.027	2.792	0.881	2.836	312.568	576.104	5.356	310	572	3	7	10	5
277	412	277	181	36010	130.000	0.000	130.000	130	130	461.155	580.614	5.664	3.976	1.222	3.871	461.155	580.614	5.664	456	575	3	14	12	6
192	370	192	146	25344	132.000	0.000	132.000	132	132	391.927	588.932	6.109	3.637	1.303	3.609	391.927	588.932	6.109	389	584	3	7	13	9
36	102	36	33	4824	134.000	0.000	134.000	134	134	323.889	588.306	4.889	1.939	0.819	1.718	323.889	588.306	4.889	321	585	3	6	7	4
16	56	16	16	2160	135.000	0.000	135.000	135	135	373.750	588.062	5.125	1.723	0.824	1.641	373.750	588.062	5.125	371	588	3	7	2	4
575	1018	575	419	514442	894.682	31.611	896.000	138	896	384.240	602.720	7.282	5.946	2.285	5.777	384.242	602.725	7.288	376	595	3	20	18	10
66	172	66	60	9240	140.000	0.000	140.000	140	140	333.076	604.121	4.818	2.598	1.097	2.379	333.076	604.121	4.818	331	600	3	5	10	4
980	1358	980	601	138180	141.000	0.000	141.000	141	141	342.403	601.757	7.354	6.805	2.423	6.416	342.402	601.758	7.354	333	590	3	19	24	13
278	586	278	232	749419	2695.752	1229.002	3537.000	142	3537	389.378	610.561	8.266	3.824	1.166	3.895	389.626	609.557	8.634	386	606	3	8	10	11
159	292	159	127	22737	143.000	0.000	143.000	143	143	439.270	619.428	5.836	3.236	1.141	3.192	439.270	619.428	5.836	436	616	3	8	11	6
292	544	292	214	42847	146.736	46.758	144.000	144	943	343.592	627.524	7.082	4.367	1.563	4.191	343.581	627.514	7.025	338	621	3	14	12	11
62	142	62	50	9114	147.000	0.000	147.000	147	147	365.613	635.968	4.823	2.155	0.562	2.122	365.613	635.968	4.823	363	633	3	6	6	6
316	588	316	248	47713	150.991	0.126	151.000	149	151	351.522	641.332	5.592	4.803	1.964	4.610	351.522	641.333	5.592	345	635	3	16	14	6
522	980	522	386	497651	953.354	61.162	958.000	148	958	469.659	640.255	6.983	6.038	2.689	5.516	469.659	640.256	7.001	458	633	3	27	16	9
465	990	465	369	70680	152.000	0.000	152.000	152	152	439.103	639.422	9.327	5.008	1.827	4.876	439.103	639.422	9.327	433	631	3	16	19	11
107	240	107	88	16478	154.000	0.000	154.000	154	154	443.850	645.374	5.336	2.741	0.846	2.703	443.850	645.374	5.336	441	642	3	7	9	7
300	536	300	216	46800	156.000	0.000	156.000	156	156	401.267	652.013	7.550	4.044	1.274	4.031	401.267	652.013	7.550	398	645	3	8	13	11
342	704	342	267	330585	966.623	43.908	969.000	157	969	427.766	647.538	6.833	4.558	1.651	4.334	427.763	647.529	6.843	422	642	3	14	15	9
250	434	250	175	39500	158.000	0.000	158.000	158	158	333.420	650.928	6.600	3.827	1.172	3.862	333.420	650.928	6.600	329	646	3	10	13	9
531	944	531	385	84429	159.000	0.000	159.000	159	159	343.294	658.637	7.262	5.370	1.949	5.302	343.295	658.637	7.262	331	651	3	21	16	10
270	352	270	166	43470	161.000	0.000	161.000	161	161	391.922	658.922	5.996	3.765	0.887	3.646	391.922	658.922	5.996	388	654	3	8	11	7
322	550	322	218	51520	160.000	0.000	160.000	160	160	376.689	656.239	7.289	4.278	1.344	4.258	376.689	656.239	7.289	371	649	3	11	15	11
192	452	192	162	31104	162.000	0.000	162.000	162	162	470.349	657.750	5.688	4.336	1.930	3.996	470.349	657.750	5.688	466	652	3	14	15	7
52	126	52	46	8632	166.000	0.000	166.000	166	166	425.135	660.423	5.135	2.001	0.508	1.977	425.135	660.423	5.135	422	658	3	6	5	5
40	120	40	37	38423	960.575	129.179	981.000	164	981	452.725	660.225	4.950	1.859	0.602	1.797	452.762	660.208	4.991	450	658	3	6	5	4
120	250	120	101	19800	165.000	0.000	165.000	165	165	360.375	663.325	5.783	3.291	1.465	3.051	360.375	663.325	5.783	358	659	3	7	13	6
91	226	91	84	89267	980.956	86.274	990.000	167	990	421.758	666.165	5.352	2.581	0.850	2.536	421.774	666.176	5.373	419	662	3	8	8	5
201	414	201	163	213561	1062.493	453.013	993.000	168	3596	347.055	671.607	5.866	3.510	1.197	3.465	347.066	671.843	6.080	343	668	3	9	11	9
89	206	89	78	15129	169.989	0.106	170.000	169	170	318.989	673.989	4.933	2.900	1.106	2.991	318.989	673.989	4.933	315	670	3	8	9	4
381	710	381	286	65151	171.000	0.000	171.000	171	171	378.522	673.436	7.136	4.715	1.641	4.547	378.523	673.436	7.136	374	665	3	11	18	10
501	862	501	352	266589	532.114	1353.729	173.000	173	5625	416.655	674.613	7.882	4.719	1.402	4.752	414.761	672.788	10.641	412	665	3	10	17	12
546	974	546	397	95549	174.998	0.043	175.000	174	175	447.026	677.302	6.839	5.275	1.815	5.164	447.027	677.302	6.839	438	670	3	18	14	11
131	286	131	105	23186	176.992	0.087	177.000	176	177	326.733	683.405	5.511	3.119	1.044	3.004	326.733	683.405	5.512	322	678	3	9	11	6
297	470	297	207	52866	178.000	0.000	178.000	178	178	335.391	684.882	5.522	4.294	1.544	4.150	335.391	684.882	5.522	331	678	3	10	16	6
361	738	361	298	64619	179.000	0.000	179.000	179	179	391.798	688.526	8.670	4.832	1.828	4.703	391.798	688.527	8.670	385	680	3	13	16	11
318	576	318	240	57558	181.000	0.000	181.000	181	181	370.280	690.811	5.761	4.641	1.697	4.483	370.280	690.812	5.761	364	684	3	15	13	7
114	290	114	104	20523	180.026	0.281	180.000	180	183	426.649	690.053	5.000	2.926	1.049	2.928	426.649	690.053	5.000	422	685	3	10	9	5
