 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	36.051	103.260	219	158	6715285	30663.402	15528.236	24353.000	13945	65535	604.155	891.616	3.941	2.285	0.915	2.134	604.057	892.200	3.641	601	882	1	8	17	7
2	70.455	161.595	428	276	12470252	29136.104	15211.295	22728.500	13906	65535	773.801	934.645	4.369	2.682	0.856	2.725	773.708	934.007	3.913	769	929	1	11	15	8
3	46.750	101.329	284	176	10173131	35820.883	16924.537	31725.000	13961	65535	799.373	973.151	3.254	2.043	0.382	2.043	799.414	973.184	3.247	793	970	1	14	7	6
4	45.434	92.846	276	168	9732412	35262.363	16437.107	31585.500	13910	65535	610.949	685.801	4.417	1.938	0.257	1.947	611.080	685.746	4.368	606	681	2	11	10	5
5	23.869	62.750	145	94	5114203	35270.367	17990.023	29827.000	13995	65535	801.221	772.055	4.262	1.618	0.263	1.581	801.288	772.052	4.244	798	768	2	8	8	5
6	37.697	99.917	229	160	7779368	33971.039	17074.881	29663.000	13907	65535	733.891	796.079	4.428	2.069	0.614	2.111	734.019	796.096	4.434	727	791	2	15	10	5
7	36.544	82.125	222	140	7384126	33261.828	15785.533	27571.000	13967	65535	551.901	807.162	3.518	1.849	0.311	1.832	551.949	807.190	3.493	547	803	2	11	9	4
8	18.108	48.786	110	86	3447287	31338.973	12495.943	30548.000	14545	60496	665.264	816.936	3.927	1.378	0.243	1.344	665.244	816.913	3.921	663	813	2	6	8	4
9	21.894	57.335	133	97	3530415	26544.475	9701.181	22970.000	13939	53251	702.669	827.910	3.752	1.480	0.244	1.481	702.706	827.948	3.708	699	824	2	8	8	4
10	42.470	90.089	258	162	9219125	35733.043	17130.348	31624.000	13918	65535	526.938	832.248	4.306	1.934	0.332	1.905	526.828	832.129	4.290	524	827	2	8	12	5
11	31.935	78.745	194	140	4953741	25534.748	9332.246	23548.000	13944	46201	790.541	846.675	3.644	1.682	0.250	1.678	790.614	846.574	3.619	786	842	2	9	11	4
