Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
118	208	118	85	6372	54.000	0.000	54.000	54	54	864.475	298.110	6.076	2.721	0.564	2.691	864.475	298.110	6.076	861	295	4	8	7	6
500	892	500	380	29500	59.000	0.000	59.000	59	59	921.378	304.910	7.200	5.586	2.395	5.510	921.380	304.910	7.200	915	297	4	19	17	10
114	236	114	95	6612	58.000	0.000	58.000	58	58	867.912	304.553	5.430	2.969	1.009	2.921	867.912	304.553	5.430	863	302	4	11	6	4
440	676	440	304	350379	796.316	35.325	798.000	57	798	802.750	299.925	9.168	4.534	1.357	4.376	802.748	299.916	9.179	796	292	4	13	16	10
183	368	183	150	189537	1035.721	1532.319	60.000	60	3429	791.273	307.262	7.448	4.000	1.444	3.917	793.824	308.028	10.528	785	304	4	12	7	10
68	172	68	62	4216	62.000	0.000	62.000	62	62	895.559	306.088	5.441	2.630	1.006	2.552	895.559	306.088	5.441	892	304	4	8	7	6
160	336	160	128	10400	65.000	0.000	65.000	65	65	883.812	306.750	6.731	3.409	1.143	3.382	883.812	306.750	6.731	879	303	4	10	10	9
70	150	70	57	4620	66.000	0.000	66.000	66	66	856.314	309.243	5.286	2.443	0.813	2.308	856.314	309.243	5.286	853	307	4	8	5	4
366	744	366	309	529147	1445.757	882.460	803.000	70	2638	817.224	314.246	6.451	5.399	2.460	5.063	815.450	315.663	6.629	810	302	4	14	20	6
208	324	208	142	14352	69.000	0.000	69.000	69	69	807.918	312.712	6.308	3.498	0.976	3.372	807.918	312.712	6.308	805	307	4	9	12	6
246	408	246	172	16731	68.012	0.191	68.000	68	71	800.646	313.045	7.947	3.751	1.125	3.549	800.646	313.045	7.946	797	307	4	9	12	9
59	154	59	54	4248	72.000	0.000	72.000	72	72	884.932	315.000	5.102	2.211	0.758	2.209	884.932	315.000	5.102	882	312	4	7	7	3
73	156	73	63	5329	73.000	0.000	73.000	73	73	903.493	315.014	5.274	2.376	0.747	2.436	903.493	315.014	5.274	900	312	4	8	6	4
324	452	324	205	24624	76.000	0.000	76.000	76	76	833.339	317.617	7.056	3.976	0.884	3.913	833.339	317.617	7.056	828	312	4	10	10	9
111	198	111	78	8547	77.000	0.000	77.000	77	77	875.568	318.108	5.766	2.652	0.556	2.566	875.568	318.108	5.766	872	315	4	8	7	6
139	262	139	110	10286	74.000	0.000	74.000	74	74	783.468	315.734	5.993	3.009	0.913	2.959	783.468	315.734	5.993	779	312	4	9	9	5
334	584	334	254	26052	78.000	0.000	78.000	78	78	843.171	320.234	7.539	4.138	1.205	4.165	843.171	320.234	7.539	837	315	4	12	11	9
74	160	74	59	5994	81.000	0.000	81.000	81	81	867.405	321.108	5.554	2.330	0.675	2.330	867.405	321.108	5.554	864	319	4	8	6	4
80	150	80	64	6720	84.000	0.000	84.000	84	84	920.500	322.425	5.250	2.315	0.577	2.391	920.500	322.425	5.250	918	320	4	7	6	4
475	722	475	310	38950	82.000	0.000	82.000	82	82	790.404	323.703	7.267	4.757	1.476	4.608	790.404	323.703	7.267	783	318	4	16	12	9
62	114	62	49	5270	85.000	0.000	85.000	85	85	859.274	323.177	5.581	2.069	0.341	2.038	859.274	323.177	5.581	857	321	4	5	5	5
76	158	76	60	6612	87.000	0.000	87.000	87	87	887.658	327.316	5.500	2.308	0.563	2.344	887.658	327.316	5.500	885	325	4	7	6	4
128	240	128	103	11897	92.945	0.619	93.000	86	93	762.602	328.672	5.883	2.902	0.915	2.958	762.602	328.673	5.884	760	324	4	7	10	5
273	476	273	198	24024	88.000	0.000	88.000	88	88	842.026	327.696	7.187	4.032	1.283	3.778	842.026	327.696	7.187	835	325	4	14	7	9
130	308	130	107	133777	1029.054	1231.442	91.000	91	2641	810.523	328.131	7.138	3.321	1.031	3.413	809.767	326.630	9.509	806	323	4	9	10	9
76	144	76	58	6992	92.000	0.000	92.000	92	92	918.855	329.513	5.263	2.305	0.571	2.241	918.855	329.513	5.263	916	327	4	7	6	4
205	380	205	141	18245	89.000	0.000	89.000	89	89	930.098	330.912	8.966	3.647	1.182	3.442	930.098	330.912	8.966	926	327	4	11	9	9
321	784	321	268	65969	205.511	727.892	97.000	97	5073	800.748	330.692	8.221	4.403	1.628	4.289	799.297	329.572	9.915	794	322	4	13	16	9
96	220	96	80	9408	98.000	0.000	98.000	98	98	911.177	331.969	6.906	2.947	1.072	3.028	911.177	331.969	6.906	908	329	4	7	7	8
120	286	120	106	37315	310.958	706.085	99.000	94	2643	940.033	331.558	6.492	2.982	1.010	2.912	938.579	331.110	9.157	936	328	4	9	7	9
262	496	262	190	210271	802.561	62.132	808.000	95	808	775.198	332.454	8.256	3.893	1.114	3.898	775.199	332.464	8.285	771	327	4	10	12	9
113	228	113	90	91643	811.000	0.000	811.000	811	811	873.266	331.283	6.619	2.868	0.922	2.762	873.266	331.283	6.619	870	326	4	7	9	6
224	416	224	171	23072	103.000	0.000	103.000	103	103	790.330	335.085	6.013	3.829	1.211	3.866	790.330	335.085	6.013	784	331	4	13	10	7
341	574	341	242	36146	106.000	0.000	106.000	106	106	869.170	340.326	7.126	4.498	1.527	4.406	869.170	340.326	7.126	861	336	4	15	9	9
280	524	280	218	29400	105.000	0.000	105.000	105	105	849.807	336.371	6.018	4.362	1.689	4.142	849.806	336.371	6.018	844	331	4	14	11	9
384	628	384	254	41472	108.000	0.000	108.000	108	108	821.229	339.685	7.760	4.236	1.063	4.296	821.229	339.685	7.760	817	335	4	10	11	10
80	160	80	60	8720	109.000	0.000	109.000	109	109	837.400	339.650	5.438	2.358	0.593	2.318	837.400	339.650	5.438	834	337	4	8	6	4
71	142	71	56	7597	107.000	0.000	107.000	107	107	886.732	339.324	5.437	2.256	0.555	2.238	886.732	339.324	5.437	884	336	4	6	7	4
289	402	289	180	32079	111.000	0.000	111.000	111	111	926.363	342.253	6.031	3.913	0.946	3.926	926.365	342.253	6.031	922	337	4	11	11	7
121	206	121	92	98252	812.000	0.000	812.000	812	812	938.116	338.645	6.950	2.968	0.897	2.863	938.116	338.645	6.950	934	336	4	8	7	7
5	20	5	5	550	110.000	0.000	110.000	110	110	934.400	341.800	4.000	0.848	0.319	0.894	934.400	341.800	4.000	934	341	4	2	3	1
