 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
220	3.128	21.721	19	19	261285	13751.842	1315.244	13303.000	12395	17302	468.053	697.895	9.105	0.992	0.411	0.935	467.957	697.902	9.103	465	696	9	8	5	2
221	35.557	83.226	216	163	5251095	24310.625	9057.114	23328.000	12228	56606	714.389	701.241	10.009	1.755	0.449	1.776	714.288	701.106	9.977	710	696	9	10	12	4
222	4.280	20.583	26	26	401288	15434.154	2706.963	14748.500	12505	21843	605.885	699.423	9.577	0.790	0.210	0.765	605.875	699.366	9.593	604	697	9	4	6	2
223	24.857	68.746	151	121	2755542	18248.623	4952.146	16679.000	12195	33092	649.762	710.265	9.927	1.537	0.379	1.529	649.815	710.384	9.946	646	705	9	10	10	3
224	22.881	63.506	139	109	2580789	18566.828	5085.534	16834.000	12197	32356	422.122	712.691	10.036	1.521	0.373	1.455	422.123	712.726	10.034	418	706	9	10	11	3
225	16.132	58.610	98	96	1627408	16606.203	2912.629	16545.000	12407	28843	735.143	732.755	9.571	1.715	0.746	1.789	735.198	732.789	9.585	729	728	9	14	10	3
226	16.297	45.510	99	81	2241250	22638.889	7942.340	20401.000	12217	47889	750.162	736.606	9.869	1.316	0.234	1.319	749.999	736.681	9.865	747	733	9	7	8	3
227	21.894	58.369	133	104	2868781	21569.781	6541.737	20015.000	12190	40668	358.722	746.263	10.113	1.466	0.299	1.447	358.746	746.330	10.140	354	743	9	10	8	3
228	16.297	51.991	99	86	1812725	18310.354	4286.084	17933.000	12266	30180	758.354	747.778	9.758	1.304	0.314	1.318	758.431	747.876	9.742	755	744	9	8	8	3
229	1.975	13.308	12	12	179776	14981.333	2551.739	14200.000	12695	21790	554.083	756.500	9.083	0.687	0.304	0.681	554.121	756.464	9.076	552	755	9	5	5	2
230	6.255	28.892	38	38	560951	14761.868	1753.184	14769.000	12290	18870	724.737	753.526	10.342	0.955	0.331	0.892	724.705	753.515	10.327	722	751	9	7	6	3
231	3.292	20.479	20	20	282414	14120.700	1373.125	14046.500	12203	17374	491.750	772.150	9.100	0.833	0.347	0.824	491.757	772.145	9.089	489	769	9	6	6	2
232	2.963	16.721	18	17	276630	15368.333	2488.141	15237.500	12396	21367	749.722	786.778	10.111	0.718	0.269	0.754	749.715	786.763	10.089	748	785	9	4	5	3
233	4.280	21.824	26	23	442600	17023.076	3516.396	16645.000	12588	23753	631.038	790.538	9.885	0.887	0.250	0.961	631.055	790.574	9.877	630	788	9	3	6	3
234	6.914	27.513	42	36	746058	17763.285	5414.621	15435.500	12252	29352	768.929	792.119	9.810	0.993	0.201	0.958	768.987	792.164	9.794	767	790	9	5	5	3
235	14.157	44.820	86	68	1520587	17681.244	4401.168	16703.000	12295	31368	757.256	814.221	10.000	1.299	0.260	1.315	757.257	814.090	9.983	755	811	9	6	8	3
236	1.811	12.619	11	11	154759	14069.000	1716.378	13021.000	12226	17610	647.455	816.636	9.818	0.600	0.226	0.646	647.436	816.620	9.832	646	815	9	4	4	2
237	14.486	45.717	88	72	1766769	20076.920	6476.336	18301.500	12278	38797	560.693	827.739	10.034	1.278	0.216	1.254	560.722	827.827	10.030	558	824	9	6	8	3
238	24.363	63.195	148	114	2596743	17545.561	4369.694	16303.000	12244	28558	522.716	829.872	9.986	1.510	0.299	1.527	522.724	829.874	9.966	518	826	9	10	10	3
