 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	12.511	41.511	76	63	1985426	26124.025	10999.264	24232.500	13218	54288	178.750	239.132	4.711	1.196	0.244	1.229	178.794	239.129	4.700	176	237	3	7	6	4
2	47.080	116.123	286	176	8489700	29684.266	14153.001	25862.500	13122	65535	788.203	566.685	7.462	2.489	0.874	2.614	788.225	566.563	7.154	784	563	3	9	10	9
3	5.761	29.859	35	35	885895	25311.285	10745.707	23387.000	13197	51735	58.286	30.943	5.571	1.104	0.423	1.020	58.244	31.064	5.517	58	27	4	2	8	4
4	20.741	60.715	126	86	3931692	31203.904	15766.253	26884.000	13322	65535	77.833	75.770	6.270	1.549	0.291	1.535	77.959	75.684	6.232	74	73	4	9	7	5
5	16.955	50.613	103	77	2827410	27450.582	11256.614	23510.000	13142	53029	107.505	92.252	5.748	1.370	0.228	1.361	107.432	92.273	5.711	105	88	4	6	9	4
6	17.614	49.579	107	80	2961765	27680.047	12382.438	24508.000	13516	56643	119.953	111.636	5.654	1.405	0.230	1.412	119.904	111.595	5.648	117	109	4	7	7	4
7	19.424	71.125	118	102	2234121	18933.229	5060.157	17370.000	13108	30704	103.763	127.297	4.949	1.489	0.433	1.474	103.790	127.323	4.970	99	124	4	11	7	3
8	8.560	32.891	52	51	999710	19225.191	5042.582	18052.000	13156	33941	98.327	149.962	5.365	1.005	0.279	1.027	98.457	149.997	5.319	96	147	4	6	7	3
9	24.034	68.505	146	116	3783102	25911.658	10034.097	24059.500	13118	51030	221.630	222.336	5.384	1.508	0.305	1.553	221.727	222.379	5.378	218	218	4	9	9	4
10	19.589	64.092	119	103	2490105	20925.252	6427.298	18476.000	13157	37955	222.513	244.303	5.168	1.479	0.515	1.393	222.489	244.107	5.167	219	240	4	8	13	3
11	36.709	83.470	223	139	8128706	36451.598	17988.182	33280.000	13202	65535	109.399	252.175	5.996	1.859	0.315	1.923	109.418	252.247	5.953	106	248	4	8	10	5
12	26.503	70.195	161	118	4194376	26052.025	10389.571	23247.000	13127	50134	310.553	262.068	5.745	1.587	0.305	1.586	310.495	262.053	5.686	306	258	4	10	8	4
13	23.540	61.093	143	101	3798444	26562.545	10809.085	24041.000	13143	53822	298.811	278.042	5.441	1.550	0.243	1.569	298.837	278.008	5.445	296	274	4	7	9	4
14	21.729	58.921	132	94	3656556	27701.182	12239.939	24507.000	13121	64727	322.606	367.523	5.470	1.525	0.229	1.559	322.578	367.538	5.426	318	365	4	10	6	4
15	28.807	75.332	175	138	4493126	25675.006	8506.485	26085.000	13245	43018	336.834	370.011	5.743	1.646	0.396	1.657	336.902	370.119	5.690	333	365	4	9	11	4
16	34.734	78.782	211	129	8064973	38222.621	19579.316	32138.000	13355	65535	337.232	417.351	6.081	1.876	0.328	1.920	337.229	417.356	6.050	334	413	4	8	10	5
17	41.154	108.192	250	162	7938104	31752.416	16295.453	26950.500	13133	65535	484.244	480.808	7.236	2.439	0.908	2.541	484.492	480.708	6.939	479	477	4	11	9	8
18	32.264	75.402	196	128	6502294	33174.969	16413.945	27795.500	13145	65535	626.316	543.327	5.689	1.754	0.308	1.757	626.218	543.418	5.692	621	540	4	11	7	5
19	14.157	45.198	86	82	1733501	20156.988	4811.939	19860.000	13536	37112	658.628	569.326	5.384	1.189	0.320	1.210	658.556	569.318	5.374	655	566	4	9	7	3
20	10.371	36.270	63	49	1689375	26815.477	10696.754	24936.000	13132	51948	559.524	585.365	5.143	1.158	0.176	1.140	559.530	585.352	5.188	557	583	4	6	6	4
21	29.631	72.022	180	124	5778468	32102.600	15193.463	29059.500	13245	65535	712.106	585.367	6.194	1.645	0.231	1.662	712.120	585.376	6.161	708	581	4	9	10	5
22	32.100	74.816	195	121	7219619	37023.688	18886.867	31425.000	13130	65535	672.728	612.892	6.179	1.778	0.252	1.780	672.700	612.899	6.213	669	609	4	9	9	5
23	23.869	65.611	145	101	4984767	34377.703	16577.283	30996.000	13682	65535	482.469	620.186	6.152	1.585	0.302	1.563	482.549	620.229	6.114	479	616	4	8	9	5
24	21.729	61.542	132	99	3405268	25797.484	10765.811	22543.000	13120	51875	585.280	803.068	5.356	1.506	0.329	1.511	585.224	803.061	5.361	582	799	4	8	9	4
25	20.412	75.332	124	117	2321482	18721.629	4503.320	17637.500	13148	32725	73.210	131.016	6.871	1.758	0.765	1.674	73.074	131.214	6.911	69	123	5	9	15	4
26	27.326	69.057	166	124	4345609	26178.367	10616.124	23790.500	13251	60029	172.699	145.934	6.982	1.581	0.316	1.589	172.781	145.946	6.947	168	142	5	10	8	5
27	15.145	44.372	92	72	1991445	21646.141	6917.436	19911.000	13235	39973	179.000	172.663	6.054	1.283	0.187	1.277	179.026	172.620	6.047	176	170	5	7	7	3
28	11.029	38.476	67	62	1316341	19646.881	5191.892	18322.000	13236	33619	187.269	182.612	5.716	1.106	0.297	1.151	187.270	182.527	5.703	184	180	5	7	7	3
29	73.418	165.802	446	281	12518644	28068.709	13219.504	23770.000	13118	65535	225.704	186.209	9.108	2.859	0.914	2.833	226.038	186.088	9.362	216	181	5	18	12	9
30	13.663	56.438	83	78	1441120	17362.891	3159.315	16852.000	13137	27606	118.867	194.458	6.518	1.529	0.553	1.563	118.818	194.411	6.525	116	190	5	7	11	4
31	15.803	44.268	96	74	2849845	29685.885	13337.319	27056.500	13175	65535	254.865	243.385	6.010	1.293	0.187	1.320	254.988	243.484	5.994	252	240	5	7	8	3
32	22.388	74.883	136	125	2623307	19289.021	4646.553	17945.000	13366	32573	283.596	245.360	6.257	1.842	0.663	1.851	283.619	245.348	6.231	277	240	5	14	11	3
33	16.461	50.509	100	79	2553653	25536.529	9891.878	22538.500	13226	49806	159.980	278.360	6.810	1.358	0.278	1.333	159.909	278.297	6.781	156	275	5	8	9	4
34	3.292	16.618	20	20	329682	16484.100	2438.231	16463.000	13135	20260	300.800	308.700	5.800	0.720	0.235	0.769	300.770	308.648	5.834	299	307	5	4	5	2
35	27.326	72.712	166	128	4641192	27958.988	11451.445	25948.500	13249	64783	379.042	321.771	6.066	1.676	0.468	1.667	378.958	321.880	6.092	374	316	5	10	11	4
36	57.286	127.155	348	196	10209297	29337.061	13321.175	27383.000	13221	65535	293.529	345.026	8.698	2.515	0.758	2.564	293.566	345.086	8.647	288	341	5	12	9	8
37	24.034	62.817	146	112	3711306	25419.904	9133.000	23928.500	13398	49413	289.616	365.110	6.514	1.512	0.280	1.544	289.655	365.106	6.507	286	361	5	8	9	4
38	12.017	40.959	73	58	1465640	20077.260	5479.006	18170.000	13575	32647	275.630	378.082	5.959	1.221	0.217	1.222	275.670	378.078	5.924	272	375	5	7	7	3
39	34.898	83.229	212	140	7255159	34222.449	17189.029	31150.000	13194	65535	402.420	392.127	6.802	1.788	0.268	1.799	402.429	392.203	6.790	399	388	5	8	10	5
40	17.284	56.060	105	86	2757693	26263.742	9979.019	24023.000	13291	53925	275.781	406.667	6.133	1.452	0.405	1.378	275.765	406.668	6.166	272	402	5	8	10	4
41	19.589	53.440	119	85	3801378	31944.354	16744.514	27102.000	13527	65535	393.403	429.000	6.706	1.456	0.207	1.463	393.492	429.052	6.669	390	426	5	8	7	4
42	35.557	86.676	216	145	6836818	31651.936	15624.258	25234.500	13141	65535	504.926	478.704	6.431	1.857	0.396	1.810	504.842	478.651	6.440	500	473	5	11	12	4
43	12.346	36.856	75	61	1824862	24331.494	9150.110	21737.000	13414	53957	445.533	496.667	6.107	1.201	0.173	1.193	445.618	496.670	6.103	443	494	5	6	6	3
44	29.137	70.573	177	135	4928905	27846.922	10891.391	25197.000	13157	65535	575.379	495.249	6.881	1.606	0.327	1.585	575.482	495.292	6.855	571	491	5	11	9	4
45	18.437	52.992	112	79	3363035	30027.098	14686.493	26688.000	13188	65535	388.839	500.750	6.277	1.442	0.227	1.419	388.799	500.788	6.264	385	498	5	8	7	4
46	15.474	52.232	94	87	2000454	21281.426	5666.878	20761.500	13248	35498	443.617	511.330	6.351	1.424	0.503	1.516	443.704	511.248	6.355	439	508	5	10	8	3
47	40.166	90.296	244	152	8797254	36054.320	18169.996	31099.000	13129	65535	634.344	518.668	6.705	1.906	0.299	1.902	634.256	518.734	6.690	629	515	5	11	9	5
48	20.083	59.541	122	112	3018875	24744.877	6637.809	25969.000	13159	37084	624.598	556.139	6.516	1.368	0.379	1.415	624.485	556.000	6.487	620	553	5	10	8	4
49	27.161	83.744	165	141	3531290	21401.758	6556.362	19955.000	13123	42714	756.497	570.800	7.545	2.158	0.735	2.345	756.488	570.875	7.565	751	567	5	12	8	7
50	4.609	21.721	28	24	517536	18483.428	5217.314	17065.000	13191	35140	745.643	572.964	5.893	0.863	0.212	0.879	745.671	573.015	5.886	744	571	5	4	5	3
51	11.688	36.270	71	58	2025351	28526.070	12136.311	25809.000	13329	61185	557.380	577.085	5.972	1.184	0.175	1.179	557.348	577.115	5.965	554	575	5	7	5	3
52	28.149	66.437	171	122	5666655	33138.332	15521.498	29336.000	13195	65535	598.579	587.485	6.772	1.611	0.214	1.625	598.530	587.537	6.765	595	584	5	9	8	4
53	3.786	20.031	23	23	344830	14992.608	1297.408	14968.000	13222	17790	695.609	586.696	5.826	0.776	0.273	0.766	695.627	586.723	5.832	693	585	5	6	4	2
54	18.931	52.303	115	78	3804555	33083.086	17371.010	26894.000	13334	65535	583.130	596.183	6.470	1.466	0.194	1.479	583.166	596.264	6.455	580	593	5	7	7	4
55	16.955	52.302	103	78	2820364	27382.174	12460.411	23747.000	13226	60586	554.204	626.039	6.204	1.395	0.275	1.400	554.058	626.063	6.216	550	623	5	9	7	4
56	13.005	41.200	79	73	1773362	22447.621	7222.068	22278.000	13238	42561	474.557	628.329	6.367	1.156	0.296	1.186	474.568	628.328	6.376	472	625	5	6	8	3
57	6.255	25.927	38	36	728116	19160.947	4600.943	18288.500	13138	29327	459.184	629.316	6.368	0.889	0.231	0.880	459.155	629.382	6.312	457	627	5	5	5	3
58	16.132	49.545	98	69	3789472	38668.082	18745.742	35448.000	13771	65535	479.418	671.878	6.745	1.436	0.308	1.385	479.391	671.887	6.732	476	669	5	7	6	5
59	12.840	43.786	78	69	2039440	26146.666	8623.007	27823.000	13197	42540	788.680	679.167	6.551	1.161	0.304	1.194	788.736	679.252	6.531	786	676	5	6	7	4
60	35.557	83.055	216	148	6528897	30226.375	13500.982	27787.500	13131	65535	513.319	689.009	7.093	1.747	0.267	1.795	513.276	689.073	7.041	509	684	5	10	10	5
61	13.663	43.201	83	63	2311320	27847.229	12255.566	24573.000	13263	61211	799.904	690.542	6.723	1.288	0.253	1.288	799.878	690.568	6.704	797	688	5	7	6	4
62	29.795	77.540	181	119	5392267	29791.531	13485.031	25690.000	13496	65535	613.094	708.155	7.066	1.788	0.389	1.853	613.101	708.159	7.044	609	705	5	11	8	5
