Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1329	1592	1329	760	1329	1.000	0.000	1.000	1	1	397.582	736.754	6.525	7.235	2.236	7.219	397.582	736.754	6.525	386	726	1	20	21	16
963	1312	963	594	555076	576.403	156.032	572.000	4	5380	471.898	761.579	5.917	6.255	1.906	6.456	471.945	761.596	5.966	461	753	1	20	16	12
597	760	597	362	348682	584.057	33.542	586.000	5	586	473.888	773.965	4.858	5.346	1.692	5.237	473.898	773.967	4.870	467	769	1	16	12	9
784	1042	784	487	457278	583.263	20.643	584.000	6	584	287.274	769.994	6.439	5.774	1.671	5.837	287.277	769.991	6.446	280	764	1	15	14	14
581	684	581	330	394988	679.842	27.921	681.000	8	681	222.263	809.601	5.036	5.124	1.422	4.895	222.262	809.596	5.043	215	805	1	16	12	9
788	1002	788	493	7879	9.999	0.036	10.000	9	10	246.859	821.237	4.959	6.161	1.957	6.294	246.859	821.237	4.960	242	812	1	11	17	11
45	100	45	45	675	15.000	0.000	15.000	15	15	241.533	848.244	3.800	1.965	0.782	1.985	241.533	848.244	3.800	241	846	1	3	5	8
344	500	344	238	686968	1997.000	0.000	1997.000	1997	1997	235.672	849.381	5.369	4.115	1.109	4.053	235.672	849.380	5.369	229	845	1	14	8	11
1900	2506	1900	1133	4347604	2288.213	104.252	2293.000	19	2293	185.321	852.222	6.427	8.010	2.714	7.879	185.324	852.213	6.435	175	843	1	29	20	18
251	414	251	182	5522	22.000	0.000	22.000	22	22	113.263	864.080	3.323	3.894	1.263	3.916	113.263	864.080	3.323	107	858	1	13	12	5
404	604	404	259	326063	807.087	55.375	811.000	23	811	234.569	870.238	5.525	4.421	1.095	4.352	234.577	870.222	5.544	230	864	1	10	13	10
1133	1566	1133	725	1645575	1452.405	603.348	2026.000	25	4355	199.905	893.276	5.455	6.512	2.255	6.645	199.519	894.948	5.598	191	884	1	19	21	11
180	294	180	135	4680	26.000	0.000	26.000	26	26	230.556	895.683	3.778	3.347	1.017	3.198	230.556	895.683	3.778	226	891	1	9	10	7
709	840	709	423	19143	27.000	0.000	27.000	27	27	971.392	289.849	6.937	5.563	1.557	5.265	971.392	289.849	6.937	965	282	2	17	14	15
21	68	21	21	588	28.000	0.000	28.000	28	28	976.619	295.048	3.905	1.934	0.871	1.855	976.619	295.048	3.905	974	295	2	7	2	4
873	912	873	450	2030598	2326.000	0.000	2326.000	2326	2326	973.514	300.296	7.188	5.637	1.036	5.673	973.515	300.296	7.188	968	295	2	14	14	12
59	114	59	53	1888	32.000	0.000	32.000	32	32	984.237	308.746	4.390	2.086	0.572	2.005	984.237	308.746	4.390	983	306	2	3	6	6
1451	1882	1451	891	1587733	1094.234	1267.900	33.000	33	2608	957.766	327.715	5.713	7.851	2.997	7.797	959.659	321.652	6.861	946	316	2	23	27	11
420	516	420	243	15960	38.000	0.000	38.000	38	38	984.533	349.993	5.979	4.323	0.838	4.281	984.533	349.993	5.979	979	344	2	11	12	9
533	750	533	359	476712	894.394	37.077	896.000	40	896	952.925	354.152	4.720	5.479	2.014	5.520	952.925	354.152	4.725	945	346	2	18	15	7
445	596	445	283	18245	41.000	0.000	41.000	41	41	941.874	359.243	5.135	4.949	1.647	4.964	941.874	359.243	5.135	934	353	2	14	16	9
264	370	264	170	11088	42.000	0.000	42.000	42	42	971.701	359.955	5.803	3.717	0.867	3.691	971.701	359.955	5.803	967	355	2	11	10	8
339	512	339	230	14915	43.997	0.054	44.000	43	44	984.410	363.062	4.947	4.260	1.274	4.307	984.410	363.062	4.947	979	358	2	12	13	7
217	354	217	160	9765	45.000	0.000	45.000	45	45	954.664	369.032	5.281	3.443	1.005	3.354	954.664	369.032	5.281	949	364	2	10	10	8
290	438	290	193	13630	47.000	0.000	47.000	47	47	968.393	374.993	5.238	4.176	1.402	4.046	968.393	374.993	5.238	964	367	2	9	14	7
14	48	14	14	11839	845.643	229.577	907.000	48	907	990.429	380.429	3.571	1.528	0.764	1.618	990.387	380.460	3.685	990	377	2	2	6	3
658	796	658	391	592664	900.705	33.254	902.000	49	903	924.479	379.752	5.302	5.585	1.878	5.536	924.482	379.750	5.307	916	372	2	16	15	8
173	342	173	154	161770	935.087	304.780	908.000	50	3680	951.168	380.931	4.329	3.646	1.409	3.581	951.124	381.025	4.485	948	375	2	8	12	8
564	760	564	364	29893	53.002	0.042	53.000	53	54	985.239	386.684	5.438	5.135	1.593	5.248	985.236	386.684	5.438	977	379	2	15	15	9
209	358	209	166	189959	908.895	59.349	913.000	55	913	951.435	391.440	4.301	3.767	1.272	3.791	951.442	391.424	4.312	947	386	2	9	12	6
533	832	533	375	491626	922.375	37.510	924.000	58	924	941.465	404.841	5.094	5.082	1.771	4.995	941.464	404.839	5.099	936	396	2	14	18	8
573	714	573	357	33807	59.000	0.000	59.000	59	59	915.337	406.623	5.494	5.018	1.435	5.017	915.339	406.623	5.494	909	401	2	14	15	9
526	606	526	300	31560	60.000	0.000	60.000	60	60	973.677	414.709	5.781	4.786	1.169	4.830	973.677	414.709	5.781	969	409	2	10	13	10
1059	1266	1059	615	66716	62.999	0.069	63.000	61	64	914.406	421.446	5.590	7.180	2.706	7.007	914.410	421.446	5.590	905	412	2	24	18	8
162	280	162	118	150275	927.623	68.432	933.000	62	933	900.284	421.673	4.623	3.029	0.715	3.054	900.286	421.677	4.639	896	418	2	8	8	7
660	810	660	388	44220	67.000	0.000	67.000	67	67	952.873	424.491	6.050	5.369	1.591	5.257	952.875	424.491	6.050	945	416	2	15	15	10
1084	1260	1084	634	2254016	2079.351	111.651	2086.000	68	2086	986.518	421.180	5.800	6.617	2.246	6.430	986.521	421.171	5.809	979	411	2	16	21	10
492	802	492	323	33948	69.000	0.000	69.000	69	69	874.445	426.709	5.976	4.845	1.491	4.843	874.443	426.709	5.976	868	419	2	15	14	11
543	756	543	340	38010	70.000	0.000	70.000	70	70	925.331	432.285	5.564	5.144	1.624	5.171	925.332	432.285	5.564	917	426	2	16	13	10
327	498	327	225	23217	71.000	0.000	71.000	71	71	892.789	435.342	5.844	3.936	1.050	3.884	892.789	435.342	5.844	887	431	2	11	10	10
601	716	601	331	43272	72.000	0.000	72.000	72	72	903.103	434.092	5.963	5.050	1.164	5.082	903.103	434.092	5.963	898	427	2	12	14	9
170	252	170	116	12410	73.000	0.000	73.000	73	73	963.041	434.924	5.271	3.081	0.587	3.100	963.041	434.924	5.271	960	432	2	7	8	8
543	876	543	383	769097	1416.385	1125.913	2359.000	74	2359	916.015	445.812	5.387	5.453	1.971	5.433	918.755	446.932	6.078	908	438	2	16	18	9
989	1240	989	552	74175	75.000	0.000	75.000	75	75	856.217	449.395	7.080	6.413	1.951	6.220	856.220	449.395	7.080	847	441	2	21	17	15
451	684	451	302	35626	78.993	0.141	79.000	76	79	894.253	449.887	5.412	5.538	2.274	5.264	894.255	449.887	5.413	887	445	2	20	10	9
484	624	484	295	37751	77.998	0.045	78.000	77	78	971.359	450.618	5.209	4.759	1.374	4.746	971.360	450.618	5.209	966	443	2	12	14	9
424	518	424	253	34344	81.000	0.000	81.000	81	81	981.196	453.493	5.224	4.364	0.934	4.303	981.194	453.493	5.224	975	448	2	12	11	9
426	588	426	276	34932	82.000	0.000	82.000	82	82	991.662	456.925	5.115	4.574	1.358	4.540	991.662	456.925	5.115	987	451	2	11	14	7
334	530	334	224	319430	956.377	47.933	959.000	83	959	944.976	453.964	5.778	4.616	1.723	4.238	944.983	453.958	5.789	939	446	2	14	13	9
402	638	402	280	386247	960.813	43.840	963.000	84	963	907.147	460.789	5.306	4.809	1.768	4.804	907.152	460.791	5.313	902	455	2	14	15	8
671	924	671	451	57706	86.000	0.000	86.000	86	86	978.712	465.486	4.990	5.883	1.937	6.026	978.715	465.486	4.990	970	459	2	20	15	8
514	856	514	373	44718	87.000	0.000	87.000	87	87	937.173	467.893	6.047	5.854	2.503	5.724	937.175	467.893	6.047	930	459	2	14	21	9
621	772	621	348	600868	967.581	35.353	969.000	88	969	948.541	465.035	6.163	5.362	1.668	5.250	948.543	465.035	6.169	942	458	2	13	17	10
716	990	716	438	63724	89.000	0.000	89.000	89	89	826.862	463.376	6.546	5.719	1.752	5.672	826.859	463.375	6.546	822	455	2	13	17	12
609	946	609	426	54810	90.000	0.000	90.000	90	90	884.680	465.036	6.026	5.414	1.859	5.408	884.678	465.036	6.026	877	457	2	17	16	9
217	310	217	161	20615	95.000	0.000	95.000	95	95	879.276	473.548	5.488	3.617	1.165	3.469	879.277	473.548	5.488	873	472	2	13	4	9
146	284	146	124	142049	972.938	73.243	979.000	94	979	847.007	472.897	4.856	3.138	1.005	3.200	847.013	472.891	4.874	843	471	2	10	6	9
241	366	241	171	23377	97.000	0.000	97.000	97	97	974.867	480.747	4.668	3.809	1.149	3.717	974.866	480.747	4.668	971	477	2	9	10	7
797	1206	797	548	783362	982.888	31.384	984.000	98	984	859.112	478.821	5.597	6.987	2.744	6.840	859.116	478.819	5.601	850	467	2	22	23	10
92	158	92	67	9108	99.000	0.000	99.000	99	99	923.174	480.837	4.554	2.450	0.461	2.404	923.174	480.837	4.554	921	478	2	6	7	6
259	316	259	159	25900	100.000	0.000	100.000	100	100	869.212	481.224	5.243	3.621	0.684	3.679	869.212	481.224	5.243	865	478	2	9	8	7
729	960	729	426	720663	988.564	46.479	991.000	101	991	812.281	484.918	7.549	5.466	1.564	5.485	812.283	484.920	7.562	806	476	2	13	18	14
1443	1618	1443	809	152958	106.000	0.000	106.000	106	106	882.751	485.279	6.265	7.257	2.100	7.365	882.748	485.279	6.265	873	476	2	21	19	12
917	1130	917	528	914305	997.061	137.605	994.000	103	3731	909.205	485.850	5.559	6.329	2.185	6.282	909.232	485.833	5.593	902	477	2	18	21	10
221	380	221	170	24531	111.000	0.000	111.000	111	111	986.014	488.353	4.109	3.951	1.381	3.909	986.015	488.353	4.109	979	484	2	13	10	5
452	574	452	264	450207	996.033	41.815	998.000	109	998	807.097	492.947	6.166	4.575	1.066	4.488	807.099	492.954	6.174	802	486	2	11	13	10
596	702	596	336	67944	114.000	0.000	114.000	114	114	933.743	495.490	5.371	5.212	1.460	5.153	933.741	495.490	5.371	928	488	2	13	16	8
113	186	113	81	12995	115.000	0.000	115.000	115	115	971.150	498.991	4.177	2.638	0.523	2.651	971.150	498.991	4.177	968	496	2	7	7	5
55	114	55	48	6435	117.000	0.000	117.000	117	117	789.109	502.509	3.255	2.049	0.562	2.009	789.109	502.509	3.255	787	500	2	6	6	3
152	260	152	112	17632	116.000	0.000	116.000	116	116	980.434	499.967	4.441	3.290	1.133	3.082	980.434	499.967	4.441	977	495	2	8	11	6
1140	1392	1140	658	141146	123.812	128.569	120.000	120	4461	802.568	508.256	5.750	6.859	2.328	6.975	802.520	508.156	5.881	793	500	2	25	18	10
184	310	184	135	22632	123.000	0.000	123.000	123	123	993.967	505.250	5.505	3.207	0.799	3.273	993.968	505.250	5.505	991	502	2	7	7	9
146	282	146	107	17666	121.000	0.000	121.000	121	121	816.397	506.082	4.979	3.088	0.878	2.935	816.397	506.082	4.979	813	502	2	8	9	8
494	580	494	281	505362	1023.000	0.000	1023.000	1023	1023	846.520	504.069	6.563	4.712	1.047	4.649	846.523	504.069	6.563	842	499	2	12	11	12
350	582	350	248	360783	1030.809	68.578	1036.000	127	1036	968.077	509.586	5.651	4.536	1.586	4.289	968.063	509.589	5.670	960	504	2	17	11	9
197	350	197	147	26004	132.000	0.000	132.000	132	132	844.944	518.645	4.827	3.777	1.553	3.555	844.944	518.645	4.827	841	515	2	12	10	8
1217	1564	1217	754	161861	133.000	0.000	133.000	133	133	806.303	523.142	5.666	7.276	2.427	7.208	806.302	523.143	5.666	794	515	2	23	20	10
365	486	365	222	49274	134.997	0.052	135.000	134	135	822.581	521.088	5.258	4.192	0.957	4.173	822.582	521.088	5.258	818	517	2	11	9	8
121	218	121	92	16577	137.000	0.000	137.000	137	137	777.355	522.223	4.339	2.880	0.895	2.827	777.355	522.223	4.339	774	519	2	10	7	6
639	836	639	394	88821	139.000	0.000	139.000	139	139	876.945	520.144	4.854	6.178	2.452	6.195	876.947	520.144	4.854	869	509	2	18	22	7
367	478	367	209	51380	140.000	0.000	140.000	140	140	740.796	524.074	6.128	4.219	0.944	4.171	740.796	524.074	6.128	735	519	2	13	10	9
586	816	586	370	83798	143.000	0.000	143.000	143	143	821.087	531.311	5.688	5.352	1.585	5.073	821.089	531.311	5.688	813	527	2	17	10	10
1201	1504	1201	717	176547	147.000	0.000	147.000	147	147	887.517	532.932	5.644	7.668	2.866	7.428	887.519	532.931	5.644	881	520	2	16	29	10
394	590	394	272	419737	1065.322	65.571	1070.000	145	1070	948.972	535.272	5.576	4.477	1.325	4.417	948.964	535.273	5.592	942	530	2	12	12	10
499	730	499	341	1058379	2121.000	0.000	2121.000	2121	2121	957.651	535.425	6.569	5.250	2.071	4.849	957.651	535.424	6.569	954	527	2	9	21	11
135	228	135	106	19710	146.000	0.000	146.000	146	146	835.963	536.156	4.681	3.004	0.899	2.973	835.963	536.156	4.681	832	534	2	8	5	8
