Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
372	544	372	250	623277	1675.476	720.321	2055.000	312	2055	452.570	589.099	5.944	4.443	1.364	4.431	453.563	589.120	6.543	446	584	2	13	10	10
136	202	136	89	42160	310.000	0.000	310.000	310	310	327.522	589.588	4.735	2.797	0.376	2.802	327.522	589.588	4.735	325	587	2	6	6	7
708	872	708	414	1221315	1725.021	91.717	1731.000	319	1731	406.648	595.435	6.082	5.972	2.180	5.499	406.643	595.435	6.095	399	588	2	18	16	12
872	998	872	460	274680	315.000	0.000	315.000	315	315	292.241	593.460	7.008	5.964	1.693	5.793	292.241	593.459	7.008	284	587	2	17	16	13
467	570	467	281	146638	314.000	0.000	314.000	314	314	281.572	590.919	6.726	4.386	1.027	4.369	281.571	590.919	6.726	277	586	2	10	10	11
867	1272	867	578	1102330	1271.430	487.376	1245.000	313	9503	310.445	594.232	9.985	5.799	1.874	5.806	310.443	594.260	10.261	305	588	2	15	16	21
139	226	139	93	44480	320.000	0.000	320.000	320	320	371.799	595.734	4.388	2.834	0.483	2.868	371.799	595.734	4.388	369	592	2	7	8	7
271	430	271	194	381341	1407.162	1014.376	2351.000	321	2351	345.716	598.989	4.970	3.975	1.362	3.986	344.780	600.982	5.153	341	594	2	10	12	7
162	260	162	110	52650	325.000	0.000	325.000	325	325	364.358	598.846	3.944	3.044	0.678	3.058	364.358	598.846	3.944	361	595	2	8	9	5
142	224	142	94	48366	340.606	197.879	324.000	324	2682	384.923	597.542	4.303	2.859	0.438	2.882	384.926	597.418	4.434	382	594	2	7	8	6
244	430	244	191	78812	323.000	0.000	323.000	323	323	433.082	599.102	4.783	4.009	1.454	4.051	433.082	599.103	4.783	429	594	2	10	13	6
182	270	182	115	59514	327.000	0.000	327.000	327	327	299.192	599.478	4.967	3.202	0.611	3.228	299.192	599.478	4.967	295	597	2	9	6	8
170	248	170	108	55930	329.000	0.000	329.000	329	329	392.600	600.912	4.288	3.097	0.575	3.069	392.600	600.912	4.288	389	598	2	9	7	6
