"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"985",265,414,265,173,299185,1129,0,1129,1129,1129,947.419,538.189,6.864,3.743,0.934,3.736,947.419,538.189,6.864,942,531,4,11,12,7,FALSE,FALSE
"986",179,346,179,148,264534,1477.844,620.349,1130,1130,2578,742.575,541.011,7.324,3.344,0.994,3.427,743.283,541.222,7.757,738,538,4,9,7,9,FALSE,FALSE
"987",95,168,95,78,107825,1135,0,1135,1135,1135,765.253,541.01,4.968,2.571,0.781,2.51,765.253,541.01,4.968,762,538,4,9,7,4,TRUE,FALSE
"988",103,178,103,82,117008,1136,0,1136,1136,1136,1001.204,541.99,5.136,2.601,0.741,2.489,1001.204,541.99,5.136,998,540,4,8,6,4,TRUE,FALSE
"989",152,250,152,114,172976,1138,0,1138,1138,1138,940.98,545.342,5.342,3.179,1.011,3.136,940.981,545.342,5.342,937,540,4,9,10,4,TRUE,FALSE
"990",259,542,259,218,452224,1746.039,640.69,1619,1140,2586,768.56,550.506,7.502,4.521,1.618,4.58,768.776,551.051,8.08,763,545,4,12,11,11,FALSE,FALSE
"991",86,172,86,63,98126,1141,0,1141,1141,1141,797.047,547.64,7.256,2.427,0.44,2.447,797.046,547.64,7.256,795,545,4,5,6,7,TRUE,TRUE
"992",297,486,297,208,340659,1147,0,1147,1147,1147,813.151,553.071,7.259,4.073,1.239,4.161,813.152,553.071,7.259,807,546,4,13,14,8,TRUE,TRUE
"993",141,274,141,115,161163,1143,0,1143,1143,1143,847.624,551.574,6.418,3.133,1.049,3.042,847.624,551.574,6.418,843,549,4,10,8,8,TRUE,FALSE
"994",91,180,91,78,104104,1144,0,1144,1144,1144,859.44,551.385,5.011,2.568,0.85,2.608,859.44,551.385,5.011,857,548,4,7,8,4,FALSE,FALSE
"995",244,448,244,193,283456,1161.705,123.088,1148,1148,2264,996.279,550.279,5.914,4.265,1.726,4.101,996.276,550.252,5.942,991,543,4,10,17,6,FALSE,FALSE
"996",323,470,323,220,372096,1152,0,1152,1152,1152,895.375,556.715,5.774,4.566,1.771,4.239,895.375,556.715,5.774,888,550,4,15,12,6,TRUE,FALSE
"997",105,178,105,77,120225,1145,0,1145,1145,1145,948.391,551.019,5.79,2.645,0.684,2.561,948.39,551.019,5.79,946,546,4,6,9,5,FALSE,FALSE
"998",190,326,190,138,266124,1400.653,18.572,1402,1146,1402,779.632,554.232,6.737,3.349,0.886,3.407,779.631,554.234,6.739,776,550,4,9,8,8,FALSE,FALSE
"999",143,252,143,112,164593,1151,0,1151,1151,1151,911.748,557.371,6.021,3.055,0.902,3.114,911.748,557.37,6.021,908,553,4,9,9,6,FALSE,FALSE
"1000",97,182,97,82,135800,1400,0,1400,1400,1400,829.66,551.722,6.835,2.705,0.904,2.634,829.66,551.722,6.835,828,547,4,5,9,6,FALSE,FALSE
"1001",124,222,124,94,142600,1150,0,1150,1150,1150,827.516,559.855,6.702,2.974,0.91,2.93,827.516,559.855,6.702,824,557,4,9,7,7,FALSE,FALSE
"1002",78,214,78,72,90801,1164.115,89.337,1154,1154,1943,862.91,560.013,5.295,2.938,1.327,2.697,862.902,560.039,5.31,858,557,4,11,7,5,TRUE,TRUE
"1003",91,164,91,70,105105,1155,0,1155,1155,1155,918.165,560.22,5.516,2.508,0.659,2.507,918.165,560.22,5.516,914,558,4,8,6,5,TRUE,FALSE
"1004",151,286,151,122,191383,1267.437,390.775,1153,1153,2593,792.099,560.298,6.563,3.61,1.661,3.288,792.384,560.497,6.866,783,558,4,14,6,8,FALSE,FALSE
"1005",321,500,321,219,371718,1158,0,1158,1158,1158,814.558,566.701,8.411,4.109,1.119,3.969,814.558,566.701,8.411,809,562,4,12,10,11,FALSE,FALSE
"1006",10,40,10,10,11570,1157,0,1157,1157,1157,1009.7,564,4.7,1.404,0.706,1.172,1009.7,564,4.7,1009,562,4,2,5,3,TRUE,FALSE
"1007",88,164,88,72,101992,1159,0,1159,1159,1159,873.92,565.761,5.852,2.519,0.749,2.46,873.921,565.761,5.852,871,562,4,6,8,5,TRUE,FALSE
"1008",89,158,89,66,103240,1160,0,1160,1160,1160,1003.562,566.011,5.382,2.535,0.726,2.423,1003.562,566.011,5.382,1000,564,4,9,5,4,TRUE,TRUE
"1009",65,150,65,57,75530,1162,0,1162,1162,1162,900.569,567.154,4.969,2.416,0.919,2.336,900.569,567.154,4.969,898,564,4,8,7,3,FALSE,FALSE
"1010",348,640,348,285,642736,1846.943,719.273,1161,1161,2599,830.126,567.388,7.612,5.07,2.15,4.81,829.309,568.584,7.899,822,560,4,16,16,10,FALSE,FALSE
"1011",99,164,99,70,115137,1163,0,1163,1163,1163,890.556,568.505,5.455,2.531,0.505,2.594,890.556,568.505,5.455,888,565,4,7,7,4,TRUE,FALSE
"1012",6,26,6,6,9304,1550.667,189.427,1628,1164,1628,904.333,569.333,5.167,0.92,0.289,0.941,904.35,569.35,5.225,904,569,4,2,2,3,TRUE,TRUE
