"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",62,144,62,56,62,1,0,1,1,1,149,424.532,4.774,2.291,0.829,2.131,149,424.532,4.774,145,422,3,8,6,5,FALSE,FALSE
"2",31,76,31,30,62,2,0,2,2,2,155.774,426.613,4.484,1.66,0.561,1.665,155.774,426.613,4.484,154,425,3,4,5,4,FALSE,FALSE
"3",38,96,38,38,190,5,0,5,5,5,199.816,438.526,4.447,1.831,0.681,1.873,199.816,438.526,4.447,198,437,3,6,5,4,TRUE,TRUE
"4",75,132,75,59,600,8,0,8,8,8,218.32,443.24,5.36,2.263,0.439,2.247,218.32,443.24,5.36,216,441,3,5,6,6,FALSE,FALSE
"5",1434,1880,1434,886,22944,16,0,16,16,16,206.562,449.469,6.448,8.201,3.119,7.911,206.562,449.469,6.448,194,436,3,27,32,9,FALSE,FALSE
"6",695,822,695,392,8340,12,0,12,12,12,185.047,445.898,6.193,5.76,1.784,5.73,185.047,445.898,6.193,177,439,3,18,13,8,TRUE,FALSE
"7",147,228,147,117,1617,11,0,11,11,11,141.102,448.252,6.068,3.032,0.881,2.969,141.102,448.252,6.068,137,446,3,7,9,7,FALSE,FALSE
"8",1097,1334,1097,629,28522,26,0,26,26,26,256.933,460.853,6.226,6.89,2.376,6.548,256.933,460.853,6.226,248,450,3,21,20,10,TRUE,FALSE
"9",139,230,139,102,2641,19,0,19,19,19,232.007,454.396,4.82,2.894,0.675,2.967,232.007,454.396,4.82,229,451,3,7,8,5,TRUE,TRUE
"10",188,282,188,144,3760,20,0,20,20,20,222.207,457.394,6.516,3.244,0.82,3.135,222.207,457.394,6.516,220,453,3,6,8,10,FALSE,FALSE
"11",703,788,703,386,1254152,1784,0,1784,1784,1784,227.437,463.881,8.468,5.344,1.119,5.131,227.438,463.881,8.468,220,456,3,14,13,13,FALSE,FALSE
"12",431,500,431,249,9051,21,0,21,21,21,245.35,461.065,5.596,4.48,1.033,4.489,245.35,461.065,5.596,241,455,3,10,14,7,FALSE,FALSE
"13",30,102,30,30,30636,1021.2,886.044,1783,25,1783,179.933,462.1,4.867,1.858,0.473,1.998,180.113,461.601,5.513,178,460,3,4,5,5,FALSE,FALSE
"14",1118,1190,1118,610,34658,31,0,31,31,31,301.245,468.287,6.4,7.22,2.558,6.787,301.245,468.287,6.4,291,460,3,25,22,9,FALSE,FALSE
"15",608,756,608,381,165132,271.599,9.895,272,28,272,281.054,462.76,5.868,5.483,1.765,5.452,281.051,462.755,5.873,272,456,3,18,13,7,TRUE,TRUE
"16",1597,1760,1597,921,67074,42,0,42,42,42,273.222,476.982,6.338,7.805,2.513,7.834,273.222,476.982,6.338,264,469,3,21,20,11,FALSE,FALSE
"17",708,990,708,491,23364,33,0,33,33,33,226.72,471.325,6.986,6.432,2.468,6.178,226.72,471.325,6.986,214,464,3,23,14,12,FALSE,FALSE
"18",314,406,314,208,11304,36,0,36,36,36,258.854,473.92,5.541,3.989,1.017,4.028,258.854,473.92,5.541,253,470,3,10,11,6,TRUE,TRUE
"19",847,1028,847,506,32186,38,0,38,38,38,290.254,478.524,5.557,6.801,2.798,6.49,290.254,478.524,5.557,284,468,3,14,25,7,TRUE,TRUE
"20",971,1056,971,507,33985,35,0,35,35,35,242.244,474.307,7.268,6.244,1.69,6.218,242.244,474.307,7.268,233,466,3,19,17,11,FALSE,FALSE
"21",106,182,106,81,4134,39,0,39,39,39,322.443,474.906,5.104,2.643,0.678,2.608,322.443,474.906,5.104,319,472,3,8,6,5,FALSE,FALSE
"22",258,388,258,174,11352,44,0,44,44,44,312.008,480.899,7.364,3.798,1.11,3.796,312.008,480.899,7.364,308,478,3,11,7,11,FALSE,FALSE
"23",132,220,132,102,36857,279.22,20.454,281,46,281,309.742,487.394,5.992,2.923,0.894,2.961,309.741,487.39,6.012,306,486,3,9,5,7,TRUE,FALSE
"24",176,376,176,155,142187,807.881,720.702,289,47,1794,320.222,487.812,5.602,3.508,1.207,3.466,322.099,487.083,6.154,315,484,3,11,10,8,TRUE,TRUE
"25",195,350,195,147,9750,50,0,50,50,50,300.774,491.21,5.359,3.658,1.167,3.799,300.774,491.21,5.359,295,487,3,11,9,7,TRUE,TRUE
"26",348,484,348,223,17748,51,0,51,51,51,248.632,503.198,7.96,4.249,1.214,4.27,248.632,503.198,7.96,244,499,3,11,10,10,TRUE,FALSE
"27",219,370,219,166,11388,52,0,52,52,52,267.301,501.68,5.155,3.733,1.269,3.735,267.301,501.68,5.155,263,496,3,11,12,5,TRUE,TRUE
"28",154,280,154,128,8162,53,0,53,53,53,286.89,500.89,4.883,3.255,1.061,3.306,286.89,500.89,4.883,283,496,3,11,10,4,TRUE,TRUE
"29",87,156,87,77,4785,55,0,55,55,55,335.299,508.621,4.828,2.486,0.759,2.537,335.299,508.621,4.828,332,506,3,7,6,5,TRUE,TRUE
"30",556,886,556,394,635693,1143.333,1419.797,56,56,4373,375.183,513.144,8.185,5.422,2.055,5.28,374.905,511.329,12.032,370,507,3,11,19,13,FALSE,FALSE
"31",245,508,245,196,14453,58.992,0.128,59,57,59,315.416,516.339,8.363,3.815,1.204,3.947,315.417,516.339,8.364,312,512,3,8,9,11,FALSE,FALSE
"32",97,246,97,95,5820,60,0,60,60,60,281.082,520.186,4.402,3.405,1.517,3.356,281.082,520.186,4.402,276,515,3,11,12,3,TRUE,TRUE
"33",307,498,307,210,19341,63,0,63,63,63,258.192,522.137,6.58,4.198,1.372,3.991,258.192,522.137,6.58,253,515,3,11,15,9,FALSE,FALSE
