"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",325,482,325,209,25922,79.76,4.327,80,2,80,925.397,157.991,4.489,4.066,1.026,4.043,925.398,158.003,4.5,919,152,1,12,11,10,FALSE,FALSE
"2",114,208,114,80,342,3,0,3,3,3,949.561,154.763,3.649,2.654,0.486,2.705,949.561,154.763,3.649,946,152,1,8,7,6,TRUE,FALSE
"3",32,92,32,32,205,6.406,13.612,4,4,81,969.656,157.5,2.75,1.932,0.837,1.869,969.785,156.937,2.468,967,156,1,7,3,5,TRUE,TRUE
"4",172,288,172,130,211960,1232.326,313.752,1318,90,1318,965.552,162.262,3.5,3.368,1.103,3.338,965.22,162.419,3.564,961,158,1,12,9,5,TRUE,TRUE
"5",167,244,167,116,835,5,0,5,5,5,891.461,162.09,4.084,3.158,0.768,3.105,891.461,162.09,4.084,889,159,1,6,9,7,FALSE,FALSE
"6",162,358,162,147,208441,1286.673,1418.42,6,6,2848,937.278,164.383,3.481,3.447,1.109,3.515,938.119,161.861,4.161,933,161,1,9,9,8,TRUE,TRUE
"7",213,364,213,155,512450,2405.869,2532.076,7,7,5066,852.413,166.23,5.939,3.817,1.18,4.088,851.893,164.816,8.695,849,162,1,8,9,11,FALSE,FALSE
"8",508,648,508,317,54257,106.805,4.392,107,8,107,916.65,168.516,4.13,5.195,1.797,4.868,916.647,168.519,4.136,909,162,1,17,15,8,TRUE,TRUE
"9",361,662,361,292,3610,10,0,10,10,10,823.31,170.947,3.909,5.234,2.078,5.147,823.31,170.947,3.909,816,164,1,18,15,7,TRUE,TRUE
"10",636,940,636,431,74942,117.833,4.203,118,12,118,881.759,174.67,3.825,6.042,2.318,5.898,881.759,174.671,3.829,875,165,1,19,22,7,TRUE,TRUE
"11",245,384,245,184,3185,13,0,13,13,13,951.147,171.535,3.286,3.841,1.317,3.989,951.147,171.535,3.286,947,166,1,9,12,7,TRUE,TRUE
"12",106,200,106,81,1484,14,0,14,14,14,981.141,173.151,3.17,2.97,1.115,2.858,981.141,173.151,3.17,977,169,1,8,9,5,TRUE,TRUE
"13",188,300,188,133,2820,15,0,15,15,15,1005.793,173.968,3.83,3.539,1.232,3.268,1005.793,173.968,3.83,1002,167,1,7,13,6,TRUE,FALSE
"14",236,362,236,158,27878,118.127,9.462,119,16,119,859.28,175.415,4.411,3.834,1.213,3.683,859.308,175.411,4.436,854,171,1,11,10,8,TRUE,TRUE
"15",72,124,72,61,1224,17,0,17,17,17,680.653,178.917,3.278,2.166,0.427,2.15,680.653,178.917,3.278,679,177,1,4,5,6,TRUE,TRUE
"16",359,586,359,261,6462,18,0,18,18,18,690.064,180.688,3.872,4.954,1.863,4.873,690.064,180.688,3.872,684,172,1,15,15,7,TRUE,TRUE
"17",201,274,201,128,3819,19,0,19,19,19,994.891,181.821,4.04,3.346,0.735,3.351,994.891,181.821,4.04,991,178,1,8,9,7,TRUE,TRUE
"18",408,722,408,333,547004,1340.696,1416.384,20,20,2856,667.108,181.995,3.89,5.707,2.527,5.361,662.019,181.342,4.574,657,178,1,22,10,9,TRUE,FALSE
"19",221,344,221,162,4648,21.032,0.362,21,21,26,842.425,183.348,3.308,3.691,1.119,3.649,842.423,183.352,3.304,838,179,1,11,10,6,TRUE,TRUE
"20",115,194,115,83,6789,59.035,397.154,22,22,4281,754.957,184.043,3.565,2.657,0.509,2.706,753.729,183.389,5.093,752,181,1,7,7,6,TRUE,TRUE
"21",210,382,210,159,5250,25,0,25,25,25,861.348,184.643,5.605,3.781,1.345,3.865,861.348,184.643,5.605,855,181,1,12,7,11,FALSE,FALSE
"22",190,268,190,129,5130,27,0,27,27,27,663.353,190.474,3.542,3.274,0.735,3.387,663.353,190.474,3.542,660,187,1,8,8,6,TRUE,TRUE
"23",81,156,81,69,2268,28,0,28,28,28,872.506,189.481,3.432,2.38,0.698,2.227,872.506,189.481,3.432,869,187,1,7,5,7,FALSE,FALSE
"24",180,318,180,140,5220,29,0,29,29,29,946.894,194.306,3.506,3.514,1.195,3.515,946.894,194.306,3.506,942,190,1,9,11,5,TRUE,TRUE
"25",118,188,118,88,3658,31,0,31,31,31,637.763,195.568,3.381,2.692,0.597,2.738,637.763,195.568,3.381,635,192,1,7,7,5,TRUE,FALSE
"26",188,266,188,118,6204,33,0,33,33,33,994.936,197.383,4.112,3.235,0.607,3.189,994.936,197.383,4.112,991,194,1,8,8,7,TRUE,TRUE
"27",428,668,428,301,1218667,2847.353,1564.822,3716,35,3716,511.699,197.874,5.874,4.727,1.546,4.765,513.207,197.491,6.53,504,192,1,14,11,11,FALSE,FALSE
"28",269,374,269,157,9953,37,0,37,37,37,981.985,200.993,4.71,3.732,0.775,3.634,981.985,200.993,4.71,977,197,1,11,10,9,TRUE,TRUE
"29",225,360,225,147,8100,36,0,36,36,36,733.507,202.498,4.449,3.652,0.999,3.534,733.507,202.498,4.449,729,198,1,9,12,8,TRUE,TRUE
"30",141,212,141,100,5358,38,0,38,38,38,841.915,202.284,3.787,2.952,0.691,2.927,841.915,202.284,3.787,839,200,1,8,6,7,TRUE,TRUE
"31",274,472,274,208,363036,1324.949,156.807,1344,39,1344,829.923,203.434,3.931,4.403,1.691,4.322,829.897,203.451,3.962,822,200,1,16,9,7,TRUE,FALSE
"32",89,150,89,65,3560,40,0,40,40,40,947.236,203.753,3.584,2.384,0.382,2.384,947.236,203.753,3.584,945,202,1,6,5,6,FALSE,FALSE
"33",250,400,250,174,51834,207.336,10.499,208,42,208,797.028,205.216,3.828,3.907,1.23,3.736,797.028,205.21,3.837,791,201,1,14,9,7,TRUE,TRUE
"34",477,712,477,315,100003,209.65,7.646,210,43,210,521.532,205.459,4.457,4.804,1.307,4.746,521.529,205.455,4.463,515,200,1,15,12,10,TRUE,FALSE
"35",247,358,247,161,58894,238.437,17.332,240,46,240,983.737,214.449,4.206,3.665,0.974,3.758,983.735,214.449,4.227,979,210,1,11,10,7,TRUE,TRUE
"36",414,596,414,277,21112,50.995,0.098,51,49,51,1004.309,219.473,4.512,4.702,1.571,4.51,1004.31,219.474,4.512,999,211,1,9,18,8,TRUE,TRUE
"37",307,476,307,217,15350,50,0,50,50,50,859.466,219.902,3.704,4.377,1.536,4.31,859.466,219.902,3.704,854,213,1,10,14,7,TRUE,TRUE
"38",101,184,101,71,5252,52,0,52,52,52,831.525,220.485,3.535,2.556,0.579,2.586,831.525,220.485,3.535,828,218,1,8,6,7,TRUE,TRUE
"39",220,364,220,155,12100,55,0,55,55,55,993.632,228.036,3.668,3.631,1.142,3.587,993.632,228.036,3.668,988,224,1,13,8,7,TRUE,TRUE
"40",223,336,223,156,12488,56,0,56,56,56,967.857,232.677,3.386,3.729,1.237,3.579,967.857,232.677,3.386,961,228,1,13,10,5,TRUE,TRUE
"41",554,616,554,305,31578,57,0,57,57,57,171.269,240.269,6.413,4.877,1.152,4.888,171.269,240.269,6.413,167,234,1,12,13,11,FALSE,FALSE
"42",144,226,144,101,8496,59,0,59,59,59,175.938,247.84,4.139,2.944,0.632,2.973,175.938,247.84,4.139,172,246,1,8,6,8,TRUE,TRUE
"43",467,690,467,314,28020,60,0,60,60,60,291.182,245.233,3.94,5.467,2.025,5.341,291.182,245.233,3.94,286,236,1,13,20,8,TRUE,TRUE
"44",203,330,203,144,12383,61,0,61,61,61,671.966,245.709,3.837,3.528,1.109,3.373,671.966,245.709,3.837,666,242,1,12,8,6,TRUE,TRUE
"45",429,642,429,313,170500,397.436,22.881,399,62,399,889.112,248.765,3.681,5.067,1.818,5.179,889.111,248.76,3.691,882,239,1,14,18,6,TRUE,FALSE
"46",725,922,725,431,286044,394.543,12.293,395,64,395,323.163,250.543,4.717,5.546,1.648,5.543,323.161,250.544,4.722,317,242,1,15,19,11,TRUE,FALSE
"47",396,534,396,237,26136,66,0,66,66,66,905.909,253.775,4.399,4.397,1.067,4.378,905.909,253.775,4.399,900,248,1,12,12,8,TRUE,TRUE
"48",157,234,157,105,10676,68,0,68,68,68,922.803,280.783,3.592,3.12,0.793,2.994,922.803,280.783,3.592,919,277,1,7,9,6,TRUE,TRUE
"49",506,676,506,297,42907,84.796,355.332,69,69,8062,931.907,285.66,4.84,4.952,1.41,4.91,931.923,285.723,5.801,927,276,1,12,17,10,TRUE,TRUE
"50",306,424,306,193,208995,682.99,35.157,685,70,685,769.895,291.706,3.977,4.054,1.062,4.029,769.898,291.711,3.986,765,286,1,10,13,7,TRUE,FALSE
"51",99,164,99,78,7030,71.01,0.101,71,71,72,777.586,291.283,3.465,2.556,0.696,2.428,777.586,291.283,3.464,776,288,1,4,8,5,TRUE,FALSE
"52",425,484,425,224,31025,73,0,73,73,73,557.616,301.887,4.845,4.433,0.908,4.355,557.616,301.887,4.845,553,296,1,10,12,9,TRUE,FALSE
"53",349,502,349,235,261074,748.063,36.185,750,74,750,998.596,307.765,3.788,4.566,1.656,4.427,998.593,307.772,3.795,992,303,1,15,12,6,FALSE,FALSE
"54",246,364,246,164,18451,75.004,0.064,75,75,76,940.764,149.309,5.045,3.781,1.124,3.742,940.764,149.309,5.045,935,146,2,12,8,7,FALSE,FALSE
"55",213,294,213,132,16614,78,0,78,78,78,990.286,152.146,4.972,3.396,0.7,3.308,990.286,152.146,4.972,985,149,2,11,7,7,FALSE,FALSE
"56",467,656,467,299,35959,77,0,77,77,77,900.186,150.069,6.118,5.171,1.855,5.056,900.184,150.069,6.118,890,145,2,17,12,9,FALSE,FALSE
"57",688,902,688,421,903344,1313,0,1313,1313,1313,971.629,151.108,5.472,6.248,2.415,5.894,971.629,151.108,5.472,961,146,2,23,11,10,TRUE,FALSE
"58",578,690,578,327,1644410,2845,0,2845,2845,2845,918.46,151.123,6.215,5.101,1.423,4.944,918.46,151.123,6.215,910,146,2,15,12,11,FALSE,FALSE
"59",300,546,300,216,25500,85,0,85,85,85,846.363,158.647,4.75,4.26,1.323,4.296,846.363,158.647,4.75,840,153,2,12,12,10,FALSE,FALSE
"60",302,498,302,217,848444,2809.417,316.283,2846,79,2846,855.639,157.238,5.285,4.144,1.255,4.135,855.644,157.238,5.321,851,152,2,11,12,8,FALSE,FALSE
"61",141,340,141,125,467873,3318.248,1078.322,3675,82,3675,936.553,157.355,5.333,3.289,1.258,3.11,936.966,157.377,5.592,931,154,2,13,7,8,FALSE,FALSE
"62",250,392,250,175,21750,87,0,87,87,87,985.268,159.868,4.22,3.689,1.059,3.762,985.268,159.868,4.22,980,156,2,12,10,6,TRUE,FALSE
"63",348,476,348,221,28884,83,0,83,83,83,809.273,156.782,5.261,4.206,1.132,4.235,809.274,156.782,5.261,803,152,2,12,11,8,FALSE,FALSE
"64",351,604,351,249,33867,96.487,65.332,93,93,1317,873.915,162.396,5.154,4.457,1.456,4.306,873.916,162.346,5.076,868,156,2,14,13,9,FALSE,FALSE
"65",217,384,217,156,18228,84,0,84,84,84,907.465,158.147,5.995,3.598,1.078,3.677,907.465,158.147,5.995,903,154,2,10,9,11,FALSE,FALSE
"66",152,304,152,124,24590,161.776,500.442,91,91,3677,1002.322,164.072,3.112,3.156,1.001,3.292,1000.723,163.749,4.23,998,160,2,9,9,5,TRUE,TRUE
"67",112,192,112,90,10976,98,0,98,98,98,865.42,165.58,3.143,2.688,0.741,2.745,865.42,165.58,3.143,862,162,2,8,8,4,FALSE,FALSE
"68",644,920,644,418,2368632,3678,0,3678,3678,3678,667.141,164.102,5.776,5.938,1.989,6.012,667.141,164.103,5.776,658,159,2,17,16,9,FALSE,FALSE
"69",442,624,442,281,583535,1320.215,58.553,1323,92,1323,709.801,162.339,6.111,4.767,1.504,4.808,709.804,162.334,6.12,704,157,2,14,11,9,FALSE,FALSE
"70",169,282,169,121,16900,100,0,100,100,100,781.905,166.45,4.012,3.135,0.849,3.183,781.905,166.45,4.012,779,163,2,7,9,7,FALSE,FALSE
"71",6,30,6,6,14339,2389.833,1124.724,2849,94,2849,956.833,164.167,3.167,1.088,0.529,1.028,956.993,164.007,3.391,956,163,2,3,3,3,TRUE,TRUE
"72",40,88,40,37,4080,102,0,102,102,102,990.15,166.15,3.125,1.808,0.526,1.677,990.15,166.15,3.125,987,164,2,6,4,4,TRUE,TRUE
"73",109,226,109,95,10464,96,0,96,96,96,737.917,166.358,3.688,2.872,1.017,2.85,737.917,166.358,3.688,734,163,2,10,7,4,FALSE,FALSE
"74",242,408,242,167,880056,3636.595,397.163,3681,99,3681,677.748,168.149,5.475,3.681,0.977,3.595,677.801,168.163,5.505,673,164,2,11,10,8,TRUE,FALSE
