"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",561,642,561,300,1355,2.415,33.523,1,1,795,390.034,72.542,7.246,4.928,1.177,4.935,388.842,71.052,5.344,383,68,3,15,10,10,FALSE,FALSE
"2",404,540,404,239,4072,10.079,162.39,2,2,3266,380.478,79.666,5.498,4.439,1.106,4.416,382.5,79.132,8.305,373,75,3,14,10,8,TRUE,TRUE
"3",75,146,75,60,225,3,0,3,3,3,329.467,85.653,5.12,2.39,0.713,2.387,329.467,85.653,5.12,327,83,3,5,8,5,TRUE,TRUE
"4",175,364,175,137,274875,1570.714,1635.366,4,4,3268,365.149,85.257,8.109,4.157,1.439,4.232,364.086,84.597,11.23,361,80,3,11,9,11,FALSE,FALSE
"5",283,430,283,193,229272,810.148,47.971,813,6,813,270.498,99.113,6.131,4.06,1.252,4.064,270.507,99.12,6.142,265,95,3,13,11,8,FALSE,FALSE
"6",147,242,147,104,1029,7,0,7,7,7,391.415,100.497,5.68,3.006,0.734,2.923,391.415,100.497,5.68,388,96,3,7,9,7,TRUE,FALSE
"7",223,318,223,141,2007,9,0,9,9,9,393.848,108.085,5.287,3.593,0.943,3.447,393.848,108.085,5.287,390,102,3,8,12,8,FALSE,FALSE
"8",296,500,296,224,3847,12.997,0.058,13,12,13,401.632,110.845,5.628,4.461,1.606,4.315,401.632,110.845,5.629,397,103,3,12,14,6,FALSE,FALSE
"9",128,238,128,101,2048,16,0,16,16,16,387.328,120.172,5.266,2.952,0.893,2.859,387.328,120.172,5.266,383,115,3,9,10,5,TRUE,TRUE
"10",331,534,331,231,5627,17,0,17,17,17,353.68,123.598,6.789,4.536,1.66,4.354,353.68,123.598,6.789,349,120,3,15,11,11,TRUE,TRUE
"11",315,576,315,234,5670,18,0,18,18,18,404.53,124.286,8.533,4.774,1.914,4.745,404.53,124.286,8.533,400,116,3,11,16,12,TRUE,FALSE
"12",281,412,281,189,5899,20.993,0.119,21,19,21,348.203,130.128,6.32,3.854,0.998,3.813,348.202,130.129,6.321,345,126,3,8,11,9,TRUE,FALSE
"13",55,114,55,43,1100,20,0,20,20,20,387.964,129.8,4.691,2.012,0.401,2.069,387.964,129.8,4.691,386,128,3,5,5,4,FALSE,FALSE
"14",80,148,80,64,1760,22,0,22,22,22,413.775,132.25,4.812,2.354,0.589,2.337,413.775,132.25,4.812,411,129,3,6,7,4,FALSE,FALSE
"15",426,636,426,276,12780,30,0,30,30,30,411.563,144.739,6.007,5.194,2.185,4.734,411.563,144.739,6.007,404,135,3,14,18,8,FALSE,FALSE
"16",82,142,82,60,2050,25,0,25,25,25,288.098,143.195,5.439,2.321,0.365,2.313,288.098,143.195,5.439,286,141,3,6,5,6,FALSE,FALSE
