"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",138,290,138,114,414,3,0,3,3,3,553.87,157.986,4.377,3.419,1.288,3.333,553.87,157.986,4.377,548,153,2,11,11,5,TRUE,TRUE
"2",459,722,459,326,647216,1410.057,1122.326,2467,5,2467,585.211,190.684,6.941,4.579,1.435,4.771,587.485,190.395,7.492,580,186,2,11,12,12,FALSE,FALSE
"3",387,632,387,284,103454,267.323,13.318,268,6,268,580.096,223.698,4.517,5.093,1.976,5.056,580.106,223.694,4.523,572,215,2,17,15,6,TRUE,TRUE
"4",164,250,164,109,1148,7,0,7,7,7,440.439,232.591,4.787,3.161,0.763,3.051,440.439,232.591,4.787,436,229,2,9,8,6,FALSE,FALSE
"5",495,758,495,354,3960,8,0,8,8,8,587.149,298.556,5.04,5.885,2.511,5.504,587.149,298.556,5.04,582,288,2,11,24,7,TRUE,TRUE
"6",629,984,629,433,1071212,1703.04,1191.674,2540,9,2540,626.079,308.514,7.768,5.535,1.927,5.374,627.891,307.537,9.201,617,302,2,18,17,12,FALSE,FALSE
"7",310,558,310,237,6743,21.752,206.908,10,10,3653,610.19,317.155,6.194,4.473,1.563,4.451,611.708,315.991,7.71,604,312,2,16,12,8,TRUE,TRUE
"8",476,626,476,306,5236,11,0,11,11,11,588.651,341.132,4.756,4.941,1.563,4.985,588.651,341.132,4.756,582,334,2,15,14,7,TRUE,TRUE
"9",443,670,443,273,5758,12.998,0.048,13,12,13,495.905,369.51,5.657,4.896,1.616,4.797,495.905,369.511,5.658,491,363,2,10,18,10,FALSE,FALSE
"10",248,382,248,161,3472,14,0,14,14,14,631.923,443.351,4.976,3.674,0.934,3.623,631.923,443.351,4.976,627,439,2,11,9,8,TRUE,TRUE
"11",260,480,260,203,329205,1266.173,822.45,522,15,2166,650.523,467.846,5.023,4.393,1.658,4.31,651.78,469.726,5.204,644,460,2,14,16,7,TRUE,TRUE
"12",236,346,236,148,3776,16,0,16,16,16,564.042,484.407,5.127,3.675,1.07,3.546,564.042,484.407,5.127,558,479,2,11,11,8,TRUE,TRUE
"13",47,118,47,46,26743,569,82.268,581,17,581,559.213,509.787,4,1.959,0.665,2.059,559.217,509.783,4.042,557,507,2,5,7,4,FALSE,FALSE
"14",389,602,389,268,7391,19,0,19,19,19,646.44,774.242,4.985,5.123,1.915,4.944,646.44,774.242,4.985,639,767,2,16,16,8,FALSE,FALSE
"15",204,314,204,146,6950,34.069,200.94,20,20,2890,515.284,23.819,5.343,3.551,1.023,3.497,515.58,22.655,6.44,512,19,3,8,11,6,TRUE,TRUE
"16",496,816,496,358,10417,21.002,0.045,21,21,22,480.268,29.669,5.466,5.275,1.903,5.245,480.268,29.67,5.465,472,24,3,19,13,7,FALSE,FALSE
