"","Volume..pixel.3.","Surface..pixel.2.","Nb.of.obj..voxels","Nb.of.surf..voxels","IntDen","Mean","StdDev","Median","Min","Max","X","Y","Z","Mean.dist..to.surf...pixel.","SD.dist..to.surf...pixel.","Median.dist..to.surf...pixel.","XM","YM","ZM","BX","BY","BZ","B.width","B.height","B.depth","boolw","boolhalf"
"1",494,680,494,313,6321,12.796,185.193,1,1,2915,1009.86,516.968,4.478,5.035,1.631,4.979,1009.528,514.693,7.725,1000,512,1,18,11,8,TRUE,TRUE
"2",403,628,403,275,1209,3,0,3,3,3,989.938,474.546,5.638,5.08,1.957,4.837,989.938,474.546,5.638,984,469,2,18,11,9,TRUE,TRUE
"3",92,154,92,66,368,4,0,4,4,4,1002.946,478.761,4.707,2.398,0.344,2.417,1002.946,478.761,4.707,1000,476,2,6,6,6,TRUE,TRUE
"4",20,50,20,20,140,7,0,7,7,7,1013,481.65,2.55,1.314,0.394,1.294,1013,481.65,2.55,1012,480,2,3,4,2,FALSE,FALSE
"5",521,936,521,398,4689,9,0,9,9,9,1010.61,489.451,5.205,5.555,1.977,5.633,1010.61,489.451,5.205,1004,480,2,16,19,11,TRUE,TRUE
"6",85,176,85,75,510,6,0,6,6,6,982.047,483.129,3.706,2.683,1.014,2.476,982.047,483.129,3.706,978,481,2,9,8,4,TRUE,TRUE
"7",580,744,580,358,4640,8,0,8,8,8,993.817,487.571,4.65,5.382,1.743,5.52,993.817,487.571,4.65,986,481,2,18,15,6,TRUE,TRUE
"8",305,390,305,181,3050,10,0,10,10,10,982.725,497.495,4.951,3.994,1.016,3.907,982.725,497.495,4.951,979,491,2,9,12,8,FALSE,FALSE
"9",208,312,208,136,2288,11,0,11,11,11,1003.111,498.327,5.024,3.481,0.919,3.435,1003.111,498.327,5.024,1000,492,2,7,11,7,TRUE,FALSE
"10",133,264,133,111,1596,12,0,12,12,12,1012.827,502.008,3.714,3.356,1.266,3.241,1012.827,502.008,3.714,1007,498,2,11,8,5,TRUE,TRUE
"11",125,200,125,85,1750,14,0,14,14,14,976.512,525.904,4.016,2.719,0.412,2.7,976.512,525.904,4.016,973,523,2,8,7,5,FALSE,FALSE
"12",284,444,284,186,4544,16,0,16,16,16,1007.468,527.94,5.954,3.862,0.894,3.711,1007.468,527.94,5.954,1002,524,2,12,9,10,TRUE,TRUE
"13",119,210,119,94,2023,17,0,17,17,17,945.21,528.891,4.16,2.841,0.921,2.745,945.21,528.891,4.16,941,526,2,10,6,5,TRUE,FALSE
