 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	2251	1348	2251	861	15757	7	0	7	7	7	707.464	586.296	8.386	8.139	1.846	8.446	707.464	586.296	8.386	696	578	3	22	19	10
2	2925	1934	2925	1160	23400	8	0	8	8	8	676.039	612.966	8.558	9.433	2.671	9.443	676.039	612.966	8.558	660	602	3	31	26	11
3	3316	1926	3316	1219	39792	12	0	12	12	12	678.466	644.797	9.072	10.049	3.224	9.646	678.466	644.797	9.072	670	629	3	19	35	12
4	5010	2544	5010	1654	265530	53	0	53	53	53	642.680	652.919	9.201	11.433	3.354	11.499	642.674	652.919	9.201	631	633	3	24	36	12
5	4883	2646	4883	1661	263682	54	0	54	54	54	695.777	664.725	9.379	11.655	3.868	11.384	695.788	664.725	9.379	682	648	3	25	42	13
6	4584	2580	4584	1625	563832	123	0	123	123	123	609.206	671.544	9.665	11.303	3.547	11.101	609.207	671.546	9.665	593	658	3	35	25	13
7	1341	1052	1341	570	91188	68	0	68	68	68	980.515	295.784	9.712	7.108	2.202	6.574	980.509	295.784	9.712	974	284	4	12	25	12
8	2049	1494	2049	892	149577	73	0	73	73	73	983.530	361.888	9.577	9.152	3.986	8.143	983.526	361.888	9.577	977	351	4	14	34	11
9	1805	1226	1805	762	3610	2	0	2	2	2	934.704	380.538	8.176	7.712	2.162	7.997	934.704	380.538	8.176	922	371	4	24	18	8
10	4624	2790	4624	1714	346800	75	0	75	75	75	966.245	379.884	9.991	11.913	4.150	11.481	966.247	379.886	9.991	947	370	4	43	21	12
11	3163	1994	3163	1142	243551	77	0	77	77	77	972.846	400.220	10.114	9.697	2.844	9.663	972.843	400.220	10.114	951	390	4	33	25	12
12	3310	2344	3310	1353	52960	16	0	16	16	16	963.352	422.474	9.569	10.982	4.334	10.391	963.352	422.474	9.569	950	409	4	41	27	11
13	1956	1444	1956	906	5868	3	0	3	3	3	934.472	429.779	8.448	8.744	3.046	8.538	934.472	429.779	8.448	927	414	4	22	31	9
14	2008	1312	2008	825	40160	20	0	20	20	20	914.919	439.241	8.921	8.252	2.536	7.928	914.919	439.241	8.921	900	434	4	27	15	10
15	3795	2154	3795	1380	15180	4	0	4	4	4	883.577	442.126	8.666	10.326	3.054	10.548	883.577	442.126	8.666	870	426	4	30	28	10
16	5764	3272	5764	1975	121044	21	0	21	21	21	970.839	452.032	9.456	13.156	4.788	12.754	970.825	452.032	9.456	956	439	4	40	30	12
17	3079	1850	3079	1184	240162	78	0	78	78	78	946.558	451.379	9.664	9.729	2.972	9.494	946.565	451.379	9.664	933	439	4	22	30	12
18	2000	1262	2000	824	44000	22	0	22	22	22	879.337	459.977	9.580	7.945	1.994	7.823	879.341	459.977	9.580	871	451	4	22	18	11
19	1109	852	1109	511	25507	23	0	23	23	23	895.063	463.482	9.512	6.421	1.691	6.264	895.068	463.482	9.512	888	454	4	13	20	10
20	2986	1800	2986	1097	438942	147	0	147	147	147	883.453	478.735	10.841	9.024	2.286	9.279	883.451	478.734	10.841	874	468	4	22	25	12
21	1179	872	1179	543	28296	24	0	24	24	24	906.444	465.918	9.154	6.451	1.448	6.372	906.444	465.918	9.154	901	456	4	12	17	10
22	2795	1738	2795	1079	419250	150	0	150	150	150	865.887	485.938	10.735	9.212	2.650	9.214	865.890	485.937	10.735	855	471	4	22	26	13
23	987	826	987	492	24675	25	0	25	25	25	911.696	476.079	8.918	6.501	2.133	6.479	911.692	476.079	8.918	900	472	4	22	10	10
24	3313	1980	3313	1234	268353	81	0	81	81	81	904.075	488.571	10.215	9.766	2.680	9.665	904.071	488.572	10.215	891	477	4	29	21	12
