 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
630	1833	1298	1833	713	1176786	642	0	642	642	642	428.696	323.986	11.346	7.765	2.233	7.878	428.695	323.986	11.346	418	314	7	22	22	11
631	796	716	796	408	511828	643	0	643	643	643	57.758	327.210	11.048	5.933	1.860	5.798	57.758	327.210	11.048	54	319	7	9	18	9
632	1300	1034	1300	561	924300	711	0	711	711	711	387.172	361.560	12.655	6.715	1.668	6.828	387.173	361.560	12.655	378	353	7	18	17	11
633	204	298	204	143	112404	551	0	551	551	551	235.034	360.995	9.917	3.530	1.013	3.622	235.035	360.995	9.917	230	358	7	11	8	7
634	3760	3198	3760	1666	2831280	753	0	753	753	753	169.028	380.397	12.691	12.062	4.474	12.000	169.028	380.397	12.691	147	359	7	40	38	11
635	1245	1028	1245	537	816720	656	0	656	656	656	471.092	437.218	10.807	6.622	1.585	6.801	471.089	437.218	10.807	463	430	7	20	17	9
636	551	786	551	381	362558	658	0	658	658	658	219.701	449.486	11.158	5.773	2.150	5.677	219.700	449.487	11.158	213	440	7	15	19	11
637	153	282	153	122	87822	574	0	574	574	574	492.889	449.889	9.810	3.415	1.287	3.241	492.889	449.889	9.810	488	447	7	12	8	6
638	917	774	917	461	536445	585	0	585	585	585	690.228	55.008	11.541	5.983	1.638	6.121	690.227	55.008	11.541	682	48	8	18	13	9
639	286	490	286	198	169884	594	0	594	594	594	326.745	100.402	11.322	4.607	1.607	4.630	326.744	100.402	11.322	322	93	8	13	14	8
640	397	486	397	220	237803	599	0	599	599	599	258.584	123.332	11.428	4.564	1.444	4.520	258.585	123.333	11.428	252	118	8	14	11	8
641	401	546	401	245	241803	603	0	603	603	603	872.030	134.796	11.187	5.014	1.879	5.040	872.030	134.796	11.187	864	128	8	16	13	7
642	1283	918	1283	548	864742	674	0	674	674	674	434.221	152.235	11.789	6.605	1.612	6.980	434.220	152.235	11.789	425	145	8	19	16	9
643	1260	940	1260	566	763560	606	0	606	606	606	455.379	158.894	10.558	6.646	1.799	7.051	455.380	158.895	10.558	447	151	8	18	17	7
644	1477	1050	1477	571	1001406	678	0	678	678	678	431.540	185.304	11.632	6.879	1.499	7.099	431.541	185.304	11.632	423	177	8	18	18	10
645	185	290	185	133	112665	609	0	609	609	609	492.897	193.714	11.178	3.673	1.335	3.485	492.897	193.714	11.178	488	188	8	10	11	6
646	1547	1120	1547	646	1133951	733	0	733	733	733	251.541	199.019	13.714	7.172	1.891	7.283	251.541	199.018	13.714	241	190	8	21	18	10
647	957	800	957	476	599082	626	0	626	626	626	224.822	264.753	11.108	6.045	1.685	6.459	224.821	264.754	11.108	217	257	8	16	17	8
648	242	318	242	144	166496	688	0	688	688	688	351.397	260.921	11.694	3.657	0.882	3.428	351.397	260.921	11.694	347	255	8	9	12	7
649	1123	880	1123	502	704121	627	0	627	627	627	390.707	266.717	11.492	6.313	1.640	6.687	390.707	266.717	11.492	383	259	8	17	18	8
650	1321	1186	1321	613	982824	744	0	744	744	744	322.623	288.550	13.172	6.926	2.101	6.992	322.621	288.550	13.172	315	277	8	18	22	10
651	1090	824	1090	464	812050	745	0	745	745	745	45.139	292.767	12.824	6.160	1.258	6.226	45.139	292.767	12.824	37	286	8	16	13	10
652	385	544	385	273	205205	533	0	533	533	533	421.642	287.881	10.145	5.273	2.235	4.896	421.641	287.881	10.145	413	283	8	21	14	5
653	374	536	374	247	238986	639	0	639	639	639	195.984	302.658	10.971	5.072	1.934	4.925	195.984	302.657	10.971	189	298	8	16	13	8
654	1988	1224	1988	824	1385636	697	0	697	697	697	44.729	309.546	12.554	7.826	1.916	7.901	44.729	309.547	12.554	36	299	8	18	20	10
655	370	530	370	246	257150	695	0	695	695	695	655.241	305.878	11.114	4.559	1.428	4.734	655.241	305.878	11.114	649	300	8	12	13	8
656	1186	982	1186	511	833758	703	0	703	703	703	275.836	331.936	12.045	6.613	1.788	6.723	275.837	331.936	12.045	269	323	8	16	22	10
657	766	904	766	448	540796	706	0	706	706	706	59.674	343.809	12.678	6.188	2.462	5.842	59.674	343.809	12.678	47	335	8	25	16	10
658	1358	1004	1358	544	961464	708	0	708	708	708	734.341	350.233	12.383	6.680	1.578	6.866	734.341	350.233	12.383	726	342	8	18	19	9
659	1002	812	1002	474	751500	750	0	750	750	750	413.488	361.470	12.429	6.040	1.478	6.504	413.489	361.470	12.429	406	355	8	15	15	10
660	434	560	434	268	282534	651	0	651	651	651	800.021	393.094	11.180	5.156	2.016	5.034	800.021	393.094	11.180	791	388	8	18	11	8
661	347	452	347	210	226591	653	0	653	653	653	768.795	407.732	11.556	4.739	1.810	4.435	768.795	407.732	11.556	763	403	8	15	10	8
662	1160	874	1160	501	880440	759	0	759	759	759	422.732	431.956	12.809	6.296	1.359	6.489	422.731	431.956	12.809	415	424	8	16	16	9
663	377	482	377	245	218660	580	0	580	580	580	667.737	6.984	11.300	4.504	1.487	4.574	667.736	6.984	11.300	660	3	9	15	10	6
664	1701	1152	1701	645	1233225	725	0	725	725	725	778.217	17.178	13.049	7.281	1.640	7.601	778.220	17.178	13.049	769	8	9	20	19	10
665	1149	868	1149	486	837621	729	0	729	729	729	354.393	136.866	13.123	6.277	1.434	6.601	354.392	136.866	13.123	347	129	9	15	17	9
666	1540	1070	1540	597	1125740	731	0	731	731	731	246.927	166.442	13.385	6.964	1.526	7.380	246.927	166.442	13.385	239	159	9	18	17	10
667	754	834	754	402	511966	679	0	679	679	679	621.976	192.008	12.454	6.043	2.081	5.899	621.976	192.008	12.454	615	183	9	18	18	9
668	1102	844	1102	456	749360	680	0	680	680	680	1012.406	201.201	12.128	6.185	1.402	6.466	1012.403	201.201	12.128	1004	193	9	16	17	8
669	994	816	994	443	678902	683	0	683	683	683	526.959	218.530	11.999	6.033	1.463	6.300	526.958	218.530	11.999	519	211	9	17	16	7
670	1689	1112	1689	632	1244793	737	0	737	737	737	379.710	229.059	12.874	7.189	1.669	7.628	379.713	229.057	12.874	371	220	9	19	19	9
671	687	632	687	360	425253	619	0	619	619	619	723.293	242.937	11.422	5.327	1.438	5.603	723.293	242.938	11.422	717	236	9	14	15	6
672	155	260	155	109	106485	687	0	687	687	687	31.439	255.897	12.226	3.227	1.023	3.176	31.439	255.897	12.226	27	252	9	9	10	7
673	1661	1134	1661	654	1146090	690	0	690	690	690	134.779	265.804	12.247	7.253	1.791	7.637	134.778	265.804	12.247	125	256	9	20	20	8
674	294	408	294	200	183750	625	0	625	625	625	535.435	260.571	11.381	4.594	1.941	4.193	535.435	260.572	11.381	528	257	9	18	9	6
675	269	434	269	191	206592	768	0	768	768	768	294.625	276.706	13.086	4.130	1.488	3.995	294.625	276.706	13.086	290	271	9	12	12	10
676	1369	1126	1369	612	1052761	769	0	769	769	769	306.501	291.091	13.454	7.042	2.087	7.230	306.502	291.089	13.454	296	281	9	19	20	10
