 	Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
98	14.157	46.440	86	78	1818592	21146.418	6030.802	20699.500	12876	34608	280.837	262.814	6.709	1.237	0.338	1.247	280.859	262.852	6.721	277	260	6	9	7	3
99	30.124	77.711	183	140	4383816	23955.279	8207.549	22691.000	12808	48253	315.137	274.705	7.557	1.644	0.425	1.683	315.126	274.650	7.518	312	270	6	8	11	4
100	7.901	29.822	48	48	937982	19541.291	4266.554	18358.000	13474	29238	511.250	279.875	6.604	0.973	0.316	0.954	511.115	279.812	6.639	508	278	6	9	5	2
101	11.029	37.545	67	60	1384892	20670.029	6086.534	19869.000	12910	36582	38.254	281.104	6.701	1.142	0.284	1.154	38.228	281.106	6.703	35	279	6	8	5	3
102	13.005	40.544	79	79	1552704	19654.480	4359.286	19307.000	12759	31613	127.342	286.152	6.557	1.133	0.322	1.163	127.321	286.194	6.601	124	283	6	8	7	2
103	7.901	33.443	48	41	951889	19831.021	6332.759	17636.000	12865	40517	474.167	285.271	7.042	1.103	0.291	1.059	474.303	285.234	7.065	470	283	6	8	5	3
104	14.486	50.027	88	72	2119321	24083.193	8828.788	22215.000	12793	45383	110.250	293.693	7.659	1.286	0.263	1.313	110.224	293.765	7.599	107	291	6	8	7	4
105	23.869	64.092	145	116	3317037	22876.117	7651.202	21375.000	12781	42374	256.283	332.110	7.241	1.488	0.325	1.505	256.331	332.140	7.269	252	327	6	9	10	4
106	25.186	67.886	153	108	4918451	32146.738	15349.011	27634.000	13033	65535	17.686	335.288	7.562	1.669	0.390	1.631	17.796	335.217	7.587	14	331	6	8	10	5
107	12.017	36.511	73	60	1752153	24002.096	8257.575	22503.000	12774	42662	413.548	358.932	7.151	1.182	0.177	1.184	413.551	358.950	7.170	411	356	6	7	6	3
108	13.828	49.130	84	74	1911765	22759.107	7077.567	22557.000	12818	37992	325.107	419.810	7.548	1.297	0.399	1.325	325.178	419.803	7.514	321	416	6	8	9	4
109	34.075	80.676	207	145	5814363	28088.711	11389.876	24924.000	12763	53806	272.643	421.440	7.778	1.779	0.358	1.748	272.744	421.551	7.728	267	417	6	12	9	4
110	9.054	30.960	55	54	1091325	19842.273	4807.958	19878.000	12841	34474	468.236	437.709	7.418	0.994	0.256	1.005	468.165	437.668	7.392	465	435	6	7	6	3
111	24.857	92.431	151	132	2737296	18127.787	4479.053	16610.000	12723	30480	229.781	453.331	7.066	1.606	0.499	1.657	229.800	453.428	7.050	225	447	6	10	12	3
112	25.351	69.369	154	110	4180344	27145.092	11744.595	23105.500	12985	56663	119.396	516.506	7.571	1.707	0.425	1.644	119.480	516.500	7.552	114	514	6	13	6	4
113	2.963	19.790	18	18	272107	15117.056	2193.378	14059.500	12741	20444	969.333	88.667	7.111	0.977	0.447	1.058	969.348	88.631	7.112	968	85	7	4	9	2
114	13.169	43.201	80	62	2008820	25110.250	10176.997	22688.000	13081	51749	752.862	90.400	8.225	1.300	0.275	1.290	752.787	90.454	8.231	750	88	7	8	6	4
115	6.914	31.134	42	38	841167	20027.785	5758.011	18508.500	13140	36987	729.881	101.143	8.071	1.095	0.308	1.104	729.970	101.010	8.067	728	98	7	5	7	3
116	36.709	85.986	223	150	7437619	33352.551	15806.851	28635.000	12724	65535	637.484	125.430	8.583	1.904	0.430	1.842	637.418	125.476	8.577	633	120	7	10	12	4
117	13.663	47.992	83	70	1686684	20321.494	5675.949	19520.000	12739	36457	188.711	182.614	7.795	1.267	0.322	1.245	188.705	182.609	7.771	185	179	7	9	8	3
118	10.371	33.235	63	62	1190904	18903.238	3414.332	18961.000	13350	30519	612.222	226.175	7.540	1.033	0.289	1.046	612.210	226.180	7.533	609	224	7	7	6	3
119	24.692	63.024	150	121	4530440	30202.934	12318.544	27793.500	13327	61392	45.373	229.607	8.000	1.594	0.439	1.535	45.289	229.569	7.975	40	226	7	12	7	3
120	10.865	40.269	66	60	1279027	19379.197	4772.966	18330.500	12868	33240	676.394	228.742	8.182	1.178	0.322	1.189	676.344	228.767	8.179	673	226	7	8	6	3
