 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
223	926	780	926	447	210202	227	0	227	227	227	318.445	472.121	9.053	6.030	1.618	6.213	318.446	472.121	9.053	312	465	6	17	17	7
224	687	692	687	388	123660	180	0	180	180	180	82.560	537.102	8.357	5.616	1.729	5.675	82.560	537.102	8.357	75	531	6	17	13	6
225	1167	1080	1167	620	212394	182	0	182	182	182	117.093	547.154	8.218	6.843	2.151	7.284	117.093	547.154	8.218	107	537	6	20	20	6
226	544	576	544	318	102816	189	0	189	189	189	128.165	573.939	8.355	5.102	1.468	5.120	128.165	573.939	8.355	124	567	6	11	14	6
227	778	802	778	426	182052	234	0	234	234	234	397.720	123.977	9.907	6.029	1.948	5.964	397.718	123.977	9.907	390	115	7	17	19	6
228	615	558	615	314	144525	235	0	235	235	235	285.839	134.302	10.182	5.201	1.476	5.023	285.840	134.303	10.182	281	126	7	9	17	7
229	151	248	151	109	30502	202	0	202	202	202	324.166	237.649	8.662	3.246	0.989	3.201	324.166	237.649	8.662	321	233	7	8	10	5
230	198	296	198	137	47124	238	0	238	238	238	313.758	262.924	9.742	3.750	1.431	3.408	313.758	262.924	9.742	310	258	8	9	14	5
231	238	286	238	145	56882	239	0	239	239	239	263.088	271.798	10.017	3.642	0.914	3.568	263.088	271.798	10.017	259	268	8	10	9	5
232	334	406	334	194	82832	248	0	248	248	248	294.769	337.605	11.317	4.284	1.294	4.030	294.769	337.605	11.317	291	331	8	8	15	7
233	154	278	154	122	33418	217	0	217	217	217	199.701	367.993	9.636	3.502	1.319	3.421	199.701	367.993	9.636	194	364	8	13	8	4
234	173	264	173	129	42731	247	0	247	247	247	249.416	589.387	9.514	3.574	1.437	3.148	249.416	589.387	9.514	242	587	8	15	6	4
235	473	570	473	298	117777	249	0	249	249	249	288.901	325.725	11.448	5.594	2.259	5.338	288.900	325.725	11.448	280	321	9	20	10	6
236	313	400	313	198	78250	250	0	250	250	250	312.939	358.061	11.853	4.627	1.992	4.116	312.939	358.061	11.853	303	355	10	18	8	5
