 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
559	590	564	590	306	289100	490	0	490	490	490	762.080	5.500	11.915	5.134	1.481	5.086	762.079	5.500	11.915	754	2	9	17	10	7
560	257	300	257	141	126958	494	0	494	494	494	948.704	19.261	12.451	3.586	0.514	3.575	948.705	19.261	12.451	945	16	9	9	8	7
561	1693	1156	1693	685	981940	580	0	580	580	580	618.660	60.420	13.078	7.368	1.903	7.747	618.658	60.420	13.078	609	51	9	23	20	8
562	331	460	331	208	122470	370	0	370	370	370	818.157	79.130	11.393	4.595	1.712	4.429	818.156	79.130	11.393	810	74	9	17	11	6
563	186	298	186	129	109182	587	0	587	587	587	120.403	126.409	12.699	3.607	1.261	3.530	120.403	126.409	12.699	115	123	9	11	8	8
564	254	346	254	162	99822	393	0	393	393	393	971.409	137.429	11.016	4.121	1.508	3.917	971.409	137.429	11.016	965	134	9	14	9	5
565	1517	1070	1517	589	904132	596	0	596	596	596	358.897	182.581	12.610	6.943	1.690	7.311	358.895	182.581	12.610	350	173	9	19	19	9
566	742	874	742	450	384356	518	0	518	518	518	541.027	184.224	11.613	5.834	1.835	6.088	541.027	184.224	11.613	533	174	9	16	19	7
567	377	674	377	290	154947	411	0	411	411	411	586.923	188.989	11.379	5.253	1.811	5.475	586.923	188.989	11.379	580	181	9	17	17	6
568	814	944	814	457	487586	599	0	599	599	599	524.380	198.302	12.759	6.807	2.766	6.512	524.380	198.302	12.759	519	186	9	13	24	10
569	159	290	159	124	66462	418	0	418	418	418	582.138	199.528	11.214	3.847	1.698	3.570	582.138	199.528	11.214	577	195	9	14	9	5
570	934	786	934	477	391346	419	0	419	419	419	546.115	204.660	11.301	6.043	1.648	6.355	546.115	204.659	11.301	538	196	9	16	19	7
571	383	556	383	247	207203	541	0	541	541	541	459.070	275.930	12.198	4.791	1.667	4.578	459.070	275.930	12.198	454	269	9	14	15	9
572	269	470	269	205	164628	612	0	612	612	612	874.071	292.714	13.078	4.355	1.724	4.085	874.070	292.714	13.078	868	288	9	16	12	9
573	418	498	418	235	278388	666	0	666	666	666	525.225	295.469	13.249	4.591	1.357	4.518	525.225	295.469	13.249	521	288	9	10	14	10
574	172	240	172	108	105952	616	0	616	616	616	878.047	308.919	12.872	3.124	0.599	3.127	878.047	308.919	12.872	875	306	9	8	7	8
575	279	470	279	199	173817	623	0	623	623	623	536.470	327.530	12.111	5.079	2.342	4.399	536.470	327.530	12.111	529	321	9	13	17	8
576	1465	1214	1465	666	807215	551	0	551	551	551	452.152	328.080	12.239	7.579	2.674	7.440	452.153	328.080	12.239	444	313	9	19	25	8
577	592	614	592	324	396048	669	0	669	669	669	121.220	327.902	13.715	5.214	1.472	5.197	121.219	327.902	13.715	113	322	9	17	12	8
578	1256	1016	1256	555	783744	624	0	624	624	624	34.428	342.986	13.178	6.701	1.885	6.795	34.428	342.986	13.178	25	334	9	18	23	9
579	947	780	947	454	592822	626	0	626	626	626	111.039	350.985	13.195	6.022	1.632	5.901	111.038	350.985	13.195	104	342	9	14	18	8
580	1944	1364	1944	773	1224720	630	0	630	630	630	246.279	375.101	13.403	7.952	2.213	8.220	246.280	375.100	13.403	237	362	9	21	24	10
581	367	624	367	268	257634	702	0	702	702	702	76.520	386.567	14.782	5.054	2.328	4.458	76.520	386.567	14.782	68	376	9	18	17	11
582	1451	1052	1451	590	814011	561	0	561	561	561	354.780	393.045	12.438	6.864	1.753	7.315	354.780	393.044	12.438	345	384	9	19	19	8
583	345	476	345	211	194235	563	0	563	563	563	90.443	398.864	12.438	4.378	1.421	4.148	90.443	398.864	12.438	85	391	9	11	14	8
584	493	596	493	278	351509	713	0	713	713	713	53.260	404.379	15.091	4.955	1.535	4.867	53.260	404.379	15.091	48	398	9	14	14	12
585	1770	1190	1770	675	1134570	641	0	641	641	641	179.658	419.969	13.416	7.371	1.821	7.821	179.657	419.966	13.416	170	410	9	20	20	10
586	350	548	350	235	225050	643	0	643	643	643	93.886	423.203	12.746	4.704	1.731	4.417	93.886	423.203	12.746	88	417	9	16	12	10
587	212	310	212	149	101760	480	0	480	480	480	630.877	423.179	11.528	3.611	1.163	3.506	630.877	423.179	11.528	626	419	9	11	9	5
588	201	260	201	120	113565	565	0	565	565	565	564.876	447.433	12.179	3.300	0.575	3.281	564.875	447.433	12.179	562	444	9	8	8	7
589	1268	1064	1268	586	896476	707	0	707	707	707	144.778	466.506	14.500	6.822	1.989	7.102	144.778	466.505	14.500	137	456	9	17	20	10
590	279	370	279	169	180792	648	0	648	648	648	245.384	518.090	12.670	3.866	0.928	3.854	245.384	518.090	12.670	241	514	9	10	9	8
591	153	204	153	95	74205	485	0	485	485	485	190.033	525.778	10.915	2.929	0.399	2.970	190.033	525.778	10.915	187	523	9	7	7	5
