 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	6947	3682	6947	2471	62523	9	0	9	9	9	723.458	697.782	6.445	14.200	4.933	14.437	723.427	697.782	6.445	704	675	2	43	47	9
2	865	788	865	386	46710	54	0	54	54	54	682.046	744.405	6.778	6.237	2.005	5.762	682.046	744.405	6.778	674	739	2	19	14	10
3	3948	2374	3948	1557	232932	59	0	59	59	59	496.243	390.608	7.403	10.799	3.271	11.364	496.249	390.607	7.403	484	372	3	27	34	10
4	2236	1372	2236	822	31304	14	0	14	14	14	526.532	431.248	7.528	8.093	1.959	8.532	526.532	431.248	7.528	517	421	3	20	22	9
5	4816	2574	4816	1490	693504	144	0	144	144	144	495.370	464.137	8.581	11.522	3.841	10.910	495.360	464.137	8.581	483	452	3	37	31	13
6	3638	2288	3638	1393	94588	26	0	26	26	26	550.896	488.342	7.313	11.011	4.234	10.615	550.884	488.342	7.313	538	466	3	27	37	10
7	6681	3940	6681	2401	507756	76	0	76	76	76	637.326	507.785	8.204	13.941	4.864	13.851	637.342	507.785	8.204	616	485	3	43	42	12
8	4883	2166	4883	1433	727567	149	0	149	149	149	650.877	523.575	9.304	10.448	2.060	10.815	650.880	523.576	9.304	638	511	3	27	26	13
9	1514	1040	1514	634	119606	79	0	79	79	79	667.532	529.437	7.195	6.982	1.542	7.098	667.534	529.436	7.195	661	518	3	16	19	11
10	3350	2126	3350	1338	261300	78	0	78	78	78	630.972	538.004	7.526	10.093	3.071	10.404	630.980	538.006	7.526	615	527	3	31	23	10
11	2696	1626	2696	1100	215680	80	0	80	80	80	655.481	543.431	7.545	9.505	3.179	9.023	655.481	543.431	7.545	639	536	3	32	15	11
12	4317	2444	4317	1549	349677	81	0	81	81	81	680.915	547.023	8.125	11.118	3.595	11.323	680.911	547.025	8.125	668	533	3	35	29	11
13	1996	1318	1996	903	173652	87	0	87	87	87	655.567	555.969	7.302	9.084	3.508	8.981	655.570	555.968	7.302	639	551	3	31	13	10
14	3889	2520	3889	1600	334454	86	0	86	86	86	603.043	555.628	8.088	11.663	4.254	11.407	603.049	555.629	8.088	593	534	3	25	43	11
15	4590	2846	4590	1807	426870	93	0	93	93	93	647.835	574.404	7.408	11.953	4.047	11.949	647.835	574.404	7.408	632	558	3	36	36	10
16	589	552	589	317	53599	91	0	91	91	91	678.003	565.976	8.564	5.046	1.318	4.994	678.006	565.976	8.564	672	563	3	15	9	11
17	482	498	482	239	2892	6	0	6	6	6	777.680	578.388	6.293	4.929	1.436	4.715	777.680	578.388	6.293	773	571	3	12	14	7
18	2183	1392	2183	843	85137	39	0	39	39	39	651.784	613.509	7.188	8.108	2.229	8.503	651.791	613.510	7.188	641	603	3	23	22	9
19	4333	2696	4333	1677	177653	41	0	41	41	41	729.265	633.956	6.885	11.575	4.023	11.685	729.258	633.957	6.885	710	616	3	33	40	9
20	2354	1418	2354	887	98868	42	0	42	42	42	790.122	638.603	6.910	8.305	2.226	8.895	790.110	638.602	6.910	780	628	3	22	22	8
21	953	726	953	453	41932	44	0	44	44	44	772.549	657.694	6.655	6.065	1.527	5.959	772.549	657.694	6.655	768	649	3	10	17	9
22	4312	2492	4312	1589	198352	46	0	46	46	46	751.644	663.682	7.186	11.159	3.579	11.471	751.659	663.681	7.186	736	650	3	31	32	10
23	2249	1446	2249	939	15743	7	0	7	7	7	703.964	678.755	6.243	8.632	2.745	8.688	703.964	678.755	6.243	693	669	3	28	21	8
24	2949	1902	2949	1095	353880	120	0	120	120	120	775.056	676.916	7.675	9.508	2.929	9.439	775.071	676.917	7.675	759	667	3	34	23	11
25	2612	2186	2612	1309	127988	49	0	49	49	49	694.957	714.769	6.771	10.177	3.695	10.146	694.952	714.768	6.771	678	702	3	33	33	10
26	1872	1296	1872	828	18720	10	0	10	10	10	711.085	721.158	6.392	8.229	2.648	8.133	711.085	721.158	6.392	701	711	3	22	22	8
27	1938	1352	1938	806	106590	55	0	55	55	55	612.558	744.711	6.997	8.040	2.335	8.266	612.563	744.710	6.997	601	736	3	25	19	10
28	2536	1842	2536	1085	144552	57	0	57	57	57	482.548	369.773	7.729	9.327	3.090	9.416	482.543	369.773	7.729	471	356	4	29	29	9
29	1859	1350	1859	780	20449	11	0	11	11	11	461.241	368.999	7.568	8.127	2.588	8.062	461.241	368.999	7.568	448	356	4	23	24	9
30	1501	1206	1501	677	18012	12	0	12	12	12	447.364	385.383	7.713	7.570	2.466	7.605	447.364	385.383	7.713	435	377	4	24	21	9
31	2406	1696	2406	1010	146766	61	0	61	61	61	518.899	397.637	7.816	9.073	2.814	9.026	518.894	397.637	7.816	507	381	4	25	26	9
32	1937	1406	1937	836	116220	60	0	60	60	60	542.211	395.046	8.369	8.225	2.567	8.161	542.211	395.046	8.369	534	379	4	20	28	10
33	2440	1592	2440	953	331840	136	0	136	136	136	556.185	383.882	8.803	8.590	2.408	8.840	556.178	383.882	8.803	547	369	4	21	26	10
34	1934	1482	1934	909	25142	13	0	13	13	13	470.788	394.761	7.354	8.824	3.117	8.654	470.788	394.761	7.354	459	379	4	24	25	9
35	860	690	860	430	49880	58	0	58	58	58	476.026	385.309	8.529	5.848	1.517	5.851	476.026	385.309	8.529	469	378	4	14	14	9
36	1628	1162	1628	646	100936	62	0	62	62	62	426.711	406.009	8.006	7.532	2.257	7.424	426.714	406.009	8.006	416	395	4	20	21	9
37	1251	1154	1251	641	82566	66	0	66	66	66	536.938	414.130	8.213	7.020	2.051	7.288	536.936	414.130	8.213	529	402	4	19	23	9
38	2306	1496	2306	951	145278	63	0	63	63	63	472.225	413.154	8.079	8.880	2.852	8.880	472.230	413.155	8.079	459	405	4	23	24	10
39	2337	1546	2337	1028	149568	64	0	64	64	64	491.346	414.453	7.507	8.783	2.608	9.031	491.346	414.453	7.507	483	405	4	20	23	9
40	3468	2176	3468	1400	225420	65	0	65	65	65	511.395	417.869	7.942	10.907	4.063	10.379	511.390	417.870	7.942	495	407	4	36	25	9
41	557	540	557	321	557	1	0	1	1	1	487.729	432.670	6.772	5.166	1.662	4.976	487.729	432.670	6.772	478	429	4	19	9	7
42	2819	2136	2819	1204	188873	67	0	67	67	67	430.381	431.782	8.485	10.197	3.598	10.031	430.385	431.782	8.485	414	417	4	32	28	10
43	1070	884	1070	516	16050	15	0	15	15	15	469.021	433.993	7.091	6.347	1.770	6.697	469.021	433.993	7.091	462	425	4	16	19	7
44	407	434	407	240	814	2	0	2	2	2	483.292	440.840	6.619	4.530	1.291	4.432	483.292	440.840	6.619	478	437	4	11	12	6
45	1179	838	1179	521	18864	16	0	16	16	16	510.664	443.379	7.580	6.732	2.047	6.380	510.664	443.379	7.580	507	433	4	11	22	8
46	1521	1064	1521	687	25857	17	0	17	17	17	499.713	443.393	7.371	7.365	2.077	7.234	499.713	443.393	7.371	490	433	4	16	22	8
47	3733	2504	3733	1488	526353	141	0	141	141	141	603.991	447.291	8.513	11.043	3.830	11.039	603.990	447.290	8.513	584	432	4	38	30	10
48	1904	1240	1904	792	266560	140	0	140	140	140	546.668	438.272	8.835	7.749	2.090	8.164	546.675	438.272	8.835	536	429	4	21	18	9
49	2022	1438	2022	871	287124	142	0	142	142	142	545.375	455.802	9.331	8.093	2.329	8.254	545.380	455.802	9.331	534	447	4	24	19	10
50	1610	1172	1610	723	30590	19	0	19	19	19	666.873	462.210	7.093	7.427	2.126	7.934	666.877	462.210	7.093	657	453	4	20	20	7
51	1530	1226	1530	731	275400	180	0	180	180	180	608.745	465.125	9.218	7.420	2.213	7.646	608.740	465.124	9.218	597	457	4	24	18	10
52	1456	1156	1456	662	100464	69	0	69	69	69	575.593	462.916	7.777	7.435	2.244	7.514	575.589	462.916	7.777	566	452	4	18	21	8
53	235	344	235	161	4230	18	0	18	18	18	638.855	460.613	6.864	3.917	1.391	3.711	638.855	460.613	6.864	636	453	4	8	14	7
54	1284	1054	1284	645	25680	20	0	20	20	20	541.821	469.579	6.878	7.195	2.391	6.968	541.821	469.579	6.878	531	464	4	24	14	9
55	3278	2108	3278	1401	68838	21	0	21	21	21	597.654	481.135	6.906	10.473	3.570	10.443	597.643	481.136	6.906	587	465	4	25	34	9
56	204	334	204	153	612	3	0	3	3	3	641.294	470.627	6.755	3.906	1.403	3.859	641.294	470.627	6.755	637	466	4	12	11	7
57	1022	826	1022	529	22484	22	0	22	22	22	579.213	477.841	7.026	6.455	1.999	6.293	579.213	477.841	7.026	568	469	4	19	16	7
58	810	822	810	453	3240	4	0	4	4	4	616.130	479.978	6.768	6.156	2.035	6.171	616.130	479.978	6.768	610	473	4	17	17	10
59	918	784	918	438	22032	24	0	24	24	24	532.784	482.747	7.306	5.983	1.611	6.155	532.784	482.747	7.306	525	474	4	17	17	7
60	2057	1530	2057	937	51425	25	0	25	25	25	571.947	492.603	7.100	8.865	3.235	8.741	571.941	492.603	7.100	563	481	4	21	29	8
61	534	500	534	308	14418	27	0	27	27	27	585.118	491.951	7.011	4.926	1.295	4.798	585.118	491.951	7.011	582	486	4	8	14	7
62	317	520	317	224	22824	72	0	72	72	72	627.107	489.997	7.940	4.784	2.025	4.459	627.107	489.997	7.940	621	484	4	16	13	10
63	352	474	352	225	51040	145	0	145	145	145	500.642	492.176	8.580	4.904	1.988	4.523	500.641	492.176	8.580	492	488	4	18	11	8
64	3826	2748	3826	1550	558596	146	0	146	146	146	603.938	508.037	9.070	10.968	3.674	11.097	603.934	508.037	9.070	584	496	4	38	28	11
65	239	310	239	150	6692	28	0	28	28	28	569.649	508.008	6.950	3.627	0.920	3.543	569.649	508.008	6.950	567	502	4	8	11	7
66	661	658	661	354	48914	74	0	74	74	74	663.082	503.998	8.147	5.612	1.821	5.482	663.082	503.998	8.147	659	495	4	10	19	8
67	2219	1562	2219	936	170863	77	0	77	77	77	552.986	523.175	7.636	8.541	2.633	8.917	552.983	523.175	7.636	542	509	4	22	26	9
68	1031	878	1031	548	29899	29	0	29	29	29	572.519	522.120	7.206	6.543	2.060	6.823	572.519	522.120	7.206	565	514	4	19	16	7
69	1418	1118	1418	660	260912	184	0	184	184	184	568.099	535.554	9.094	7.668	2.822	7.096	568.101	535.555	9.094	555	530	4	28	12	10
70	2771	1936	2771	1161	229993	83	0	83	83	83	590.026	543.595	8.066	10.115	4.096	9.336	590.028	543.595	8.066	582	520	4	17	39	10
71	278	394	278	183	41700	150	0	150	150	150	473.403	536.004	9.129	4.096	1.289	3.848	473.403	536.004	9.129	467	531	4	12	10	9
72	1571	1148	1571	671	240363	153	0	153	153	153	564.630	548.264	8.921	7.335	1.941	7.201	564.628	548.263	8.921	554	542	4	20	18	10
73	1121	930	1121	525	91922	82	0	82	82	82	356.130	547.567	7.930	6.494	1.818	6.714	356.130	547.567	7.930	348	539	4	18	18	8
74	1973	1406	1973	886	61163	31	0	31	31	31	625.748	559.473	6.896	8.197	2.428	8.576	625.755	559.473	6.896	615	551	4	23	21	8
