 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
72	1631	1136	1631	698	187565	115	0	115	115	115	374.608	111.278	6.718	7.351	2.015	7.837	374.610	111.278	6.718	365	102	3	20	20	8
73	1229	900	1229	540	143793	117	0	117	117	117	261.197	116.531	6.552	6.585	1.674	6.655	261.195	116.531	6.552	252	110	3	21	14	8
74	1991	1312	1991	787	234938	118	0	118	118	118	413.418	121.312	6.528	7.870	2.118	8.248	413.422	121.312	6.528	403	111	3	22	23	8
75	1723	1196	1723	734	68920	40	0	40	40	40	388.513	123.302	6.654	7.532	2.147	7.978	388.513	123.302	6.654	379	113	3	21	22	8
76	2712	1794	2712	1178	116616	43	0	43	43	43	219.688	139.890	6.435	10.211	3.856	10.148	219.692	139.890	6.435	204	129	3	34	22	8
77	1011	792	1011	479	42462	42	0	42	42	42	197.426	138.999	6.558	6.290	1.833	6.226	197.426	138.999	6.558	191	130	3	12	19	8
78	1295	924	1295	632	58275	45	0	45	45	45	255.366	147.339	6.403	6.880	1.889	6.771	255.366	147.339	6.403	249	139	3	19	18	8
79	2402	1494	2402	1013	288240	120	0	120	120	120	238.243	151.341	6.510	8.903	2.830	9.075	238.243	151.341	6.510	226	138	3	22	24	8
80	1420	1028	1420	612	65320	46	0	46	46	46	436.394	148.707	6.491	6.919	1.878	7.352	436.394	148.707	6.491	427	140	3	19	19	8
81	1859	1208	1859	729	228657	123	0	123	123	123	396.487	158.070	6.621	7.594	1.961	7.990	396.489	158.070	6.621	387	149	3	21	20	8
82	1107	822	1107	500	133947	121	0	121	121	121	287.860	150.650	6.927	6.326	1.599	6.391	287.858	150.650	6.927	283	142	3	14	18	9
83	213	310	213	142	10224	48	0	48	48	48	412.216	155.164	6.235	3.538	1.106	3.540	412.216	155.164	6.235	409	150	3	8	12	6
