Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
138	284	138	127	8142	59.000	0.000	59.000	59	59	428.543	536.007	5.449	3.452	1.359	3.425	428.543	536.007	5.449	426	529	3	7	13	6
882	1042	882	531	1069866	1213.000	0.000	1213.000	1213	1213	436.584	525.599	6.622	6.106	1.958	6.069	436.583	525.597	6.622	427	517	3	19	19	8
301	462	301	211	365453	1214.130	67.150	1218.000	53	1218	209.565	530.498	5.738	4.198	1.290	4.211	209.573	530.497	5.746	204	524	3	11	13	6
423	590	423	268	757026	1789.660	27.568	1791.000	1224	1791	420.494	532.220	6.501	4.485	1.284	4.562	420.494	532.217	6.503	415	527	3	11	14	8
91	158	91	74	5278	58.000	0.000	58.000	58	58	218.242	531.132	5.066	2.479	0.691	2.476	218.242	531.132	5.066	216	528	3	6	8	5
103	200	103	90	6180	60.000	0.000	60.000	60	60	349.495	532.136	4.456	2.946	1.076	2.787	349.495	532.136	4.456	346	528	3	9	8	4
62	128	62	51	3844	62.000	0.000	62.000	62	62	240.565	534.694	4.855	2.125	0.529	2.059	240.565	534.694	4.855	238	532	3	6	7	4
331	556	331	256	405806	1226.000	0.000	1226.000	1226	1226	320.722	537.251	5.834	4.432	1.503	4.447	320.722	537.251	5.834	316	531	3	9	15	8
416	564	416	279	509269	1224.204	57.021	1227.000	64	1227	441.053	537.555	6.630	4.650	1.416	4.319	441.046	537.556	6.638	434	534	3	16	9	8
288	404	288	179	19008	66.000	0.000	66.000	66	66	360.056	539.323	5.840	3.946	0.998	3.856	360.056	539.323	5.840	355	533	3	10	11	8
176	304	176	141	12496	71.000	0.000	71.000	71	71	216.347	541.557	5.017	3.587	1.306	3.607	216.347	541.557	5.017	212	537	3	10	11	5
244	340	244	158	17568	72.000	0.000	72.000	72	72	292.148	541.816	5.270	3.691	1.032	3.688	292.148	541.816	5.270	287	538	3	13	8	6
215	426	215	185	14834	68.995	0.068	69.000	68	69	310.126	543.940	5.172	4.707	2.168	4.499	310.126	543.940	5.172	304	536	3	12	18	6
347	450	347	210	25331	73.000	0.000	73.000	73	73	346.438	541.614	5.813	4.137	0.901	3.951	346.438	541.614	5.813	342	536	3	11	12	7
41	90	41	35	2870	70.000	0.000	70.000	70	70	194.537	542.049	4.634	1.793	0.399	1.837	194.537	542.049	4.634	193	540	3	4	5	4
282	374	282	173	21432	76.000	0.000	76.000	76	76	382.408	544.025	5.053	3.839	0.859	3.828	382.408	544.025	5.053	378	539	3	11	10	6
266	472	266	194	20748	78.000	0.000	78.000	78	78	180.387	547.853	5.030	5.255	2.763	4.385	180.387	547.853	5.030	175	537	3	11	23	5
125	250	125	101	152305	1218.440	146.137	1237.000	77	1237	333.304	543.528	5.224	3.034	1.099	2.948	333.293	543.483	5.258	330	539	3	10	10	6
229	364	229	166	17175	75.000	0.000	75.000	75	75	371.707	544.668	5.581	3.895	1.352	3.668	371.707	544.668	5.581	365	541	3	13	9	6
142	232	142	105	10508	74.000	0.000	74.000	74	74	249.380	544.268	5.599	3.093	0.983	2.858	249.380	544.268	5.599	245	542	3	10	5	6
453	584	453	272	40317	89.000	0.000	89.000	89	89	211.042	551.347	5.642	4.914	1.550	4.824	211.042	551.346	5.642	206	542	3	11	18	6
414	696	414	317	38918	94.005	0.098	94.000	94	96	352.457	552.896	5.326	5.322	1.986	5.325	352.456	552.896	5.326	344	544	3	18	15	8
182	330	182	142	15834	87.000	0.000	87.000	87	87	423.407	549.181	4.758	3.501	1.160	3.425	423.407	549.181	4.758	419	546	3	11	9	5
179	342	179	147	14857	83.000	0.000	83.000	83	83	229.637	550.106	4.486	3.663	1.337	3.675	229.637	550.106	4.486	224	545	3	11	13	4
104	184	104	83	8216	79.000	0.000	79.000	79	79	260.971	548.221	5.135	2.666	0.765	2.494	260.971	548.221	5.135	259	545	3	5	9	5
69	132	69	55	5796	84.000	0.000	84.000	84	84	266.768	550.275	4.594	2.197	0.444	2.218	266.768	550.275	4.594	265	548	3	5	6	5
15	56	15	15	16321	1088.067	408.868	1243.000	81	1243	407.000	550.067	4.000	1.576	0.636	1.694	407.142	550.290	4.071	405	548	3	5	4	3
133	236	133	98	11704	88.000	0.000	88.000	88	88	435.068	550.143	5.158	2.908	0.763	2.912	435.068	550.143	5.158	431	547	3	9	8	6
109	234	109	92	195982	1798.000	0.000	1798.000	1798	1798	335.486	551.156	6.009	2.850	0.970	2.764	335.486	551.156	6.009	332	549	3	8	8	8
79	154	79	66	7900	100.000	0.000	100.000	100	100	302.823	557.190	4.608	2.529	0.832	2.475	302.823	557.190	4.608	299	555	3	7	6	5
112	214	112	89	10976	98.000	0.000	98.000	98	98	309.455	558.134	5.598	2.745	0.780	2.734	309.455	558.134	5.598	307	554	3	6	8	7
93	158	93	72	9021	97.000	0.000	97.000	97	97	384.301	554.656	5.366	2.441	0.539	2.425	384.301	554.656	5.366	382	552	3	6	7	6
46	120	46	44	5038	109.522	2.268	110.000	99	110	278.717	561.217	4.370	2.093	0.861	2.006	278.725	561.234	4.373	276	557	3	6	8	3
120	246	120	101	13068	108.900	0.771	109.000	103	109	270.892	563.058	4.858	3.054	1.083	3.109	270.892	563.062	4.860	267	558	3	9	11	4
456	746	456	351	904172	1982.833	907.768	2420.000	102	2420	386.533	560.568	6.303	5.478	2.332	5.200	385.248	561.039	6.449	375	554	3	20	12	8
